Ctgy,AUN,school_district,county,total_state_rev,bef,Charter Schools 7140,Tuition for Orphans & Children Placed in Private Homes 7160,School Improvement Grants 7170,Staff and Program Development 7180,Vocational Education 7220,Alternative Education 7230,Driver Education - Student 7240,Migratory Children 7250,Workforce Investment Act 7260,Special Education Funding for School Aged Pupils 7271,Early Intervention 7272,Adult Literacy 7280,Education Assistance Program (Tutoring) 7291,Pre-K Counts 7292,Program Revenues not Listed Previously 7299,Pupil Transportation Subsidy 7311,Nonpublic and Charter School Pupil Transportation Subsidy 7312,Rental & Sinking Fund Payments / Building Reimbursement Subsidy 7320,"Health Services (Medical, Dental, Nurse, Act 25) 7330","State Property Tax Reduction Allocation
7340",Sewage Treatment Operations / Environmental Subsidies 7350,School Safety and Security Grants 7361,Other Safe Schools Grants 7369,Vocational Training of the Unemployed 7400,PA Accountability Grants 7501,Ready to Learn Block Grant 7505,PAsmart Grants 7506,Supplemental Equipment Grants 7509,Revenue for the Support of Public Schools 7598,Other State Revenue not Listed Elsewhere 7599,"Revenue for Milk, Lunch & Breakfast Programs 7600",State Share of Social Security & Medicare Taxes 7810,State Share of Retirement Contributions 7820,Educational Technology 7910,Classrooms for the Future 7920,Other Technology Grants 7990
1,114061103,Conrad Weiser Area SD,Berks,"$15,808,564.19","$6,396,825.08",,"$520,852.58",,,,,,,,"$1,863,368.81",,,,,"$5,450.42","$787,799.47","$22,330.00","$478,114.72","$47,735.86","$1,020,653.74",,"$25,000.00",,,,"$370,988.00",,,,,,"$773,118.53","$3,496,326.98",,,
1,114061503,Daniel Boone Area SD,Berks,"$19,580,658.97","$8,599,871.84",,"$115,384.93",,,,,,,,"$1,651,904.64",,,,,"$3,301.95","$1,497,356.48","$164,780.00","$716,895.87","$61,733.35","$1,202,915.32",,"$25,000.00",,,"$489,146.00",,,,,"$8,548.16",,"$912,419.78","$4,131,400.65",,,
1,114062003,Exeter Township SD,Berks,"$22,395,813.21","$8,816,640.68",,"$76,998.17",,,,,,,,"$2,082,195.50",,,,,"$3,349.16","$906,572.55","$119,735.00","$1,388,771.12","$73,497.25","$1,364,423.63",,"$25,000.00",,,,"$542,921.00",,,,,,"$1,307,862.27","$5,687,846.88",,,
1,114062503,Fleetwood Area SD,Berks,"$14,982,399.51","$6,080,994.78",,"$121,173.14",,,"$8,235.28",,,,,"$1,479,094.79",,,,,"$8,892.85","$952,679.58","$48,125.00","$401,039.61","$46,735.32","$1,125,566.89",,"$25,000.00",,,,"$371,717.00",,,,,,"$755,704.59","$3,557,440.68",,,
1,114063003,Governor Mifflin SD,Berks,"$18,520,568.77","$6,380,681.15",,"$134,230.90",,,,,,,,"$2,163,756.12",,,,"$340,000.00","$10,590.25","$959,130.81","$83,545.00","$1,057,287.05","$75,266.78","$869,525.17",,,,,,"$436,905.00","$7,025.40",,,,,"$1,076,760.50","$4,925,864.64",,,
1,114063503,Hamburg Area SD,Berks,"$14,721,523.99","$6,880,787.78",,"$119,610.85",,,,,,,,"$1,592,798.93",,,,,"$8,830.58","$949,485.67","$21,560.00","$385,676.08","$39,289.38","$829,486.70",,"$25,000.00",,,,"$338,158.00",,,,,,"$658,602.71","$2,872,237.31",,,
1,114064003,Kutztown Area SD,Berks,"$9,042,308.04","$3,415,720.84",,"$140,842.46",,,"$34,265.64",,,,,"$919,996.13",,,,,"$2,441.47","$717,434.23",,"$249,332.51","$24,704.30","$611,209.59",,,,,,"$140,805.00",,,,,,"$500,246.90","$2,285,308.97",,,
1,114065503,Muhlenberg SD,Berks,"$17,434,837.00","$5,669,821.00",,"$117,224.00",,,,,,$200.00,,"$1,546,624.00",,,,,"$9,494.00","$619,209.00","$81,620.00","$1,386,354.00","$75,457.00","$1,203,010.00",,,,,,"$447,941.00",,,,,,"$1,114,206.00","$5,163,677.00",,,
1,114066503,Oley Valley SD,Berks,"$9,778,986.01","$3,964,766.28",,"$48,427.56",,,"$34,082.29",,,,,"$1,083,793.89",,,,,"$9,169.11","$891,768.87","$46,970.00","$245,806.61","$29,785.03","$629,686.92",,"$25,000.00",,,,"$206,179.00",,"$5,166.08",,$67.94,,"$455,795.17","$2,102,521.26",,,
1,114067002,Reading SD,Berks,"$202,182,381.84","$139,674,924.77",,"$184,560.60",,,,,,,,"$11,888,223.04",,,,,"$735,858.04","$1,125,551.96","$302,610.00","$6,652,498.36","$403,651.56","$3,680,241.39",,"$25,000.00",,,,"$4,785,693.00",,,,,,"$5,406,663.00","$27,316,906.12",,,
1,114067503,Schuylkill Valley SD,Berks,"$9,292,130.82","$2,872,264.28",,"$60,462.57",,,,,,,,"$965,886.15",,,,,"$1,170.05","$943,915.19","$41,195.00","$164,083.00","$37,461.67","$589,874.68",,,,,,"$197,972.00",,,,,,"$613,970.41","$2,803,875.82",,,
1,114068003,Tulpehocken Area SD,Berks,"$10,386,869.98","$4,182,843.67",,"$196,543.41",,,"$29,836.80",,"$2,720.00",,,"$918,446.79",,,,,"$10,452.60","$1,007,819.65","$44,660.00","$460,326.79","$27,350.07","$645,187.11",,"$25,000.00",,,,"$200,065.00",,"$4,729.89",,"$1,440.23",,"$464,888.10","$2,164,559.87",,,
1,114068103,Twin Valley SD,Berks,"$16,325,974.20","$5,526,823.97",,"$156,533.53",,,,,,,,"$1,703,315.92",,,,,"$1,218.14","$1,981,381.11","$121,275.00","$414,756.34","$65,499.43","$1,025,513.67",,"$25,000.00",,,,"$329,551.00",,,,,,"$787,751.50","$4,187,354.59",,,
1,114069103,Wilson SD,Berks,"$24,442,370.39","$8,314,315.97",,"$169,459.00",,,,,,,,"$2,424,216.38",,,,,"$6,811.00","$849,172.47","$70,455.00","$1,247,750.21","$116,686.33","$1,388,473.13",,"$25,000.00",,,,"$579,495.00",,,,,,"$1,682,935.60","$7,567,600.30",,,
1,114069353,Wyomissing Area SD,Berks,"$6,976,233.00","$1,740,883.23",,"$25,977.55",,,,,,,,"$988,920.01",,,,,"$2,471.62","$264,238.49","$32,725.00","$41,906.70","$37,053.68","$489,438.50",,"$25,000.00",,,,"$139,739.00",,,,$259.16,,"$569,560.39","$2,618,059.67",,,
1,108070502,Altoona Area SD,Blair,"$66,806,640.76","$39,680,333.16",,"$63,967.83",,,"$28,737.24",,"$1,890.00",,,"$5,430,988.18","$1,571,641.00","$171,761.21",,,$0.01,"$1,817,573.04","$158,620.00","$960,806.96","$165,875.43","$1,845,104.25",,"$24,909.20",,,,"$1,485,051.00","$1,465.36",,,,,"$2,234,085.92","$11,163,830.97",,,
1,108071003,Bellwood-Antis SD,Blair,"$11,042,011.97","$6,936,167.04",,"$17,864.87",,,"$42,254.71",,$560.00,,,"$786,811.70",,,,,,"$363,121.56","$4,235.00","$227,690.02","$21,529.29","$360,223.91",,"$25,000.00",,,,"$206,209.00",,"$5,101.44",,,,"$356,213.00","$1,689,030.43",,,
1,108071504,Claysburg-Kimmel SD,Blair,"$8,648,468.42","$5,464,665.65",,"$4,423.50",,,,,,,,"$595,606.95",,,,,,"$422,324.96","$2,695.00","$224,826.42","$15,315.62","$340,837.29",,"$25,000.00","$27,669.71",,,"$173,060.00","$16,864.83",,,,,"$234,053.13","$1,101,125.36",,,
1,108073503,Hollidaysburg Area SD,Blair,"$21,823,130.49","$12,033,143.55",,"$76,310.93",,,,,,,,"$2,168,740.64",,,,,,"$877,870.75","$72,765.00","$1,220,565.78","$67,196.02","$568,489.81",,,,,,"$421,318.00",,,,,,"$791,199.72","$3,525,530.29",,,
1,108077503,Spring Cove SD,Blair,"$13,784,605.05","$7,843,118.79",,"$48,282.06",,,"$63,770.62",,,$113.00,,"$1,150,461.07",,,,,,"$1,056,436.36","$14,630.00","$224,451.32","$33,114.06","$382,073.39",,"$25,000.00","$85,000.00",,,"$291,450.00","$108,594.91","$6,252.26",,,,"$439,769.53","$2,012,087.68",,,
1,108078003,Tyrone Area SD,Blair,"$16,143,765.29","$9,293,600.08",,"$25,600.56",,,"$75,656.55",,"$1,995.00",,,"$1,502,640.72","$167,227.00",,,"$548,250.00",,"$799,551.57","$45,045.00",,"$34,843.43","$490,100.57",,"$37,621.00",,,,"$308,378.00",,"$7,019.05",,"$26,500.73",,"$491,369.93","$2,288,366.10",,,
1,108079004,Williamsburg Community SD,Blair,"$5,195,816.97","$3,367,437.53",,"$34,333.32",,,"$27,493.63",,,,,"$364,609.19",,,,,,"$186,874.07","$1,155.00",,"$9,078.62","$204,152.55",,,"$25,000.00",,,"$102,791.00",,"$3,827.34",,,,"$155,596.50","$713,468.22",,,
1,117080503,Athens Area SD,Bradford,"$20,989,354.96","$11,666,697.10",,"$44,000.07",,,"$48,798.03",,,$120.00,,"$1,605,220.97",,,,,,"$1,319,873.96","$18,095.00","$768,366.99","$37,448.34","$927,935.09",,"$25,000.00",,,,"$418,272.00",,,,"$10,000.00",,"$736,288.39","$3,363,239.02",,,
1,117081003,Canton Area SD,Bradford,"$10,927,598.45","$7,004,538.54",,"$27,751.13",,,"$12,905.11",,,,,"$707,369.31",,,,,,"$555,218.88",,"$279,311.78","$16,110.61","$298,274.14",,"$25,000.00",,,,"$203,216.00",,,,"$25,300.41",,"$298,629.92","$1,473,972.62",,,
1,117083004,Northeast Bradford SD,Bradford,"$9,011,888.32","$5,958,021.49",,"$1,137.15",,,"$41,414.95",,,$120.00,,"$585,783.43",,,,,,"$742,672.19","$12,705.00","$31,459.74","$14,147.80","$99,654.38",,"$25,000.00",,,,"$165,568.00","$8,235.28","$4,635.19",,,,"$261,138.58","$1,060,195.14",,,
1,117086003,Sayre Area SD,Bradford,"$10,147,971.23","$6,024,079.11",,"$9,420.85",,,,,"$2,240.00",,,"$832,799.45",,,,,,"$313,497.20","$8,085.00","$36,422.44","$19,670.73","$587,085.65",,"$61,252.00",,,,"$201,990.00",,,,,,"$360,688.39","$1,690,740.41",,,
1,117086503,Towanda Area SD,Bradford,"$13,756,779.38","$6,763,060.85",,"$50,263.48",,,,,,,,"$1,202,425.15",,,,"$306,000.00","$1,592.36","$1,002,895.71","$11,550.00","$669,904.31","$29,541.69","$751,478.97",,"$25,000.00",,,,"$290,449.00",,,,,,"$444,110.81","$2,208,507.05",,,
1,117086653,Troy Area SD,Bradford,"$15,169,234.00","$9,227,438.00",,"$36,780.00",,,"$54,830.00",,,,,"$1,123,906.00",,,,,,"$998,390.00",$770.00,"$625,120.00","$26,232.00","$341,612.00",,"$25,000.00",,,,"$310,736.00",,,,,,"$427,089.00","$1,971,331.00",,,
1,117089003,Wyalusing Area SD,Bradford,"$12,855,026.35","$6,930,477.09",,"$77,827.56",,,,,,,,"$935,695.96",,,,,,"$1,104,038.21","$19,635.00","$1,087,340.00",,"$297,535.16",,"$25,000.00",,,,"$231,038.00",,,,,,"$405,867.00","$1,740,572.37",,,
1,122091002,Bensalem Township SD,Bucks,"$35,086,101.81","$12,830,549.61",,"$529,920.72",,,,,,,,"$4,480,180.72",,,,,,"$1,067,910.67","$762,685.00","$584,002.67","$141,902.36","$2,270,500.14",,"$25,000.00",,,,"$584,234.00",,,,,,"$2,123,979.48","$9,685,236.44",,,
1,122091303,Bristol Borough SD,Bucks,"$11,605,330.40","$6,671,845.17",,"$133,426.10",,,,,,,,"$1,021,166.77",,,,,,"$107,543.68",,"$270,832.78","$27,166.58","$497,350.83",,"$25,000.00",,,,"$214,151.00",,,,,,"$488,016.86","$2,148,830.63",,,
1,122091352,Bristol Township SD,Bucks,"$46,308,837.77","$21,402,562.51",,"$81,185.00",,,,,,,,"$4,902,672.17",,,,"$678,595.27","$5,809.86","$1,640,050.29","$449,295.00","$870,691.04","$133,882.74","$3,390,935.15",,"$25,000.00","$24,788.44",,,"$1,029,712.00",,,,"$1,068.08",,"$1,987,682.67","$9,684,907.55",,,
1,122092002,Centennial SD,Bucks,"$31,421,859.25","$12,463,722.07",,"$102,631.36",,,,,,,,"$3,018,893.91",,,,,,"$425,620.49","$413,105.00","$1,014,593.96","$126,933.52","$1,953,000.87",,"$25,000.00",,,,"$380,367.00",,,,"$292,338.00",,"$2,091,543.70","$9,114,109.37",,,
1,122092102,Central Bucks SD,Bucks,"$70,128,861.99","$18,263,256.69",,"$133,919.61",,,,,,,,"$7,175,550.12",,,,,"$1,796.72","$2,587,932.80","$662,970.00","$1,086,397.24","$352,727.39","$5,994,705.46",,"$25,000.00",,,,"$1,024,042.00",,,,,,"$5,879,234.55","$26,941,329.41",,,
1,122092353,Council Rock SD,Bucks,"$53,193,983.82","$14,596,917.27",,"$29,045.81",,,,,,,,"$6,429,729.38",,,,,,"$1,293,912.90","$469,315.00","$1,511,156.11","$224,487.59","$5,432,557.32",,,,,"$416,762.00",,"$8,235.28",,,"$20,000.00",,"$4,077,778.63","$18,684,086.53",,,
1,122097203,Morrisville Borough SD,Bucks,"$7,200,416.00","$3,152,115.00",,"$41,755.00",,,,,,,,"$730,130.00",,,,,,"$47,521.00",,"$11,664.00","$20,926.00","$386,671.00",,"$25,000.00",,,,"$119,607.00",,,"$1,000,000.00",,,"$304,014.00","$1,361,013.00",,,
1,122097502,Neshaminy SD,Bucks,"$43,428,252.40","$13,577,788.93",,"$101,635.59",,,,,,,,"$6,779,705.93",,,,"$935,000.00","$16,821.91","$1,069,070.87","$414,645.00","$458,152.98","$178,844.00","$3,591,250.86",,"$25,000.00",,,,"$663,751.00",,,,,,"$2,813,023.36","$12,803,561.97",,,
1,122097604,New Hope-Solebury SD,Bucks,"$6,428,652.65","$1,226,864.63",,"$33,777.74",,,,,,,,"$506,057.11",,,,,,"$69,966.70","$52,127.78","$95,201.99","$25,738.47","$778,073.79",,"$25,000.00",,,,"$49,442.00",,,,,,"$1,671,140.78","$1,895,261.66",,,
1,122098003,Palisades SD,Bucks,"$9,734,292.00","$3,030,294.00",,"$150,630.00",,,,,,,,"$1,111,000.00",,,,,$866.00,"$424,769.00","$96,250.00","$220,252.00","$32,752.00","$922,514.00",,"$11,514.00",,,,"$67,213.00","$4,919.00",,,,,"$660,877.00","$3,000,442.00",,,
1,122098103,Pennridge SD,Bucks,"$32,993,011.79","$10,981,220.90",,"$13,534.70",,,,,,,,"$3,548,700.53",,,,,,"$1,435,342.75","$242,935.00","$1,628,914.76","$134,911.99","$2,403,785.34",,"$25,000.00",,,,"$625,645.00",,,,,,"$2,105,603.68","$9,847,417.14",,,
1,122098202,Pennsbury SD,Bucks,"$50,295,046.23","$16,129,555.02",,"$90,905.47",,,,,,,,"$5,469,363.39",,,,"$725,161.00","$10,535.03","$1,445,934.14","$500,115.00","$1,167,609.31","$203,006.96","$4,191,700.08",,"$25,000.00","$19,969.20",,,"$783,733.00",,,,,,"$3,508,886.69","$16,023,571.94",,,
1,122098403,Quakertown Community SD,Bucks,"$26,761,261.60","$10,169,030.64",,"$163,252.46",,,,,,,,"$2,887,448.54",,,,"$289,000.00","$5,753.50","$1,157,223.58","$165,935.00","$906,200.81","$99,703.49","$2,055,762.90",,"$25,000.00",,,,"$535,278.00",,,,,,"$1,498,228.76","$6,803,443.92",,,
1,104101252,Butler Area SD,Butler,"$47,342,567.00","$25,529,050.00",,"$64,379.00",,"$2,495.00",,,,,,"$4,524,972.00",,,,,"$2,347.00","$2,877,480.00","$226,380.00","$1,680,288.00","$122,204.00","$1,957,448.00",,,,,,"$1,147,945.00","$15,317.00",,,,,"$1,644,295.00","$7,547,967.00",,,
1,104103603,Karns City Area SD,Butler,"$15,820,623.50","$9,752,130.48",,"$27,293.68",,,,,,,,"$1,181,095.41",,,,,"$4,493.24","$1,272,613.57","$13,860.00","$16,892.89","$25,903.91","$594,720.89",,"$25,000.00",,,,"$315,032.00",,,,"$6,644.91",,"$491,899.64","$2,093,042.88",,,
1,104105003,Mars Area SD,Butler,"$13,634,478.78","$6,017,475.88",,"$35,070.11",,,,,,,,"$1,178,646.94",,,,,,"$810,479.39","$181,720.00","$827,189.05","$62,930.12","$345,354.99",,"$25,000.00",,,"$241,656.00",,,,,,,"$724,574.02","$3,184,382.28",,,
1,104105353,Moniteau SD,Butler,"$13,826,830.75","$7,761,243.04",,"$15,184.43",,,"$30,298.87",,,,,"$1,080,764.81",,,,,"$2,222.49","$1,320,394.95","$5,390.00","$433,641.29","$24,254.09","$604,716.16",,,,,,"$284,091.00",,,,"$25,000.00",,"$420,036.61","$1,819,593.01",,,
1,104107903,Seneca Valley SD,Butler,"$35,249,125.64","$14,031,291.66",,"$52,228.03",,,,,,,,"$3,667,071.20",,,,,,"$2,811,033.35","$321,860.00","$898,454.41","$155,491.83","$1,246,238.92",,"$25,000.00",,,,"$684,267.00",,,,,,"$2,085,022.12","$9,271,167.12",,,
1,104107503,Slippery Rock Area SD,Butler,"$15,410,036.00","$8,513,633.00",,"$63,637.00",,,,,"$2,240.00",,,"$1,510,358.00",,,,,"$1,243.00","$1,451,964.00","$43,120.00","$15,000.00","$38,958.00","$655,847.00",,"$25,000.00",,,,"$334,886.00",,,,"$1,000.00",,"$496,424.00","$2,256,726.00",,,
1,104107803,South Butler County SD,Butler,"$15,230,350.40","$7,706,282.86",,"$23,851.89",,,"$8,235.28",,,,,"$1,489,429.35",,,,,,"$1,604,883.44","$105,105.00","$296,521.16","$47,943.69","$595,494.58",,"$25,000.00",,,,"$336,435.00",,,,,,"$572,235.01","$2,418,933.14",,,
1,108110603,Blacklick Valley SD,Cambria,"$8,274,880.86","$5,281,903.23",,"$37,304.73",,,,,,,,"$548,696.17",,,,,,"$659,052.88","$33,880.00","$302,315.15","$12,237.98","$169,189.05",,"$25,000.00",,,,"$141,827.00",,,,,,"$182,656.41","$880,818.26",,,
1,108111203,Cambria Heights SD,Cambria,"$14,342,659.99","$9,664,734.94",,"$16,257.16",,,,,,,,"$999,495.85",,,,"$120,416.70",,"$972,245.03","$38,885.00","$260,433.40",,"$507,044.80",,"$29,050.00",,,,"$279,447.00",,,,"$213,188.49",,"$311,891.32","$929,570.30",,,
1,108111303,Central Cambria SD,Cambria,"$12,519,526.00","$7,384,933.07",,"$67,447.45",,,,,,,,"$1,099,025.60",,,,,"$1,385.15","$920,539.81","$74,305.00","$319,663.91",,"$389,657.83",,"$25,000.00",,,,"$261,606.00","$8,235.28",,,,,"$348,820.77","$1,618,906.13",,,
1,108111403,Conemaugh Valley SD,Cambria,"$9,269,306.18","$5,911,054.67",,"$20,638.56",,,,,,,,"$583,929.49",,,,"$289,000.00",,"$523,922.78","$26,180.00","$173,946.39","$14,878.90","$272,070.19",,"$84,250.00",,,,"$171,026.00",,,,,,"$218,026.29","$980,382.91",,,
1,108112003,Ferndale Area SD,Cambria,"$8,387,991.81","$5,393,885.11",,,,,,,$210.00,,,"$556,200.99",,,,,,"$492,354.11","$16,170.00",,"$13,192.75","$303,495.54",,"$45,000.00",,,,"$158,485.00",,,,,,"$263,245.91","$1,145,752.40",,,
1,108112203,Forest Hills SD,Cambria,"$19,450,473.67","$12,605,988.17",,"$60,003.79",,,,,,,,"$1,404,788.51",,,,,,"$1,005,750.91","$26,180.00","$80,925.96","$33,855.84","$825,496.98",,"$50,000.00",,,,"$397,738.00",,,,,,"$525,362.23","$2,434,383.28",,,
1,108112502,Greater Johnstown SD,Cambria,"$33,027,925.16","$19,181,716.88",,"$54,274.99",,,"$348,640.37",,$245.00,,,"$2,481,088.28",,,,"$858,500.00","$6,431.89","$1,190,572.10","$124,740.00","$926,774.37","$53,782.32","$1,365,187.52",,"$15,014.70","$110,000.00",,,"$674,415.00",,"$17,462.94",,"$475,856.00",,"$895,537.38","$4,247,685.42",,,
1,108114503,Northern Cambria SD,Cambria,"$13,535,622.04","$8,764,094.78",,$756.79,,,,,,,,"$796,970.87",,,,"$6,735.95",,"$1,010,408.04","$47,355.00","$430,115.48","$20,659.15","$314,245.77",,,"$25,000.00",,,"$242,060.00",,,,,,"$333,363.32","$1,543,856.89",,,
1,108116003,Penn Cambria SD,Cambria,"$16,157,777.92","$9,609,513.27",,,,,,,,,,"$1,243,599.61",,,,"$144,500.00",,"$1,180,173.38","$97,405.00","$471,369.96","$33,988.73","$452,394.89",,"$15,855.44","$10,875.00",,,"$313,302.00","$1,937.45",,,,,"$469,016.40","$2,113,846.79",,,
1,108116303,Portage Area SD,Cambria,"$10,277,275.82","$6,781,556.55",,,,,,,,,,"$623,718.43",,,,,,"$418,068.97","$11,165.00","$285,217.75","$16,431.46","$336,894.02",,"$25,000.00",,,,"$186,456.00",,,,,,"$301,682.59","$1,291,085.05",,,
1,108116503,Richland SD,Cambria,"$6,964,669.04","$3,326,335.90",,"$9,355.36",,,,,,,,"$766,884.10",,,,,,"$321,026.88","$38,115.00","$278,634.81","$31,062.66","$230,748.95",,"$16,201.70","$59,998.50",,,"$138,845.00",,,,,,"$314,465.64","$1,432,994.54",,,
1,108118503,Westmont Hilltop SD,Cambria,"$8,013,644.50","$4,028,368.96",,"$12,035.21",,,,,,,,"$838,857.20",,,,,,"$336,530.69","$61,985.00","$303,714.19","$30,267.64","$309,157.59",,"$25,000.00",,,,"$177,493.00",,,,,,"$343,810.93","$1,546,424.09",,,
1,109122703,Cameron County SD,Cameron,"$8,575,786.06","$5,480,712.88",,"$14,431.35",,,,,,,,"$660,290.68",,,,,$156.11,"$378,292.07","$4,620.00","$369,840.28","$9,577.08","$432,208.57",,"$25,000.00",,,,"$145,002.00",,,,,,"$197,699.39","$857,955.65",,,
1,121135003,Jim Thorpe Area SD,Carbon,"$11,728,939.00","$3,636,590.32",,"$283,880.39",,,,,,,,"$900,037.51",,,,"$184,166.67",$545.45,"$894,205.00","$11,935.00","$1,120,379.40","$39,898.22","$741,006.04",,"$45,000.00",,,,"$219,928.00",,,,,,"$529,243.00","$3,122,124.00",,,
1,121135503,Lehighton Area SD,Carbon,"$19,147,948.46","$9,003,291.94",,"$139,400.40",,,,,,,,"$1,446,763.08",,,,"$148,750.00",$166.63,"$477,533.37","$6,930.00","$2,269,756.49","$42,984.41","$1,205,440.34",,"$72,626.88",,,,"$374,159.00","$9,150.00",,,,,"$744,585.20","$3,206,410.72",,,
1,121136503,Palmerton Area SD,Carbon,"$12,696,684.27","$6,619,042.85",,"$72,512.43",,,,,,,,"$1,165,284.04",,,,"$255,000.00",,"$419,963.48","$37,730.00","$209,774.31","$32,530.19","$753,186.60",,"$25,000.00",,,,"$303,548.00",,,,,,"$501,005.68","$2,302,106.69",,,
1,121136603,Panther Valley SD,Carbon,"$14,513,235.00","$8,758,047.14",,"$16,042.17",,,,,,,,"$1,288,289.57",,,,,"$2,295.18","$667,575.82","$38,115.00","$310,490.99",,"$741,074.18",,,,,,"$338,016.00",,,,,,"$389,121.34","$1,914,167.61",,,"$50,000.00"
1,121139004,Weatherly Area SD,Carbon,"$6,312,616.21","$3,248,614.06",,"$30,044.64",,,,,,,,"$457,175.85",,,,"$322,732.04",,"$572,284.72","$8,085.00",,"$11,996.57","$363,651.86",,"$25,000.00","$38,275.16",,,"$98,472.00",$442.84,,,,,"$211,386.51","$924,454.96",,,
1,110141003,Bald Eagle Area SD,Centre,"$15,656,553.73","$8,293,518.63",,"$64,787.38",,,"$35,760.73",,,,,"$1,287,806.43",,,,,,"$1,209,967.23","$22,715.00","$905,011.34","$30,868.69","$732,715.67",,"$18,576.27",,,,"$310,813.00",,,,,,"$508,293.33","$2,235,720.03",,,
1,110141103,Bellefonte Area SD,Centre,"$19,848,285.24","$8,456,905.70",,"$21,319.28",,,"$12,570.91",,"$2,870.00",,,"$1,753,590.61",,,,,,"$553,636.74","$67,375.00","$617,953.72","$53,642.94","$1,174,089.96",,"$25,000.00",,,,"$408,961.00",,,,"$2,803,101.75",,"$700,362.51","$3,196,905.12",,,
1,110147003,Penns Valley Area SD,Centre,"$10,790,885.99","$5,310,366.09",,"$39,507.68",,,$688.00,,,$40.00,,"$878,773.13",,,,,,"$938,355.85","$50,435.00","$843,223.65","$26,143.23","$561,120.67",,"$25,000.00",,,,"$193,434.00",,,,,,"$337,622.68","$1,586,176.01",,,
1,110148002,State College Area SD,Centre,"$35,452,531.68","$7,920,858.74",,"$108,756.79",,,"$227,171.75",,,,,"$3,292,352.42",,,,,,"$592,669.11","$333,410.00","$320,856.58","$140,025.78","$1,423,448.42",,"$25,000.00","$39,999.91",,,"$310,013.00",,"$18,836.84",,"$6,799,671.00",,"$2,536,120.13","$11,363,341.21",,,
1,124150503,Avon Grove SD,Chester,"$31,041,573.30","$15,240,088.84",,"$11,668.59",,,,,,$596.00,,"$2,586,069.51",,,,,"$2,838.43","$1,469,142.49","$343,420.00","$528,512.76","$103,455.29","$2,673,653.21",,"$9,926.05",,,,"$754,726.00",,,,,,"$1,327,298.74","$5,990,177.39",,,
1,124151902,Coatesville Area SD,Chester,"$52,811,372.67","$25,401,327.35",,"$35,757.86",,,,,,,,"$5,197,143.96",,,,,"$6,052.78","$5,581,006.43","$1,322,860.00","$554,343.93","$117,055.44","$3,905,159.83",,"$25,000.00",,,,"$1,103,925.00",,,"$1,000,000.00",,,"$1,538,128.23","$7,023,611.86",,,
1,124152003,Downingtown Area SD,Chester,"$50,286,113.31","$14,785,800.00",,"$79,033.78",,,,,,,,"$5,901,098.60",,,,,"$51,415.93","$3,079,339.33","$667,205.00","$1,263,351.19","$329,923.06","$3,875,394.29",,"$25,000.00",,,,"$874,969.00",,,,,,"$3,588,740.04","$15,764,843.09",,,
1,124153503,Great Valley SD,Chester,"$15,317,461.70","$2,637,548.83",,"$12,185.99",,,,,,,,"$1,748,884.00",,,,,"$3,086.78","$586,822.90","$386,540.00","$192,331.44","$95,319.03","$1,024,125.96",,"$10,876.02",,,,"$136,602.00",,,,,,"$1,521,879.81","$6,961,258.94",,,
1,124154003,Kennett Consolidated SD,Chester,"$17,844,931.17","$5,798,084.38",,"$20,557.89",,,,,,"$2,116.00",,"$1,839,479.13",,,,,"$1,018.32","$1,180,811.71","$219,065.00","$511,954.24","$84,121.20","$1,439,155.85",,"$25,000.00",,,,"$400,617.00",,,,,,"$1,141,673.74","$5,181,276.71",,,
1,124156503,Octorara Area SD,Chester,"$14,770,261.72","$6,366,826.17",,"$19,775.36",,,"$94,194.00",,,,,"$1,375,935.06",,,,,$685.25,"$831,972.90","$99,330.00","$494,750.15","$52,033.54","$1,129,425.45",,"$25,000.00",,,,"$318,487.00",,"$107,979.74",,,,"$694,348.77","$3,159,518.33",,,
1,124156603,Owen J Roberts SD,Chester,"$22,129,708.59","$6,030,016.91",,"$63,523.33",,,,,,,,"$1,964,414.56",,,,"$425,000.00","$1,103.12","$1,857,488.92","$218,680.00","$545,990.57","$108,325.89","$1,513,405.11",,"$38,470.16",,,,"$292,196.00",,,,,,"$1,608,687.43","$7,462,406.59",,,
1,124156703,Oxford Area SD,Chester,"$25,339,514.74","$12,731,446.30",,"$73,001.41",,,,,,,,"$2,063,068.41",,,,,"$4,957.29","$1,303,216.07","$221,375.00","$1,109,929.71","$75,316.88","$1,566,701.18",,"$25,000.00",,,,"$572,695.00",,,,,,"$981,687.20","$4,611,120.29",,,
1,124157203,Phoenixville Area SD,Chester,"$17,432,733.27","$4,879,718.55",,"$111,708.10",,,,,,,,"$1,740,724.55",,,,,$663.69,"$930,909.83","$450,835.00","$385,013.00","$76,667.23","$1,329,118.76",,,,,"$25,000.00",,,,,"$127,795.00",,"$1,317,210.50","$6,057,369.06",,,
1,124157802,Tredyffrin-Easttown SD,Chester,"$22,611,659.85","$3,627,910.47",,"$25,681.82",,,,,,,,"$2,597,079.24",,,,,"$1,402.19","$1,202,611.92","$490,105.00","$318,160.84","$149,988.27","$2,099,868.70",,"$25,000.00",,,,"$199,614.00",,,,,,"$2,307,799.97","$9,566,437.43",,,
