Cat,AUN,school_district,county,total_state_rev,bef,Charter Schools 7140,Tuition for Orphans & Children Placed in Private Homes 7160,School Improvement Grants 7170,Staff and Program Development 7180,Vocational Education 7220,Alternative Education 7230,Driver Education - Student 7240,Migratory Children 7250,Workforce Investment Act 7260,Special Education Funding for School Aged Pupils 7271,Early Intervention 7272,Adult Literacy 7280,Education Assistance Program (Tutoring) 7291,Pre-K Counts 7292,Program Revenues not Listed Previously 7299,Pupil Transportation Subsidy 7311,Nonpublic and Charter School Pupil Transportation Subsidy 7312,Rental & Sinking Fund Payments / Building Reimbursement Subsidy 7320,"Health Services (Medical, Dental, Nurse, Act 25) 7330","State Property Tax Reduction Allocation
7340",Sewage Treatment Operations / Environmental Subsidies 7350,Safe Schools 7360,Vocational Training of the Unemployed 7400,PA Accountability Grants 7501,Project 720 / High School Reform 7503,Ready to Learn Block Grant 7505,Supplemental Equipment Grants 7509,Revenue for the Support of Public Schools 7598,Other State Revenue not Listed Elsewhere 7599,"Revenue for Milk, Lunch & Breakfast Programs 7600",State Share of Social Security & Medicare Taxes 7810,State Share of Retirement Contributions 7820,Educational Technology 7910,Classrooms for the Future 7920,Other Technology Grants 7990
1,103021453,Brentwood Borough SD,Allegheny,"$9,379,216.52","$4,801,128.80",,,,,,,,,,"$831,967.16",,,,,,"$142,010.43","$1,925.00","$528,891.38","$24,538.89","$624,795.91",,,,,,"$218,768.00",,,,,"$470,361.44","$1,734,829.51",,,
1,103021603,Carlynton SD,Allegheny,"$8,586,406.01","$4,282,850.69",,"$27,713.74",,,,,,,,"$890,961.82",,,,,$664.75,"$471,397.05","$76,230.00",,"$26,617.75","$558,060.54",,,,,,"$189,030.00",,,,,"$313,814.10","$1,749,065.57",,,
1,103021752,Chartiers Valley SD,Allegheny,"$15,128,840.64","$4,951,559.93",,"$57,969.69",,,"$2,955.81",,,,,"$1,538,028.16",,,,,,"$945,246.51","$145,915.00","$494,578.80","$64,820.71","$909,190.39",,,,,,"$303,975.00",,,,,"$1,120,118.70","$4,594,481.94",,,
1,103021903,Clairton City SD,Allegheny,"$10,981,603.00","$7,235,090.00",,"$58,273.00",,,,,,,,"$1,086,055.00",,,,,,"$213,353.00","$36,960.00",,"$13,234.00","$466,868.00",,,,,,"$220,599.00",,,,,"$310,642.00","$1,340,529.00",,,
1,103022103,Cornell SD,Allegheny,"$4,065,252.00","$1,830,860.00",,"$37,117.00",,,,,,,,"$448,357.00",,,,,,"$258,817.00","$37,345.00",,"$11,547.00","$254,813.00",,,,,,"$96,726.00",,,,,"$210,729.00","$878,941.00",,,
1,103022253,Deer Lakes SD,Allegheny,"$13,298,012.79","$6,045,647.83",,,,,,,,,,"$1,233,421.72",,,,,,"$996,195.88","$52,745.00","$994,661.22","$37,254.58","$931,946.73",,,,,,"$264,465.00",,,,,"$539,523.13","$2,202,151.70",,,
1,103022503,Duquesne City SD,Allegheny,"$14,947,393.15","$11,767,237.66",,"$16,265.41",,,,,,,,"$642,883.53",,,,,,"$320,163.66","$120,505.00","$310,198.92","$5,382.24","$367,505.11",,,,,,"$202,807.00",,,,,"$194,684.22","$999,760.40",,,
1,103022803,East Allegheny SD,Allegheny,"$13,600,262.24","$6,671,919.68",,"$123,627.45",,,,,,,,"$1,377,490.17",,,,,,"$875,747.53","$125,125.00","$277,971.57","$33,354.00","$960,372.67",,,,,,"$376,130.00",,,,,"$543,128.85","$2,235,395.32",,,
1,103023153,Elizabeth Forward SD,Allegheny,"$18,970,877.32","$9,234,038.20",,"$11,423.07",,,,,,,,"$1,755,895.42",,,,,,"$1,223,841.46","$29,260.00","$1,575,223.73","$43,456.65","$1,299,047.80",,,,,,,,,,,"$769,722.21","$3,028,968.78",,,
1,103023912,Fox Chapel Area SD,Allegheny,"$18,541,090.68","$3,542,125.25",,"$14,959.86",,,,,,,,"$2,374,496.69",,,,,,"$990,878.46","$272,965.00","$1,359,390.23","$96,302.10","$1,468,886.10",,,,,,"$205,030.00",,,,,"$1,633,745.12","$6,582,311.87",,,
1,103024102,Gateway SD,Allegheny,"$18,871,240.80","$7,580,222.92",,"$45,001.87",,,,,,,,"$2,056,087.60",,,,,,"$951,941.97","$148,610.00","$409,695.05","$71,106.03","$1,459,782.46",,,,,,"$385,880.00",,,,,"$1,173,644.52","$4,589,268.38",,,
1,103024603,Hampton Township SD,Allegheny,"$13,395,095.35","$4,987,827.32",,,,,,,,,,"$1,498,472.16",,,,,,"$622,943.73","$86,625.00","$662,422.67","$64,015.07","$861,229.62",,,,,,"$294,130.00",,,,,"$894,486.91","$3,422,942.87",,,
1,103024753,Highlands SD,Allegheny,"$21,046,360.73","$11,213,577.04",,"$17,481.81",,,,,,,,"$1,864,860.57",,,,"$144,500.00",,"$1,081,174.93","$72,765.00","$393,688.63","$53,579.12","$1,296,212.47",,,,,,"$529,885.00",,,,,"$887,409.45","$3,491,226.71",,,
1,103025002,Keystone Oaks SD,Allegheny,"$11,343,657.47","$4,879,196.42",,"$19,364.29",,,,,,,,"$1,461,997.55",,,,,,"$460,076.47","$127,050.00","$421,676.87",$194.56,"$848,604.74",,"$63,272.48",,,,"$245,928.00",,,,,"$561,552.36","$2,254,743.73",,,
1,103026002,McKeesport Area SD,Allegheny,"$40,731,265.00","$24,651,096.00",,"$180,665.00",,,"$248,313.00",,,,,"$3,183,521.00",,,,"$739,370.00",,"$1,432,119.00","$217,910.00","$498,034.00","$77,000.00","$2,438,979.00",,"$30,000.00",,,,"$888,223.00","$14,613.00",,,,"$1,111,734.00","$5,019,688.00",,,
1,103026303,Montour SD,Allegheny,"$13,183,383.57","$4,027,524.74",,"$170,514.90",,,,,,,,"$1,628,505.33",,,,,,"$423,071.31","$159,775.00","$753,905.51","$61,784.82","$926,427.60",,,,,,"$196,733.00",,,,,"$985,617.51","$3,849,523.85",,,
1,103026343,Moon Area SD,Allegheny,"$18,558,490.00","$6,513,992.00",,"$48,223.00",,,,,,,,"$1,700,297.00",,,,,,"$826,691.00","$114,345.00","$2,072,795.00","$77,451.00","$957,269.00",,,,,,"$369,076.00",,,,,"$1,218,228.00","$4,660,123.00",,,
1,103026402,Mt Lebanon SD,Allegheny,"$23,456,169.35","$6,236,734.98",,"$9,461.60",,,,,"$10,140.00",,,"$2,726,261.91",,,,,,"$139,173.60",,"$4,227,682.59",,"$1,709,768.73",,,,"$500,559.00",,,,,,,"$1,635,386.57","$6,259,932.48",,,"$1,067.89"
1,103026852,North Allegheny SD,Allegheny,"$33,135,264.20","$9,293,380.03",,,,,,,,,,"$3,767,054.00",,,,,,"$1,775,897.03","$363,440.00","$2,084,621.65","$159,751.41","$2,218,500.64",,"$24,922.23",,,,"$581,758.00",,,$500.00,,"$2,530,759.20","$10,334,680.01",,,
1,103026902,North Hills SD,Allegheny,"$18,900,187.00","$6,108,962.00",,"$178,946.00",,,,,,,,"$2,333,351.00",,,,,,"$794,050.00","$133,210.00","$1,121,730.00","$98,048.00","$1,429,983.00",,"$18,505.00",,,,"$393,030.00",,,"$3,000.00",,"$1,248,485.00","$5,038,887.00",,,
1,103026873,Northgate SD,Allegheny,"$8,474,797.00","$4,099,163.00",,"$12,107.00",,,,,,,,"$871,031.00",,,,"$161,500.00",,"$105,455.00",,"$234,656.00","$23,831.00","$697,639.00",,,,,,"$201,103.00",,,,,"$412,212.00","$1,656,100.00",,,
1,103027352,Penn Hills SD,Allegheny,"$34,064,705.74","$16,341,947.85",,,,,,,,,,"$3,212,355.84",,,,,,"$2,167,563.90","$553,245.00","$2,670,598.73","$76,030.79","$2,359,857.80",,"$24,949.05",,,,"$850,686.00",,,,,"$1,263,281.30","$4,544,189.48",,,
1,103021003,Pine-Richland SD,Allegheny,"$17,207,980.00","$5,036,127.00",,"$1,659.00",,,,,,,,"$1,621,729.00",,,,,,"$1,555,246.00","$192,500.00","$1,032,062.00","$92,108.00","$1,245,348.00",,,,,,"$418,675.00",,,"$13,088.00",,"$1,252,568.00","$4,746,870.00",,,
1,102027451,Pittsburgh SD,Allegheny,"$278,486,002.63","$159,189,992.22",,"$28,519.01",,,"$251,832.24",,,,,"$28,338,651.36","$5,261,011.35",,,"$5,787,270.00","$2,528,174.07","$10,818,706.16","$2,668,050.00","$4,795,626.72","$605,392.47","$15,769,287.35",,,,,,"$3,955,423.00","$22,237.26",,"$3,310.21",,"$6,067,678.58","$32,394,840.63",,,
1,103027503,Plum Borough SD,Allegheny,"$28,877,563.41","$12,872,966.70",$654.91,"$7,427.45",,,"-$1,599.00",,,,,"$2,360,759.08",,,,,,"$1,225,473.35",,"$3,110,519.52","$77,423.67","$1,653,351.03",,,,,,"$618,345.00",,,$605.84,,"$1,154,244.00","$5,797,391.86",,,
1,103027753,Quaker Valley SD,Allegheny,"$6,986,189.00","$1,389,013.00",,"$18,243.00",,,,,,,,"$812,318.00",,,,,,"$253,133.00","$76,230.00","$82,257.00","$51,076.00","$670,925.00",,"$44,989.00",,,,"$66,366.00",,,,,"$769,824.00","$2,751,815.00",,,
1,103028203,Riverview SD,Allegheny,"$6,679,846.75","$3,008,114.30",,,,,,,,,,"$664,033.28",,,,,,"$173,216.85","$18,095.00","$567,583.53","$21,074.94","$356,148.03",,,,,,"$126,151.00",,,,,"$342,245.12","$1,403,184.70",,,
1,103028302,Shaler Area SD,Allegheny,"$27,303,487.00","$11,215,630.32",,"$52,231.21",,,,,,,,"$3,374,547.87",,,,,,"$1,651,243.67","$164,780.00","$985,177.48","$84,780.87","$2,039,450.54",,"$35,000.00",,,,"$706,471.00",,,,,"$1,402,159.07","$5,592,014.97",,,
1,103028653,South Allegheny SD,Allegheny,"$15,595,856.71","$9,663,675.86",,"$23,587.62",,,,,,,,"$1,161,140.33",,,,,,"$679,422.68","$21,945.00","$380,148.41","$26,447.84","$759,453.20",,"$26,000.00",,,,"$343,234.00",,,,,"$485,391.09","$2,025,410.68",,,
1,103028703,South Fayette Township SD,Allegheny,"$11,167,924.71","$3,131,595.38",,"$48,419.98",,,,,,,,"$948,931.46",,,,,,"$1,255,106.68","$64,680.00","$630,722.77","$54,493.93","$666,024.92",,"$30,000.00",,,,"$263,996.00",,,,,"$805,669.99","$3,268,283.60",,,
1,103028753,South Park SD,Allegheny,"$12,279,569.24","$6,348,238.75",,,,,,,,,,"$1,197,571.36",,,,,,"$529,570.20","$40,040.00","$383,378.18","$33,793.21","$869,584.74",,"$40,000.00",,,,"$308,092.00",,,,,"$503,888.59","$2,025,412.21",,,
1,103028833,Steel Valley SD,Allegheny,"$14,856,040.01","$8,945,819.72",,,,,,,,,,"$1,360,787.92",,,,,,"$127,138.18","$1,653.33","$146,127.68","$31,264.20","$969,197.87",,,,,,"$351,420.00",,,,,"$531,713.42","$2,390,917.69",,,
1,103028853,Sto-Rox SD,Allegheny,"$15,886,257.89","$9,360,702.33",,,,,,,,,,"$1,168,108.40",,,,,,"$581,767.58","$182,105.00","$890,228.08","$23,499.68","$852,619.61",,"$25,000.00",,,,"$392,443.00",,,,,"$420,851.07","$1,988,933.14",,,
1,103029203,Upper Saint Clair SD,Allegheny,"$16,423,912.64","$4,345,139.61",,"$24,421.24",,,,,,,,"$1,988,171.37",,,,,,"$861,559.25","$87,010.00","$870,884.72","$86,793.86","$1,389,981.84",,,,,,"$409,033.00",,,"$1,906.94",,"$1,250,426.52","$5,108,584.29",,,
1,103029403,West Allegheny SD,Allegheny,"$16,040,992.50","$5,714,173.36",,"$48,102.63",,,,,,,,"$1,643,594.74",,,,,,"$864,337.76",,"$1,544,265.11","$60,104.55","$1,137,868.17",,,,,,"$353,119.00",,,,,"$940,527.74","$3,734,899.44",,,
1,103029553,West Jefferson Hills SD,Allegheny,"$14,003,271.20","$5,598,108.75",,"$136,652.54",,,,,,,,"$1,752,795.09",,,,,,"$708,347.18","$54,285.00","$622,416.94","$54,221.60","$1,114,097.86",,,,,,"$337,321.00",,,,,"$721,376.01","$2,903,649.23",,,
1,103029603,West Mifflin Area SD,Allegheny,"$18,576,885.51","$7,171,278.93",,"$112,005.22",,,,,,,,"$1,988,500.75",,,,"$289,000.00",,"$1,121,223.03","$67,375.00","$736,046.31","$55,717.17","$1,464,146.50",,"$9,550.00",,,,"$564,170.00",,,,,"$984,729.51","$4,013,143.09",,,
1,103029803,Wilkinsburg Borough SD,Allegheny,"$14,933,854.07","$10,487,309.55",,"$58,759.26",,,,,,,,"$1,212,308.50",,,,"$478,125.00",,"$213,376.99","$146,685.00",,,"$805,158.77",,,,,,"$280,424.00",,,,,"$264,833.69","$986,873.31",,,
1,103029902,Woodland Hills SD,Allegheny,"$31,470,207.36","$15,205,761.53",,"$286,507.04",,,,,,,,"$3,990,757.63",,,,"$153,000.00",,"$2,143,709.87","$709,555.00",,"$71,185.28","$2,211,413.98",,"$24,999.70",,,,"$736,447.00",,,"$28,826.40",,"$1,172,578.39","$4,735,465.54",,,
1,128030603,Apollo-Ridge SD,Armstrong,"$14,019,916.28","$8,189,038.44",,"$2,831.22",,,,,,,,"$993,888.78",,,,,,"$872,427.72","$5,005.00","$519,836.09","$23,377.80","$879,605.85",,"$30,000.00",,,,"$279,085.00",,,,,"$425,352.24","$1,799,468.14",,,
1,128030852,Armstrong SD,Armstrong,"$57,600,074.01","$29,516,842.00",,"$51,148.00",,,,,,,,"$4,411,916.01",,,,,,"$5,127,691.00","$162,470.00","$4,823,108.00","$94,091.00","$3,588,769.00",,"$45,000.00",,,,"$1,089,020.00",,,,,"$1,697,005.00","$6,993,014.00",,,
1,128033053,Freeport Area SD,Armstrong,"$12,986,773.00","$6,617,299.81",,"$21,590.39",,,,,,,,"$995,655.04",,,,,,"$886,696.63","$41,195.00","$690,876.69","$38,393.85","$705,191.79",,"$53,895.44",,,,"$273,836.00",,,,,"$533,186.82","$2,128,955.54",,,
1,128034503,Leechburg Area SD,Armstrong,"$7,650,864.71","$4,246,953.13",,,,,,,,,,"$534,094.58",,,,,,"$356,560.25","$13,090.00","$422,848.84","$14,516.70","$446,666.88",,"$20,000.00",,,,"$141,716.00",,,,,"$294,396.40","$1,160,021.93",,,
1,127040503,Aliquippa SD,Beaver,"$14,695,188.83","$8,606,419.06",,,,,,,,,,"$1,166,335.48",,,,,,"$416,342.18","$60,060.00","$1,280,035.21","$20,252.26","$748,790.65",,"$24,961.12",,,,"$314,428.00",,,,,"$315,087.89","$1,742,476.98",,,
1,127040703,Ambridge Area SD,Beaver,"$20,727,568.87","$10,734,597.57",,"$26,547.43",,,,,,,,"$2,055,849.15",,,,"$510,000.00",,"$1,105,930.54","$58,905.00","$1,315,300.29","$47,146.02","$1,052,098.05",,,,,,"$422,955.00",,,,,"$688,033.40","$2,710,206.42",,,
1,127041203,Beaver Area SD,Beaver,"$11,254,492.29","$5,446,873.85",,"$10,194.53",,,,,,,,"$1,054,062.45",,,,,,"$594,001.47","$47,355.00","$932,892.30","$39,946.71","$430,195.24",,"$60,000.00",,,,"$239,950.00",,,"$40,626.13",,"$485,201.98","$1,873,192.63",,,
1,127041503,Big Beaver Falls Area SD,Beaver,"$18,442,676.00","$10,737,602.00",,"$26,470.00",,,,,"$1,400.00",,,"$1,326,908.00",,,,"$306,000.00",,"$729,098.00","$56,595.00","$762,439.00","$33,974.00","$994,945.00",,,,,,"$433,266.00",,,,,"$601,298.00","$2,432,681.00",,,
1,127041603,Blackhawk SD,Beaver,"$18,097,410.00","$9,252,608.00",,"$14,823.00",,,"$26,309.00",,"$3,605.00",,,"$1,576,235.00",,,,,,"$1,578,796.00","$68,915.00","$1,269,634.00","$48,425.00","$861,653.00",,,,,,"$359,398.00",,,,,"$640,517.00","$2,396,492.00",,,
1,127042003,Central Valley SD,Beaver,"$15,092,457.18","$8,561,334.30",,,,,,,,,,"$1,577,134.32",,,,,,"$724,248.67",,"$129,376.82","$42,438.28","$840,452.63",,,,,,"$359,497.00",,,,,"$577,192.21","$2,280,782.95",,,
1,127042853,Freedom Area SD,Beaver,"$12,884,498.50","$8,024,023.56",,$728.78,,,,,,,,"$1,020,295.48",,,,,,"$666,514.27","$29,645.00","$418,359.04","$26,419.09","$500,441.88",,,,,,"$268,806.00",,,"$3,000.00",,"$389,140.56","$1,537,124.84",,,
1,127044103,Hopewell Area SD,Beaver,"$19,156,872.33","$9,660,883.61",,"$36,185.63",,,,,,,,"$1,888,113.39",,,,,,"$868,080.62","$55,440.00","$1,324,902.42","$40,393.93","$1,149,004.19",,"$11,490.29",,,,"$405,523.00",,,,,"$712,163.83","$3,004,691.42",,,
1,127045303,Midland Borough SD,Beaver,"$4,614,910.86","$3,375,709.87",,,,,,,,,,"$292,713.88",,,,,,"$100,991.24","$27,335.00",,"$5,673.57","$88,970.14",,"$24,889.00",,,,"$75,343.00",,,,,"$101,169.59","$522,115.57",,,
1,127045653,New Brighton Area SD,Beaver,"$16,068,953.00","$10,554,954.00",,"$29,454.00",,,,,,,,"$1,362,936.00",,,,,,"$580,557.00","$22,330.00","$142,101.00","$27,094.00","$671,372.00",,,,,,"$382,984.00",,,,,"$511,139.00","$1,784,032.00",,,
1,127045853,Riverside Beaver County SD,Beaver,"$13,852,328.60","$7,823,367.09",,,,,,,,,,"$1,123,239.68",,,,"$166,500.00",,"$573,080.39","$15,015.00","$672,061.13","$26,548.47","$798,147.60",,,,,,"$327,709.00",,,,,"$466,230.26","$1,860,429.98",,,
1,127046903,Rochester Area SD,Beaver,"$10,739,744.41","$6,174,005.50",,,,,,,,,,"$722,270.02",,,,,,"$274,775.19","$36,190.00","$1,342,889.38","$12,550.62","$485,222.12",,"$30,000.00",,,,"$183,274.00",,,,,"$299,762.74","$1,178,804.84",,,
1,127047404,South Side Area SD,Beaver,"$14,560,371.00","$10,165,323.00",,,,,,,,,,"$732,100.00",,,,,,"$561,123.00","$3,850.00","$350,106.00","$19,942.00","$363,150.00",,"$40,000.00",,,,"$215,726.00",,,,,"$439,165.00","$1,669,886.00",,,
1,127049303,Western Beaver County SD,Beaver,"$8,385,441.87","$5,446,081.01",,,,,,,,,,"$614,851.18",,,,"$165,750.00",,"$513,245.57","$15,785.00",,"$13,448.31","$292,702.26",,,,,,"$141,256.00",,,,,"$231,703.81","$950,618.73",,,
1,108051003,Bedford Area SD,Bedford,"$13,958,864.63","$7,472,199.92",,"$69,391.42",,,,,,,,"$1,326,201.97",,,,"$136,283.36",,"$1,360,244.59","$102,025.00","$780,488.52","$34,267.12","$651,834.82",,,,,,"$328,163.00",,,,,"$296,463.62","$1,401,301.29",,,
1,108051503,Chestnut Ridge SD,Bedford,"$14,073,797.63","$8,260,304.19",,"$80,365.51",,,"$32,208.03",,,,,"$1,015,635.93",,,,"$317,333.30",,"$1,316,525.00","$6,545.00","$352,906.20","$27,381.33","$452,163.32",,"$13,200.00",,,,"$334,642.00",,,,,"$386,403.01","$1,478,184.81",,,
1,108053003,Everett Area SD,Bedford,"$12,017,574.72","$5,908,303.69",,"$16,864.35",,,,,,$80.00,,"$937,338.86",,,,,,"$1,103,496.30","$4,235.00","$1,592,207.90","$25,329.64","$588,121.17",,"$24,999.76",,,,"$245,969.00",,,$386.48,,"$320,216.19","$1,166,200.38","$83,826.00",,
1,108056004,Northern Bedford County SD,Bedford,"$9,039,777.52","$5,792,320.25",,"$53,818.56",,,"$104,839.72",,,,,"$621,514.52",,,,,,"$568,278.13","$5,005.00",,"$17,494.80","$324,348.83",,,,,,"$226,911.00","$10,001.69",,,,"$263,632.91","$1,051,612.11",,,
1,108058003,Tussey Mountain SD,Bedford,"$12,136,722.83","$7,565,990.39",,"$71,013.96",,,"$32,736.53",,,,,"$750,676.29",,,,,,"$1,044,792.52",,"$533,560.18","$17,856.95","$340,743.70",,"-$11,883.00",,,,"$233,979.00","$5,160.30",,"$24,426.30",,"$300,489.96","$1,227,179.75",,,
1,114060503,Antietam SD,Berks,"$6,677,107.20","$3,393,235.00",,"$91,662.24",,,,,,,,"$574,253.02",,,,,,"$114,799.04","$19,250.00","$80,910.57","$24,394.86","$456,629.83",,,,,,"$167,132.00",,,,,"$340,766.43","$1,414,074.21",,,
1,114060753,Boyertown Area SD,Berks,"$34,400,965.73","$14,769,193.13",,"$148,384.83",,,,,,,,"$3,579,118.73",,,,,"$3,466.61","$2,685,623.24","$192,500.00","$764,619.17","$131,638.78","$1,745,690.00",,,,,,"$776,832.00",,,,,"$1,874,895.24","$7,729,004.00",,,
1,114060853,Brandywine Heights Area SD,Berks,"$9,492,733.76","$4,101,054.47",,"$7,519.43",,,,,,,,"$1,059,068.17",,,,,,"$669,317.26","$44,275.00","$279,568.36","$26,670.09","$790,335.15",,,,,,"$205,220.00",,,,,"$443,264.35","$1,866,441.48",,,
1,114061103,Conrad Weiser Area SD,Berks,"$15,075,896.13","$6,252,406.74",,"$440,340.94",,,,,,,,"$1,616,406.04",,,,,,"$913,181.50","$16,940.00","$595,084.84","$48,908.98","$1,019,026.40",,,,,,"$370,988.00",,,,,"$746,328.45","$3,056,284.24",,,
1,114061503,Daniel Boone Area SD,Berks,"$18,656,496.88","$8,431,754.21",,"$54,121.64",,,,,,,,"$1,551,814.05",,,,,"$2,921.14","$1,356,799.84","$149,765.00","$715,815.82","$61,246.06","$1,201,749.90",,,,,,"$489,146.00",,,,,"$949,781.20","$3,691,582.02",,,
1,114062003,Exeter Township SD,Berks,"$21,189,849.60","$8,604,072.99",,"$84,862.64",,,,,,,,"$1,980,952.57",,,,,,"$829,336.74","$150,150.00","$1,437,912.10","$75,835.78","$1,362,510.40",,,,,,"$542,921.00",,,,,"$1,260,659.87","$4,860,635.51",,,
1,114062503,Fleetwood Area SD,Berks,"$14,419,600.34","$5,985,788.33",,"$95,922.91",,,,,,$160.00,,"$1,430,174.03",,,,,,"$813,441.15","$45,815.00","$723,038.35","$48,702.05","$1,124,545.14",,,,,,"$371,717.00",,,,,"$739,986.82","$3,040,309.56",,,
1,114063003,Governor Mifflin SD,Berks,"$17,517,840.08","$6,116,002.82",,"$213,881.00",,,,,,$40.00,,"$2,191,106.15",,,,"$166,230.83",,"$881,671.92","$95,865.00","$974,245.03","$74,828.17","$869,612.07",,"$29,600.00",,,,"$514,885.00",,,,,"$1,050,087.70","$4,339,784.39",,,
1,114063503,Hamburg Area SD,Berks,"$14,626,282.93","$6,743,784.74",,"$105,253.26",,,,,,,,"$1,520,357.60",,,,,,"$925,378.16","$20,790.00","$980,345.19","$38,526.92","$831,050.01",,,,,,"$338,158.00",,,,,"$632,943.94","$2,489,695.11",,,
1,114064003,Kutztown Area SD,Berks,"$8,621,721.84","$3,336,766.39",,"$129,963.33",,,"$29,131.38",,,,,"$903,947.23",,,,,,"$585,140.00",,"$295,085.34","$25,164.07","$612,870.66",,,,,,"$140,805.00","$5,627.10",,"$15,692.00",,"$504,290.72","$2,037,238.62",,,
1,114065503,Muhlenberg SD,Berks,"$15,917,601.00","$5,217,499.00",,"$145,230.00",,,,,,$120.00,,"$1,497,762.00",,,,,,"$518,968.00","$71,225.00","$1,370,981.00","$72,052.00","$1,200,415.00",,,,,,"$447,941.00",,,,,"$1,045,134.00","$4,330,274.00",,,
1,114066503,Oley Valley SD,Berks,"$9,838,207.55","$3,855,191.28",,"$35,507.84",,,"$27,169.40",,,,,"$1,052,013.66",,,,,,"$864,840.30","$46,200.00","$696,100.07","$29,842.38","$628,082.24",,,,,,"$206,179.00","$5,317.04",,,,"$504,443.66","$1,887,320.68",,,
