Ctgy,AUN,school_district,county,total_state_rev,bef,Charter Schools 7140,Tuition for Orphans & Children Placed in Private Homes 7160,School Improvement Grants 7170,Staff and Program Development 7180,Vocational Education 7220,Alternative Education 7230,Driver Education - Student 7240,Migratory Children 7250,Workforce Investment Act 7260,Special Education Funding for School Aged Pupils 7271,Early Intervention 7272,Adult Literacy 7280,Education Assistance Program (Tutoring) 7291,Pre-K Counts 7292,Program Revenues not Listed Previously 7299,Pupil Transportation Subsidy 7311,Nonpublic and Charter School Pupil Transportation Subsidy 7312,Rental & Sinking Fund Payments / Building Reimbursement Subsidy 7320,"Health Services (Medical, Dental, Nurse, Act 25) 7330","State Property Tax Reduction Allocation
7340",Sewage Treatment Operations / Environmental Subsidies 7350,Safe Schools 7360,Vocational Training of the Unemployed 7400,PA Accountability Grants 7501,Project 720 / High School Reform 7503,Ready to Learn Block Grant 7505,Supplemental Equipment Grants 7509,Revenue for the Support of Public Schools 7598,Other State Revenue not Listed Elsewhere 7599,"Revenue for Milk, Lunch & Breakfast Programs 7600",State Share of Social Security & Medicare Taxes 7810,State Share of Retirement Contributions 7820,Educational Technology 7910,Classrooms for the Future 7920,Other Technology Grants 7990
1,116605003,Mifflinburg Area SD,Union,"$14,095,133.90","$7,921,345.58",,"$72,724.98",,,"$46,294.12",,,,,"$1,381,668.39",,,,,,"$881,714.40","$21,945.00","$318,252.38","$39,348.50","$568,096.28",,,,,,"$354,755.00",,,$731.27,,"$457,863.38","$2,030,394.62",,,
1,106611303,Cranberry Area SD,Venango,"$11,327,547.51","$6,779,618.51",,"$33,433.68",,,,,,,,"$887,483.08",,,,,,"$689,232.25","$26,950.00","$244,774.25","$21,151.54","$588,314.86",,,,,,"$207,812.00",,,$100.00,,"$352,465.36","$1,496,211.98",,,
1,106612203,Franklin Area SD,Venango,"$19,625,139.63","$11,701,099.66",,"$50,766.26",,,,,,,,"$1,585,723.35",,,,,,"$1,301,556.72","$60,445.00","$263,193.84","$35,068.81","$935,005.87",,,,,,"$382,881.00",,,,,"$605,545.10","$2,703,854.02",,,
1,106616203,Oil City Area SD,Venango,"$22,415,933.01","$14,050,991.16",,"$78,070.10",,,,,"$2,240.00",,,"$1,600,407.99",,,,,,"$894,484.26","$30,415.00","$729,420.54","$39,342.70","$1,063,767.29",,,,,,"$486,703.00",,,,,"$634,455.92","$2,805,635.05",,,
1,106617203,Titusville Area SD,Venango,"$22,196,069.32","$13,840,065.37",,"$140,006.55",,,"$35,502.49",,,,,"$1,661,769.34",,,,,,"$1,012,401.17",,"$809,564.46","$36,508.50","$489,683.94",,,,,,"$434,788.00",,,"$23,312.26",,"$665,597.82","$3,046,869.42",,,
1,106618603,Valley Grove SD,Venango,"$10,051,390.35","$6,620,026.17",,"$22,649.24",,,,,,,,"$686,778.00",,,,,,"$450,829.17","$5,775.00","$154,675.73","$15,927.09","$341,939.08",,"$19,637.00",,,,"$195,288.00",,,,,"$284,054.62","$1,253,811.25",,,
1,105628302,Warren County SD,Warren,"$45,534,519.96","$25,261,459.42",,"$19,076.80",,,"$329,027.04",,,,,"$4,186,275.44",,,,,,"$3,319,119.73","$151,690.00","$962,497.11","$87,599.70","$2,735,032.15",,,,,,"$1,023,439.00","$15,559.47",,$210.00,,"$1,293,976.11","$6,149,557.99",,,
1,101630504,Avella Area SD,Washington,"$6,591,860.10","$4,279,562.98",,"$10,380.08",,,,,,,,"$560,815.51",,,,,,"$436,472.28","$2,310.00",,"$9,658.74","$251,474.74",,,,,,"$105,057.00",,,$333.27,,"$214,869.12","$720,926.38",,,
1,101630903,Bentworth SD,Washington,"$10,353,517.18","$6,296,585.45",,"$34,569.42",,,,,,,,"$792,051.39",,,,,,"$572,272.51","$15,015.00","$250,367.20","$20,433.79","$399,061.17",,,,,,"$210,735.00",,,,,"$341,939.54","$1,420,486.71",,,
1,101631003,Bethlehem-Center SD,Washington,"$14,164,847.10","$8,752,998.39",,"$3,717.58",,,,,$665.00,,,"$1,015,277.56",,,,,,"$1,316,384.62","$24,255.00","$236,072.40","$20,000.00","$465,622.99",,,,"$252,070.00",,,,,,,"$393,344.52","$1,684,439.04",,,
1,101631203,Burgettstown Area SD,Washington,"$10,884,645.37","$6,327,380.76",,,,,,,,,,"$893,433.13",,,,,,"$720,299.76","$10,780.00","$201,670.39","$21,165.99","$532,314.42",,,,,,"$239,888.00",,,,,"$359,928.51","$1,577,784.41",,,
1,101631503,California Area SD,Washington,"$10,130,718.66","$5,828,933.05",,"$12,627.18",,,,,,,,"$657,489.39",,,,,,"$735,076.02","$5,775.00","$980,566.84","$17,151.51","$407,296.08",,,,"$173,671.00",,,,,,,"$246,834.23","$1,065,298.36",,,
1,101631703,Canon-McMillan SD,Washington,"$23,394,509.88","$11,588,154.77",,"$25,607.00",,,,,,,,"$2,241,650.50",,,,,,"$1,097,044.17","$148,225.00","$455,119.00","$96,908.43","$928,247.10",,,,,,"$537,616.00",,,,,"$1,146,413.30","$5,129,524.61",,,
1,101631803,Charleroi SD,Washington,"$14,379,539.00","$7,890,636.00",,"$16,466.00",,,,,,,,"$1,169,979.00",,,,,,"$398,935.00","$11,550.00","$1,003,453.00","$56,786.00","$643,864.00",,,,,,"$321,336.00",,,,,"$510,446.00","$2,356,088.00",,,
1,101631903,Chartiers-Houston SD,Washington,"$7,986,327.43","$4,761,617.03",,,,,,,,,,"$658,034.91",,,,,,"$212,446.20","$17,710.00","$396,035.91","$24,001.17","$312,390.88",,,,,,"$178,652.00",,,,,"$268,206.95","$1,157,232.38",,,
1,101632403,Fort Cherry SD,Washington,"$10,121,784.50","$6,466,463.02",,"$12,571.19",,,"$60,200.60",,,,,"$804,475.11",,,,,,"$515,706.42","$6,160.00",,"$18,580.79","$450,002.98",,,,,,"$186,506.00","$6,049.58",,,,"$303,088.33","$1,291,980.48",,,
1,101633903,McGuffey SD,Washington,"$16,978,691.76","$10,219,201.42",,"$6,875.18",,,"$57,148.22",,,,,"$1,551,579.90",,,,,$0.01,"$1,006,932.71","$12,705.00","$398,649.82","$31,144.11","$873,194.55",,,,,,"$339,263.00","$6,160.20",,,,"$475,450.59","$2,000,387.05",,,
1,101636503,Peters Township SD,Washington,"$15,171,170.72","$5,489,147.13",,"$10,234.79",,,,,,,,"$1,607,116.41",,,,,,"$708,316.68","$132,825.00","$245,727.15","$54,379.72","$731,943.32",,,,,,"$335,813.00",,,,,"$1,095,584.78","$4,760,082.74",,,
1,101637002,Ringgold SD,Washington,"$23,159,271.82","$12,793,404.10",,"$9,635.45",,,,,"$2,590.00",,,"$2,075,857.56",,,"$20,000.00",,,"$1,582,419.85","$77,385.00","$876,972.75","$53,291.11","$1,219,714.89",,,,,,"$540,337.00",,,,,"$715,286.64","$3,192,377.47",,,
1,101638003,Trinity Area SD,Washington,"$22,037,525.86","$11,801,499.08",,"$9,891.36",,,"$41,579.61",,,,,"$2,044,018.34",,,,,,"$1,566,633.87","$18,480.00","$425,157.11","$57,949.81","$1,288,721.59",,"$16,800.00",,,,"$470,547.00",,,,,"$620,718.77","$3,675,529.32",,,
1,101638803,Washington SD,Washington,"$14,766,741.61","$8,795,977.78",,"$41,146.33",,,,,$735.00,,,"$1,484,524.94",,,,,,"$293,232.14","$28,875.00","$226,149.30","$33,174.21","$1,120,072.74",,,,,,"$335,434.00",,,,,"$458,835.81","$1,948,584.36",,,
1,119648703,Wayne Highlands SD,Wayne,"$18,467,333.46","$8,392,958.95",,"$58,110.56",,,"$14,799.33",,"$4,515.00",,,"$1,665,956.57",,,,,$0.01,"$1,668,919.53","$17,325.00","$159,629.97","$46,712.88","$1,153,972.61",,"$40,000.00",,,,"$340,935.00","$4,399.02",,,,"$897,131.07","$4,001,967.96",,,
1,119648903,Western Wayne SD,Wayne,"$15,815,198.28","$5,106,839.43",,"$120,289.80",,,,,,,,"$1,227,852.88","$1,602,772.00",,,,$73.53,"$2,616,033.90","$53,130.00","$533,878.77","$39,232.71","$876,914.59",,,,,,"$239,366.00",,,,,"$641,990.65","$2,756,824.02",,,
1,107650603,Belle Vernon Area SD,Westmoreland,"$17,618,074.05","$9,728,578.62",,"$29,793.45",,,,,,,,"$1,644,892.86",,,,,,"$883,013.60","$19,635.00",,"$47,281.80","$943,288.28",,,,,,"$444,877.00",,,,,"$739,903.53","$3,136,809.91",,,
1,107650703,Burrell SD,Westmoreland,"$11,742,201.81","$5,840,849.07",,"$38,767.96",,,,,,,,"$1,190,321.99",,,,,,"$661,839.46","$23,100.00","$225,243.68","$32,768.58","$701,477.21",,,,,,"$268,508.00",,,,,"$508,649.57","$2,250,676.29",,,
1,107651603,Derry Area SD,Westmoreland,"$19,977,722.98","$11,365,789.49",,"$159,044.75",,,"$51,573.18",,"$1,960.00",,,"$1,689,801.52",,,,,,"$1,040,281.82","$39,655.00","$796,573.96","$40,327.03","$969,863.53",,,,,,"$392,930.00","$6,972.00",,,,"$626,812.92","$2,796,137.78",,,
1,107652603,Franklin Regional SD,Westmoreland,"$16,439,490.62","$6,999,832.58",,"$11,167.86",,,,,,,,"$1,828,400.60",,,,,,"$973,040.75","$54,285.00","$83,564.92","$67,524.12","$837,626.70",,"$20,000.00",,,,"$334,456.00",,,,,"$975,622.72","$4,253,969.37",,,
1,107653102,Greater Latrobe SD,Westmoreland,"$20,666,030.35","$10,771,863.52",,"$86,007.18",,,,,,,,"$2,181,845.47",,,,,$1.03,"$1,118,495.48","$61,985.00","$329,292.46","$70,663.05","$754,711.31",,,,,,"$516,843.00",,,,,"$852,686.90","$3,921,635.95",,,
1,107653203,Greensburg Salem SD,Westmoreland,"$19,211,327.75","$10,453,401.09",,"$47,624.58",,,,,,$40.00,,"$2,039,516.57",,,,,,"$788,398.08","$46,970.00","$533,818.57","$53,757.40","$829,499.88",,"$19,934.00",,,,"$427,212.00",,,,,"$734,802.92","$3,236,352.66",,,
1,107653802,Hempfield Area SD,Westmoreland,"$33,192,512.00","$18,003,340.00",,"$150,328.00",,,,,,$68.00,,"$3,428,176.00",,,,,,"$2,014,042.00","$114,345.00","$60,644.00","$118,108.00","$1,261,341.00",,"$20,000.00",,,,"$707,433.00",,,,,"$1,086,756.00","$6,227,931.00",,,
1,107654103,Jeannette City SD,Westmoreland,"$12,732,690.02","$8,033,417.59",,"$25,472.90",,,,,,,,"$1,047,703.00",,,,,,"$328,265.17","$13,090.00","$598,262.19","$19,472.45","$628,551.41",,"$53,000.00",,,,"$247,552.00",,,,,"$321,859.71","$1,402,043.60","$14,000.00",,
1,107654403,Kiski Area SD,Westmoreland,"$29,590,831.62","$15,890,553.41",,"$103,585.90",,,,,,,,"$2,585,618.01",,,,,,"$2,590,420.53","$62,755.00","$837,537.41","$68,304.28","$1,166,779.02",,,,,,"$630,145.00",,,"$4,459.53",,"$1,066,575.31","$4,584,098.22",,,
1,107654903,Ligonier Valley SD,Westmoreland,"$11,251,541.81","$5,850,972.40",,"$117,348.80",,,,,,,,"$1,159,048.84",,,,,,"$1,202,290.92","$25,795.00","$265,036.98","$34,759.18","$323,951.93",,"$20,000.00",,,,"$167,418.00",,,,,"$398,028.81","$1,686,890.95",,,
1,107655803,Monessen City SD,Westmoreland,"$10,524,637.39","$6,262,632.04",,"$38,268.12",,,,,,,,"$726,693.36",,,,"$467,500.00",,"$330,304.10","$10,780.00","$271,181.83","$29,105.44","$527,654.71",,,,,,"$200,433.00",,,,,"$293,668.20","$1,366,416.59",,,
1,107655903,Mount Pleasant Area SD,Westmoreland,"$16,407,563.57","$9,085,052.93",,"$43,687.42",,,,,,,,"$1,477,991.62",,,,,,"$1,014,802.31","$43,120.00","$622,898.75","$39,840.45","$835,170.11",,"$19,871.15",,,,"$344,356.00",,,"$37,227.68",,"$531,728.84","$2,311,816.31",,,
1,107656303,New Kensington-Arnold SD,Westmoreland,"$21,785,115.48","$12,188,206.90",,"$34,200.57",,,,,,,,"$1,973,923.33",,,,,"$4,240.58","$788,500.35","$80,080.00","$902,321.75","$86,093.71","$1,281,239.55",,,,,,"$480,928.00",,,,,"$725,194.51","$3,240,186.23",,,
1,107656502,Norwin SD,Westmoreland,"$29,745,261.80","$15,874,351.25",,"$22,447.27",,,,,,,,"$2,697,389.40",,,,,,"$1,237,205.51","$82,390.00","$900,242.39","$96,944.59","$953,731.08",,,,,,"$671,460.00",,,,,"$1,242,921.57","$5,407,178.74",,,"$559,000.00"
1,107657103,Penn-Trafford SD,Westmoreland,"$25,224,354.27","$14,139,865.75",,$506.00,,,,,,,,"$2,448,403.04",,,,,,"$1,084,353.44","$38,088.89","$534,207.21","$70,622.70","$1,021,337.68",,,,,,"$580,222.00",,,,,"$961,662.02","$4,345,085.54",,,
1,107657503,Southmoreland SD,Westmoreland,"$17,176,149.57","$9,657,546.77",,"$135,990.36",,,,,,,,"$1,432,069.94",,,,,$332.12,"$1,047,748.39","$21,175.00","$530,380.57","$34,778.35","$938,106.33",,"$20,000.00",,,,"$357,264.00",,,,,"$559,117.38","$2,441,640.36",,,
1,107658903,Yough SD,Westmoreland,"$17,699,499.45","$9,868,900.74",,"$58,756.91",,,,,,,,"$1,497,537.85",,,,,,"$1,265,541.45",,"$618,982.87","$37,891.59","$768,457.06",,,,,,"$401,277.00",,,"$20,000.00",,"$523,873.98","$2,638,280.00",,,
1,119665003,Lackawanna Trail SD,Wyoming,"$10,756,555.00","$5,672,863.00",,,,,,,,,,"$1,013,368.00",,,,"$304,625.00",,"$1,186,086.00","$25,025.00","$3,594.00","$18,539.00","$531,446.00",,,,,,"$181,454.00",,,$400.00,,"$349,284.00","$1,469,871.00",,,
1,118667503,Tunkhannock Area SD,Wyoming,"$21,829,151.43","$11,145,770.21",,"$183,305.24",,,"$44,715.06",,,$200.00,,"$1,758,793.07",,,,"$438,600.00",,"$1,836,811.37","$11,935.00","$971,056.58","$47,078.35","$1,145,339.28",,,,,,"$401,678.00","$5,742.18",,,,"$722,348.89","$3,115,778.20",,,
1,112671303,Central York SD,York,"$22,667,020.21","$7,999,024.64",,"$298,473.82",,,,,,,,"$2,090,982.28",,,,,$949.81,"$1,280,130.09","$178,640.00","$985,593.43","$112,859.10","$1,066,711.42",,,,,,"$581,460.00",,,,,"$1,403,046.61","$6,669,149.01",,,
1,112671603,Dallastown Area SD,York,"$26,712,265.60","$9,426,357.86",,"$132,527.64",,,,,,,,"$2,743,658.58",,,,,$0.65,"$1,728,765.05","$73,535.00","$558,087.20","$117,226.67","$1,379,650.43",,,,,,"$650,028.00",,,,,"$1,863,564.20","$8,038,864.32",,,
1,112671803,Dover Area SD,York,"$24,312,796.21","$11,496,673.06",,"$46,679.73",,,"$93,423.28",,,,,"$2,055,523.35",,,,,$108.90,"$1,361,869.78","$50,820.00","$1,235,406.80","$65,556.53","$1,275,873.60",,,,,,"$560,822.00","$7,667.12",,,,"$1,365,936.36","$4,696,435.70",,,
1,112672203,Eastern York SD,York,"$16,092,167.19","$7,714,116.94",,"$55,467.73",,,,,,,,"$1,978,218.80",,,,,,"$943,793.67","$38,885.00","$626,566.59","$45,577.53","$728,575.39",,"$3,650.00",,,,"$374,675.00",,,,,"$657,347.12","$2,925,293.42",,,
1,112672803,Hanover Public SD,York,"$8,377,075.00","$3,139,789.00",,"$22,364.00",,,"$3,115.00",,,$368.00,,"$886,437.00",,,,,,"$312,020.00","$38,115.00","$394,748.00","$36,306.00","$574,152.00",,,,,,"$196,627.00",,,,,"$512,486.00","$2,260,548.00",,,
1,112674403,Northeastern York SD,York,"$23,629,314.51","$11,328,755.54",,"$224,628.56",,,,,,$120.00,,"$1,939,434.81",,,,,$3.89,"$1,141,136.98","$52,745.00","$706,515.52","$68,487.22","$1,287,992.68",,,"$2,178.33",,,"$542,734.00",,,,,"$1,151,333.27","$5,183,248.71",,,
1,115674603,Northern York County SD,York,"$16,130,350.51","$7,526,700.28",,"$64,982.65",,,"$22,949.91",,,$80.00,,"$1,645,743.13",,,,,,"$1,124,128.62","$26,950.00","$642,099.80","$58,146.45","$722,005.57",,,,,,"$384,133.00","$4,433.99",,$397.56,,"$746,846.14","$3,160,753.41",,,
1,112675503,Red Lion Area SD,York,"$33,113,259.00","$15,289,317.00",,"$160,106.00",,,"$17,482.00",,,,,"$3,078,491.00",,,,,$141.00,"$2,581,944.00","$174,020.00","$1,145,875.00","$100,340.00","$1,899,622.00",,"$24,525.00",,,,"$849,464.00","$3,909.00",,,,"$1,384,032.00","$6,403,991.00",,,
1,112676203,South Eastern SD,York,"$18,789,926.53","$8,983,829.62",,"$24,936.24",,,"$54,505.41",,,,,"$1,968,670.89",,,,,,"$1,072,076.92","$38,500.00","$810,753.35","$47,148.65","$995,455.06",,,,,,"$438,108.00",,,,,"$776,407.47","$3,579,534.92",,,
1,112676403,South Western SD,York,"$21,661,633.07","$10,229,412.88",,"$118,863.15",,,,,,,,"$2,118,469.91",,,,,,"$706,188.68","$71,610.00","$823,670.06","$75,142.20","$1,118,864.94",,,,,,"$521,680.00",,,,,"$1,103,541.25","$4,774,190.00",,,
1,112676503,Southern York County SD,York,"$17,618,043.59","$7,810,371.17",,"$56,889.56",,,,,,,,"$1,762,934.48",,,,,,"$771,712.78","$12,320.00","$1,143,302.39","$59,138.68","$1,058,880.88",,,,,,"$386,378.00",,,,,"$841,745.90","$3,714,369.75",,,
1,112676703,Spring Grove Area SD,York,"$23,115,706.27","$10,790,953.02",,"$184,690.04",,,,,,,,"$2,234,642.08",,,,,$14.26,"$1,941,248.96","$80,850.00","$874,797.05","$77,671.25","$999,494.08",,,,,,"$513,525.00",,,,,"$1,001,476.00","$4,416,344.53",,,
1,115219002,West Shore SD,York,"$31,907,150.20","$13,595,793.63",,"$163,628.61",,,,,,$120.00,,"$3,883,909.87",,,,,,"$1,528,170.95",,"$653,029.09","$171,036.42","$1,282,768.40",,,,,,"$810,789.00",,,,,"$1,736,682.30","$8,081,221.93",,,
1,112678503,West York Area SD,York,"$15,324,692.00","$6,308,224.00",,"$39,219.00",,,,,,,,"$1,604,913.00",,,,,,"$665,131.00","$78,540.00","$1,078,204.00","$51,972.00","$1,064,281.00",,,,,,"$402,398.00",,,,,"$730,528.00","$3,301,282.00",,,
1,112679002,York City SD,York,"$93,915,188.57","$64,946,083.96",,"$69,010.52",,,,,,"$1,329.00",,"$6,209,124.49",,"$353,804.13",,"$2,099,500.00",,"$379,801.43","$8,855.00","$2,257,616.14",,"$2,903,008.97",,"$40,000.00",,,,"$1,566,041.00",,,"$1,097.50",,"$1,978,581.14","$11,101,335.29",,,
1,112679403,York Suburban SD,York,"$10,118,351.87","$2,284,698.19",,"$55,326.75",,,,,,,,"$1,203,754.37",,,,,$137.18,"$516,099.72","$63,525.00","$319,889.80","$64,129.32","$665,159.86",,,,,,"$171,965.00",,,$100.00,,"$880,200.41","$3,893,366.27",,,
3,103020407,A W Beattie Career Center,Allegheny,"$1,234,349.62",,,,,,"$459,782.19",,,,,,,,,,,,,,,,,"$19,995.00",,,,,"$17,831.19",,,,"$134,216.22","$602,525.02",,,
3,103023807,Forbes Road CTC,Allegheny,"$1,181,552.63",,,,,,"$557,719.26",,,,,,,,,,,,,,,,,,,,,,"$25,558.00",,,,"$109,154.79","$489,120.58",,,
3,103027307,Parkway West CTC,Allegheny,"$997,406.00",,,,,,"$421,234.00",,,,,,,,,,,,,,,,,,,,,,"$24,305.00",,,,"$97,845.00","$454,022.00",,,
3,103028807,Steel Center for Career and Technical Education,Allegheny,"$1,217,078.00",,,,,,"$593,073.00",,,,,,,,,,,,,,,,,,,,,,"$26,223.00",,$102.00,,"$113,707.00","$483,973.00",,,
3,128034607,Lenape Tech,Armstrong,"$1,406,140.69",,,,,,"$499,865.48",,,,,,,,,,,,,,"$9,007.85",,,"$22,232.00",,,,,"$21,697.41",,,,"$162,350.49","$690,987.46",,,
3,127041307,Beaver County CTC,Beaver,"$1,213,749.00",,,,,,"$568,651.00",,,,,,,,,,,,,,,,,,,,,,"$23,004.00",,,,"$111,937.00","$510,157.00",,,
3,108051307,Bedford County Technical Center,Bedford,"$531,880.14",,,,,,"$267,397.24",,,,,,,,,,,,,,,,,,,,,,"$15,423.90",,"$45,500.00",,"$26,126.96","$177,432.04",,,
3,114060557,Berks CTC,Berks,"$2,862,203.15",,,,,,"$1,229,997.19",,,,,,,,,,"$117,873.52",,,,,,,,,,,,"$60,056.26",,,,"$267,825.82","$1,186,450.36",,,
3,114067107,Reading Muhlenberg CTC,Berks,"$2,397,065.34",,,,,,"$986,453.88",,,,,,,,,,,,,,,,,,,,,,"$36,680.53",,,,"$246,793.36","$1,127,137.57",,,
3,108070607,Greater Altoona CTC,Blair,"$1,994,639.82",,,,,,"$986,171.81",,,,,,,,,,,,,,,,,,,,,,"$41,702.12",,,,"$172,340.88","$794,425.01",,,
3,117080607,Northern Tier Career Center,Bradford,"$810,104.43",,,,,,"$433,783.05",,,,,,,,,,,,,,,,,,,,,,,,,,"$70,946.14","$305,375.24",,,
3,122091457,Bucks County Technical High School,Bucks,"$3,917,212.00",,,,,,"$1,015,152.00",,,,,,,,,,,,,,"$26,167.00",,,,,,,,"$53,011.00",,"$1,593.00",,"$522,355.00","$2,298,934.00",,,
3,122097007,Middle Bucks Institute of Technology,Bucks,"$1,391,615.87",,,,,,"$410,272.66",,,,,,,,,,,,,,,,,,,,,,"$35,108.62",,,,"$171,089.21","$775,145.38",,,
3,122099007,Upper Bucks County Technical School,Bucks,"$1,284,419.53",,,,,,"$457,054.51",,,,,,,,,,,,,,,,,,,,,,"$26,778.92",,,,"$148,586.35","$651,999.75",,,
3,104101307,Butler County AVTS,Butler,"$1,144,678.00",,,,,,"$678,169.00",,,,,,,,,,,,,,,,,,,,,,"$33,738.00",,,,"$80,748.00","$352,023.00",,,
3,108110307,Admiral Peary AVTS,Cambria,"$807,404.47",,,,,,"$410,784.18",,,,,,,,,,,,,,,,,,,,,,"$18,741.39",,,,"$65,860.63","$312,018.27",,,
3,108112607,Greater Johnstown CTC,Cambria,"$1,240,369.00",,,,,,"$566,381.00",,,,,,,,,,,,,,,,,,,,,,"$14,000.00",,"$14,860.00",,"$109,065.00","$474,729.00",,,"$61,334.00"
3,121131507,Carbon Career & Technical Institute,Carbon,"$1,120,376.54",,,,,,"$360,214.37",,,,,,,,,,,,,,"$6,511.00",,,,,,,,,,$321.17,,"$142,817.00","$610,513.00",,,
3,110141607,Central PA Institute of Science & Technology,Centre,"$1,453,203.69",,,,,,"$649,704.25",,,,,,,,,,,,,,,,,,,,,,"$6,503.72",,"$14,398.00",,"$157,864.96","$624,732.76",,,
3,124151607,Chester County Technical College HS,Chester,"$3,711,518.00",,,,,,"$1,475,107.00",,,,,,,,,,,,,,,,,,,,,,"$121,674.00",,"$11,587.00",,"$398,000.00","$1,705,150.00",,,
3,106161357,Clarion County Career Center,Clarion,"$774,987.36",,,,,,"$409,770.93",,,,,,,,,,"$3,604.00",,,,,,,,,,,,"$15,642.57",,,,"$66,924.09","$279,045.77",,,
3,110171607,Clearfield County CTC,Clearfield,"$999,445.13",,,,,,"$494,838.00",,,,,,,,,,,,,,,,,,,,,,,,"$13,797.00",,"$90,530.64","$400,279.49",,,
3,116191757,Columbia-Montour AVTS,Columbia,"$1,329,424.00",,,,,,"$480,778.00",,,,,,,,,,,,,,"$11,536.00",,,,,,,,"$24,765.00",,,,"$163,597.00","$648,748.00",,,
3,105201407,Crawford County CTC,Crawford,"$1,134,930.90",,,,,,"$558,467.03",,,,,,,,,,,,,,,,,,,,,,"$21,631.38",,,,"$100,199.01","$454,633.48",,,
3,115211657,Cumberland Perry AVTS,Cumberland,"$1,291,962.32",,,,,,"$596,028.14",,,,,,,,,,,,,,,,,,,,,,"$34,219.38",,,,"$121,860.60","$539,854.20",,,
3,115221607,Dauphin County Technical School,Dauphin,"$2,680,895.18",,,,,,"$989,497.34",,,,,,,,,,,,,,"$18,926.24",,,,,,,,"$39,371.02",,,,"$308,862.59","$1,324,237.99",,,
3,125232407,Delaware County Technical High School,Delaware,"$2,079,658.00",,,,,,"$917,583.00",,,,,,,,,,,,,,,,,,,,,,"$33,248.00",,,,"$202,850.00","$925,977.00",,,
3,105252807,Erie County Technical School,Erie,"$1,278,480.46",,,,,,"$625,999.63",,,,,,,,,,,,,,,,,,,,,,"$29,791.98",,,,"$117,513.76","$505,175.09",,,
3,101266007,Connellsville Area Career & Technical Center,Fayette,"$1,005,669.95",,,,,,"$416,307.30",,,,,,,,,,,,,,,,,,,,,,"$20,549.45",,,,"$108,192.03","$460,621.17",,,
3,101262507,Fayette County Career & Technical Institute,Fayette,"$1,513,239.65",,,,,,"$692,749.59",,,,"$85,402.86",,,,,,"$5,000.00",,,,,,,,,,,,"$24,325.08",,,,"$132,886.51","$572,875.61",,,
3,112282307,Franklin County CTC,Franklin,"$1,404,370.13",,,,,,"$717,382.80",,,,,,,,,,,,,,,,,,,,,,"$36,828.10",,,,"$123,436.51","$526,722.72",,,
3,111292507,Fulton County AVTS,Fulton,"$232,304.00",,,,,,"$133,823.00",,,,,,,,,,,,,,,,,,,,,,"$8,310.00",,,,"$17,424.00","$72,747.00",,,
3,101302607,Greene County CTC,Greene,"$628,893.54",,,,,,"$301,421.23",,,,,,,,,,,,,,,,,,,,,,"$14,063.22",,,,"$56,854.86","$256,554.23",,,
3,111312607,Huntingdon County CTC,Huntingdon,"$517,942.79",,,,,,"$255,203.33",,,,,,,,,,,,,,,,,,,,,,"$14,063.81",,,,"$46,688.10","$201,987.55",,,
3,128324207,Indiana County Technology Center,Indiana,"$1,614,590.88",,,,,,"$506,669.96",,,,,,,,,,"$23,545.83",,,,,,,,,,,,"$209,251.89",,"$300,026.85",,"$110,394.14","$464,702.21",,,
3,106333407,Jefferson County-DuBois AVTS,Jefferson,"$1,149,961.04",,,,,,"$362,879.10",,,,,,,,,,,,,,"$6,795.26",,,"$20,000.00",,,,,"$15,983.96",,,,"$144,578.83","$599,723.89",,,
3,119354207,CTC of Lackawanna County,Lackawanna,"$1,525,111.00",,,,,,"$635,579.00",,,,,,,,,,,,,,,,,,,,,,"$80,187.00",,,,"$151,106.00","$658,239.00",,,
3,113363807,Lancaster County CTC,Lancaster,"$4,384,359.89",,,,,,"$2,120,898.17",,,,,,,,,,,,,,,,,"$17,273.00",,,,,"$79,902.44",,"$75,521.48",,"$382,621.17","$1,708,143.63",,,
3,104374207,Lawrence County CTC,Lawrence,"$1,352,069.53",,,,,,"$404,738.44",,,,,,,,,,,,,,"$7,272.61",,,"$71,535.00",,,,,"$11,773.00",,,,"$149,734.98","$707,015.50",,,
3,113384307,Lebanon County CTC,Lebanon,"$1,640,024.61",,,,,,"$775,092.26",,,,,,,,,,,,,,,,,,,,,,"$27,345.52",,,,"$151,020.84","$686,565.99",,,
3,121393007,Lehigh Career & Technical Institute,Lehigh,"$5,239,666.66",,,,,,"$2,603,091.17",,,,,,,,,,,,,,,,,,,,,,"$89,723.50",,,,"$463,396.51","$2,083,455.48",,,
3,118408707,West Side CTC,Luzerne,"$1,159,896.83",,,,,,"$442,252.16",,,,,,,,,,,,,,"$8,978.53",,,,,,,,"$20,434.31",,,,"$106,002.86","$582,228.97",,,
3,118408607,Wilkes-Barre Area CTC,Luzerne,"$1,855,903.41",,,,,,"$681,358.32",,,,,,,,,,,,,,,,,,,,,,"$30,430.81",,,,"$219,016.86","$925,097.42",,,
3,117414807,Lycoming CTC,Lycoming,"$416,245.11",,,,,,"$244,420.97",,,,,,,,,,,,,,,,,,,,,,"$13,652.43",,,,"$26,969.73","$131,201.98",,,
3,109420107,Seneca Highlands Career and Technical Center,McKean,"$506,685.40",,,,,,"$290,381.96",,,,,,,,,,,,,,,,,,,,,,"$13,112.10",,,,"$41,006.45","$162,184.89",,,
