,AUN,school_district,county,total_state_rev,bef,formula_funding_2021,bef_soc_sec_2021,Charter Schools 7140,Tuition for Orphans & Children Placed in Private Homes 7160,School Improvement Grants 7170,Staff and Program Development 7180,Vocational Education 7220,Alternative Education 7230,Driver Education - Student 7240,Migratory Children 7250,Workforce Investment Act 7260,Special Education Funding for School Aged Pupils 7271,Early Intervention 7272,Adult Literacy 7280,Education Assistance Program (Tutoring) 7291,Pre-K Counts 7292,Program Revenues not Listed Previously 7299,Pupil Transportation Subsidy 7311,Nonpublic and Charter School Pupil Transportation Subsidy 7312,Rental & Sinking Fund Payments / Building Reimbursement Subsidy 7320,"Health Services (Medical, Dental, Nurse, Act 25) 7330","State Property Tax Reduction Allocation
7340",Sewage Treatment Operations / Environmental Subsidies 7350,School Safety and Security Grants 7361,Other Safe Schools Grants 7369,Vocational Training of the Unemployed 7400,PA Accountability Grants 7501,Ready to Learn Block Grant 7505,PAsmart Grants 7506,Supplemental Equipment Grants 7509,Continuity of Education and Equity Grants 7521,Revenue for the Support of Public Schools 7598,Other State Revenue not Listed Elsewhere 7599,"Revenue for Milk, Lunch & Breakfast Programs 7600",State Share of Social Security & Medicare Taxes 7810,State Share of Retirement Contributions 7820,Educational Technology 7910,Classrooms for the Future 7920,Other Technology Grants 7990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,108118503,Westmont Hilltop SD,Cambria,"$8,658,228.26","$4,466,334.54","$4,078,639.78","$387,694.76",,"$38,366.91",,,,,,,,"$878,969.48",,,,,,"$372,767.49","$15,400.00","$286,994.22","$30,765.60","$309,383.35",,,,,,"$177,493.00",,,,,"$350,000.00",,,"$1,731,753.67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,109122703,Cameron County SD,Cameron,"$8,804,396.00","$5,754,362.00","$5,540,282.00","$214,080.00",,,,,,,,,,"$691,911.00",,,,,,"$360,468.00","$4,235.00","$387,044.00","$9,166.00","$432,245.00",,"$114,979.00",,,,"$145,002.00",,,"$11,750.00",,,,,"$893,234.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,121135003,Jim Thorpe Area SD,Carbon,"$11,357,108.16","$4,469,874.30","$3,851,958.66","$617,915.64",,"$250,022.06",,,,,,,,"$1,040,519.92",,,,"$175,000.00",,"$760,591.53","$2,310.00","$611,284.91","$71,966.21","$741,189.94",,,,,,"$219,928.00","$27,222.24",,,,"$308,507.00",,,"$2,678,692.05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,121135503,Lehighton Area SD,Carbon,"$20,614,631.09","$9,998,658.00","$9,282,099.00","$716,559.00",,"$131,356.93",,,,,,,,"$1,648,850.63",,,,"$175,000.00",,"$452,592.09","$7,315.00","$3,328,188.14","$42,555.15","$1,189,375.25",,"$214,282.00","$32,177.92",,,"$374,159.00",,,,,,,,"$3,020,120.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,121136503,Palmerton Area SD,Carbon,"$13,445,977.03","$7,246,906.03","$6,700,029.06","$546,876.97",,"$77,711.79",,,,,,,,"$1,264,767.31",,,,"$175,000.00",,"$461,229.45","$35,035.00","$227,359.96","$32,082.88","$749,006.78",,"$35,000.00",,,,"$303,548.00",,,,,"$250,000.00",,,"$2,588,329.83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,121136603,Panther Valley SD,Carbon,"$15,668,444.97","$9,341,696.98","$9,017,688.86","$324,008.12",,"$50,299.25",,,,,,,,"$1,657,940.16",,,,,,"$668,810.57","$42,350.00","$323,205.39",,"$738,706.34",,,,,,"$338,016.00","-$5,202.59",,,,,,"-$10,589.55","$2,523,212.42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,121139004,Weatherly Area SD,Carbon,"$6,551,809.94","$3,494,966.62","$3,300,490.07","$194,476.55",,"$33,424.00",,,,,,,,"$485,807.29",,,,"$332,500.00",,"$633,207.47","$6,545.00",,"$12,024.84","$365,106.23",,"$34,695.07",,,"$145,348.00","$98,472.00",,,,,,,,"$909,713.42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,110141003,Bald Eagle Area SD,Centre,"$16,032,127.27","$8,891,940.52","$8,366,257.78","$525,682.74",,"$46,677.79",,,"$59,021.05",,,,,"$1,331,822.67",,,,,,"$1,336,076.71","$21,560.00","$881,698.48","$28,981.25","$732,328.04",,"$1,355.81",,,,"$310,813.00",,,,,,,,"$2,389,851.95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,110141103,Bellefonte Area SD,Centre,"$17,831,330.22","$9,385,365.74","$8,606,514.29","$778,851.45",,$638.58,,,"$15,805.63",,$875.00,,,"$1,848,063.76",,,,,,"$586,752.56","$77,770.00","$626,078.84","$52,763.79","$1,175,640.46",,"$97,809.47",,,,"$408,961.00",,,,,"$148,870.20",,,"$3,405,935.19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,110147003,Penns Valley Area SD,Centre,"$10,804,401.76","$5,782,343.29","$5,401,025.03","$381,318.26",,"$47,322.33",,,$344.00,,,,,"$907,044.47",,,,,,"$977,660.08","$46,585.00","$558,009.80","$26,280.79","$560,984.89",,,,,,"$193,434.00",,,,,,,,"$1,704,393.11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,110148002,State College Area SD,Centre,"$29,871,140.44","$11,114,082.69","$8,406,907.20","$2,707,175.49",,"$100,126.27",,,"$218,773.00",,,,,"$3,358,712.86",,,,,,"$517,055.12","$294,525.00","$250,398.26","$138,231.78","$1,426,711.16",,,"$33,196.03",,,"$310,013.00","$33,837.29","$33,506.03","$40,308.60",,"$7,175.00",,,"$11,994,488.35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,124150503,Avon Grove SD,Chester,"$32,502,390.20","$16,990,543.57","$15,484,561.82","$1,505,981.75",,"$5,921.22",,,,,,"$3,175.00",,"$2,714,831.18",,,,,,"$1,804,972.36","$284,515.00","$460,041.69","$105,259.35","$2,673,877.24",,"$39,420.00","$50,204.90",,,"$754,726.00","$30,263.15",,,,"$3,239.28",,,"$6,581,400.26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,124151902,Coatesville Area SD,Chester,"$52,809,773.39","$27,494,733.01","$25,838,020.08","$1,656,712.93",,"$71,026.14",,,,,,,,"$5,613,075.58",,,,,,"$5,490,212.73","$1,460,305.00","$192,117.97","$104,216.11","$3,934,590.10",,"$44,967.62","$137,750.00",,,"$1,103,925.00","$27,222.24",,,,,,,"$7,135,631.89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,124152003,Downingtown Area SD,Chester,"$53,930,958.69","$19,080,408.29","$15,213,418.85","$3,866,989.44",,"$153,275.77",,,,,,,,"$6,146,692.37",,,,,,"$3,397,529.36","$651,805.00","$1,236,671.15","$305,197.69","$3,983,274.94",,"$25,000.00",,,,"$874,969.00",,,,,,,,"$18,076,135.12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,124153503,Great Valley SD,Chester,"$16,526,660.97","$4,445,918.98","$2,739,523.98","$1,706,395.00",,"$106,011.71",,,,,,,,"$1,653,283.78",,,,,,"$602,344.31","$416,185.00","$181,714.23","$97,709.15","$1,024,211.77",,"$284,852.98",,,,"$136,602.00","$35,000.00",,,,,,,"$7,542,827.06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,124154003,Kennett Consolidated SD,Chester,"$18,246,338.71","$7,117,750.39","$5,949,341.84","$1,168,408.55",,"$6,497.53",,,,,,"$4,020.00",,"$1,918,262.41",,,,,,"$1,214,706.54","$134,750.00","$455,796.74","$81,346.74","$1,458,018.84",,,,,,"$400,617.00",,,,,,,,"$5,454,572.52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,124156503,Octorara Area SD,Chester,"$15,529,885.00","$7,274,251.51","$6,521,778.48","$752,473.03",,"$13,539.38",,,"$101,480.00",,,,,"$1,468,303.71",,,,,,"$1,298,611.84","$97,405.00","$483,103.30","$48,327.41","$1,129,618.42",,,,,,"$318,487.00",,"$19,542.19","$9,198.00",,"$16,000.00",,,"$3,252,017.24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,124156603,Owen J Roberts SD,Chester,"$22,590,712.74","$7,958,262.11","$6,267,140.76","$1,691,121.35",,"$34,005.05",,,,,,,,"$2,085,597.45",,,,"$437,500.00",,"$1,177,075.55","$252,945.00","$570,158.60","$107,550.98","$1,536,893.30",,"$50,936.75","$21,960.00",,,"$292,196.00","$26,857.62",,,,,,,"$8,038,774.33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,124156703,Oxford Area SD,Chester,"$25,969,408.86","$14,246,926.42","$13,097,075.83","$1,149,850.59",,"$60,429.45",,,,,,,,"$2,218,250.05",,,,,,"$1,109,674.86","$179,795.00","$1,025,860.55","$68,703.53","$1,577,051.04",,"$45,000.00",,,,"$572,695.00",,,,,,,,"$4,865,022.96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,124157203,Phoenixville Area SD,Chester,"$18,557,190.70","$6,566,345.98","$5,117,689.15","$1,448,656.83",,"$53,996.07",,,,,,,,"$1,777,358.71",,,,,,"$813,562.62","$329,560.00","$923,221.00","$155,480.17","$1,398,449.58",,"$113,910.68",,,,"$127,795.00","$25,277.80",,,,,,,"$6,272,233.09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,124157802,Tredyffrin-Easttown SD,Chester,"$23,604,922.82","$6,253,098.48","$3,759,848.03","$2,493,250.45",,,,,,,,,,"$2,511,565.61",,,,,,"$1,075,047.34","$339,185.00","$16,215.62","$155,072.03","$2,100,044.65",,"$222,790.53",,,"$199,614.00",,"$35,000.00",,,,,,$12.09,"$10,697,277.47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,124158503,Unionville-Chadds Ford SD,Chester,"$16,399,350.70","$4,552,949.86","$3,368,197.59","$1,184,752.27",,"$31,334.67",,,,,,,,"$1,841,569.80",,,,,,"$456,890.34","$96,250.00","$289,875.51","$79,127.92","$1,488,735.71",,"$21,196.00",,,,"$127,325.00",,,,,,,"$402,990.18","$7,011,105.71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,124159002,West Chester Area SD,Chester,"$43,625,782.06","$12,396,943.76","$8,810,194.57","$3,586,749.19",,"$95,799.79",,,,,,,,"$5,077,233.65",,,,,,"$2,243,277.78","$844,305.00","$1,051,643.45","$253,641.15","$3,570,346.02",,"$149,606.00",,,,"$399,095.00",,,,,"$178,796.71",,,"$17,365,093.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,106160303,Allegheny-Clarion Valley SD,Clarion,"$9,654,963.43","$6,224,754.77","$5,941,855.77","$282,899.00",,"$33,196.56",,,,,,,,"$687,328.97",,,,,,"$927,733.11","$15,015.00",,"$10,511.39","$279,824.55",,,,,,"$151,489.00",,,,,"$129,686.00",,,"$1,195,424.08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,106161203,Clarion Area SD,Clarion,"$6,067,841.12","$3,355,799.24","$3,129,311.54","$226,487.70",,"$2,885.16",,,,,,,,"$524,255.05",,,,,,"$272,383.54","$5,775.00","$132,090.14","$14,969.59","$209,968.40",,"$248,751.28",,,,"$99,414.00",,,,,"$168,578.00",,,"$1,032,971.72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,106161703,Clarion-Limestone Area SD,Clarion,"$8,906,955.95","$5,543,123.40","$5,264,754.53","$278,368.87",,"$26,896.44",,,"$58,309.00",,,,,"$688,675.47",,,,,,"$657,035.60","$6,545.00","$138,191.24","$14,506.69","$330,443.42",,"$30,000.00",,,,"$158,575.00",,,,,,,,"$1,254,654.69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,106166503,Keystone SD,Clarion,"$11,118,394.00","$7,453,956.62","$7,126,979.19","$326,977.43",,"$43,230.00",,,,,,,,"$798,419.43",,,,,,"$802,208.83","$32,340.00",,"$16,841.00","$279,587.42",,,,,,"$194,891.00",,,,,,,,"$1,496,919.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,106167504,North Clarion County SD,Clarion,"$5,808,972.33","$3,690,196.04","$3,497,951.18","$192,244.86",,$942.67,,,,,,,,"$376,581.36",,,,"$245,000.00",,"$362,772.46","$7,700.00","$13,646.59","$10,735.21","$135,486.88",,"$30,000.00",,,,"$91,295.00","$2,058.14",,,,"$25,000.00",,,"$817,557.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,106168003,Redbank Valley SD,Clarion,"$13,424,851.51","$9,395,662.72","$8,740,041.90","$655,620.82",,"$23,726.00",,,,,,,,"$922,408.75",,,,,,"$1,029,556.62","$6,930.00",,"$19,274.46","$250,303.83",,"$30,000.00",,,,"$229,939.00","$3,676.13",,,,"$205,133.16",,"-$295,489.54","$1,603,730.38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,106169003,Union SD,Clarion,"$8,698,720.51","$6,027,195.97","$5,787,296.24","$239,899.73",,,,,,,,,,"$609,426.14",,,,,,"$409,469.53","$6,930.00",,"$10,691.53","$140,939.05",,"$17,293.64","$40,950.00",,,"$157,782.00",,,,,"$1,000.00",,,"$1,277,042.65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,110171003,Clearfield Area SD,Clearfield,"$22,389,764.65","$13,528,868.90","$12,867,093.14","$661,775.76",,"$88,176.56",,,,,,,,"$1,842,446.84",,,,,,"$1,557,220.39","$10,395.00","$586,843.83","$42,838.66","$861,366.19",,"$100,000.00",,,,"$471,734.00",,,,,,,,"$3,299,874.28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,110171803,Curwensville Area SD,Clearfield,"$12,959,777.62","$8,080,378.68","$7,715,566.28","$364,812.40",,"$186,181.59",,,,,,,,"$794,859.62",,,,,,"$666,685.98","$15,015.00","$827,336.73","$19,005.10","$352,120.60",,,"$21,599.20",,,"$224,051.00","$24,705.90",,,,"$50,000.00",,,"$1,697,838.22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,106172003,DuBois Area SD,Clearfield,"$31,127,256.93","$17,243,471.00","$16,194,971.73","$1,048,499.27",,"$165,624.56",,,,,,,,"$3,123,661.52",,,,,$500.00,"$2,072,814.46","$111,650.00","$607,747.95","$73,925.80","$1,865,140.36",,"$24,971.86","$379,641.38",,"$19,994.55","$700,394.00",,,"$12,953.80",,,,,"$4,724,765.69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,110173003,Glendale SD,Clearfield,"$9,384,493.13","$6,058,677.84","$5,771,434.03","$287,243.81",,,,,,,,,,"$615,324.75",,,,,,"$583,414.18",,,"$13,721.10","$311,799.29",,"$230,283.07","$30,000.00",,,"$175,503.00",,,,,,,,"$1,365,769.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,110173504,Harmony Area SD,Clearfield,"$4,561,316.91","$2,898,154.13","$2,796,444.87","$101,709.26",,"$14,771.67",,,,,$350.00,,,"$271,158.23",,,,,,"$341,377.15","$22,330.00","$350,324.15","$4,379.79","$80,721.50",,"$13,714.64",,,,"$73,268.00",,,,,,,,"$490,767.65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,110175003,Moshannon Valley SD,Clearfield,"$11,088,584.37","$7,355,707.13","$7,077,412.44","$278,294.69",,"$31,274.25",,,,,$665.00,,,"$774,827.69",,,,,,"$716,157.68","$7,700.00","$271,242.23","$15,757.30","$325,924.35",,"$40,000.00","$20,000.00",,,"$216,577.00","$25,277.80",,,,"$7,427.97",,,"$1,280,045.97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,110177003,Philipsburg-Osceola Area SD,Clearfield,"$20,409,030.44","$12,627,811.64","$12,010,601.20","$617,210.44",,"$83,300.42",,,,,"$2,485.00",,,"$1,429,896.25",,,,,,"$864,657.17","$5,005.00","$1,054,362.82","$60,185.77","$781,208.39",,"$114,287.77",,,,"$349,206.00",,,,,,,,"$3,036,624.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,110179003,West Branch Area SD,Clearfield,"$11,968,183.09","$7,946,227.47","$7,553,041.67","$393,185.80",,,,,,,,,,"$860,817.05",,,,,,"$754,032.65","$3,465.00","$120,663.47","$17,371.83","$283,033.86",,"$29,145.15",,,,"$237,979.00","$7,494.16",,,,,,,"$1,707,953.45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,110183602,Keystone Central SD,Clinton,"$39,127,655.39","$22,307,795.27","$20,955,590.55","$1,352,204.72",,"$10,964.99",,,"$530,438.50",,,$40.00,,"$3,613,931.27",,,,,,"$3,070,082.09",,"$296,647.76","$70,101.54","$2,155,526.05",,"$45,000.00",,,,"$770,674.00","$28,390.26","$38,216.53",,,"$46,451.42",,,"$6,143,395.71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,116191004,Benton Area SD,Columbia,"$6,426,221.04","$3,656,228.54","$3,416,135.89","$240,092.65",,"$31,387.25",,,"$77,588.00",,,,,"$477,577.87",,,,,,"$455,375.16","$13,475.00","$132,856.72","$15,837.56","$350,536.38",,"$29,871.05",,,,"$112,285.00","$6,176.52","$9,839.21",,,,,,"$1,057,186.78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,116191103,Berwick Area SD,Columbia,"$25,999,500.14","$15,920,569.31","$15,022,530.73","$898,038.58",,"$35,248.48",,,"$11,868.00",,,$280.00,,"$2,321,950.09",,,,,,"$932,228.19","$15,785.00","$793,635.13","$51,834.71","$1,096,966.82",,"-$17,014.30",,,,"$549,482.00",,,,,,,,"$4,286,666.71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,116191203,Bloomsburg Area SD,Columbia,"$11,333,053.12","$6,431,359.42","$6,004,336.14","$427,023.28",,"$9,995.66",,,,,,,,"$1,016,288.62",,,,,,"$463,360.75","$27,720.00","$351,874.07","$59,087.79","$492,089.80",,"$219,575.00",,,,"$234,078.00","$9,130.69",,,,,,"$20,748.21","$1,997,745.11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,116191503,Central Columbia SD,Columbia,"$12,856,178.19","$7,194,927.92","$6,682,428.48","$512,499.44",,"$77,912.30",,,"$102,485.00",,,,,"$1,221,324.55",,,,,,"$749,940.46","$51,590.00","$468,101.00","$34,656.64","$359,663.55",,"$32,940.00",,,,"$255,774.00","$8,798.40","$13,764.48",,,"$10,000.00",,,"$2,274,299.89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,116195004,Millville Area SD,Columbia,"$6,927,949.56","$4,358,675.88","$4,205,779.34","$152,896.54",,,,,,,,,,"$526,006.67",,,,,,"$510,180.27","$9,625.00","$7,041.70","$11,390.86","$283,688.31",,,,,,"$115,997.00",,,,,,,,"$1,105,343.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,116197503,Southern Columbia Area SD,Columbia,"$9,028,524.77","$5,059,755.06","$4,784,903.34","$274,851.72",,"$68,948.10",,,,,,,,"$846,869.68",,,,,,"$761,606.66","$24,640.00","$232,006.20","$22,831.73","$297,455.80",,"$286,770.13",,,,"$197,956.00",,,,,,,"-$5,547.87","$1,235,233.28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,105201033,Conneaut SD,Crawford,"$21,025,573.00","$11,882,582.00","$11,336,828.00","$545,754.00",,"$1,771.00",,,"$77,570.00",,,,,"$1,785,143.00",,,,,,"$2,341,862.00","$100,485.00","$651,896.00","$42,094.00","$971,014.00",,"$35,000.00",,,,"$426,026.00",,,,,,,,"$2,710,130.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,105201352,Crawford Central SD,Crawford,"$31,435,810.78","$17,838,603.63","$16,866,305.29","$972,298.34",,"$118,037.27",,,,,,,,"$2,871,685.69",,,,,,"$1,753,424.73","$90,475.00","$1,881,647.09","$69,706.08","$1,453,168.65",,"$29,003.45",,,,"$665,681.00",,,,,,,,"$4,664,378.19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,105204703,Penncrest SD,Crawford,"$31,964,109.67","$20,049,023.47","$19,116,552.86","$932,470.61",,"$359,149.81",,,,,,,,"$2,536,448.64",,,,,,"$2,386,536.76","$47,740.00","$80,832.25","$48,289.90","$1,272,134.04",,"$40,000.00",,,,"$619,569.00",,,,,,,,"$4,524,385.80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,115210503,Big Spring SD,Cumberland,"$19,245,096.68","$10,431,620.88","$9,653,650.22","$777,970.66",,"$39,247.39",,,"$74,885.08",,,,,"$1,983,482.73",,,,,,"$1,458,741.05","$29,260.00","$502,320.11","$49,022.40","$772,721.11",,"$29,627.90","$24,999.00",,,"$401,851.00",,,"$34,631.00",,,,,"$3,412,687.03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,115211003,Camp Hill SD,Cumberland,"$4,893,451.60","$2,008,496.12","$1,626,348.32","$382,147.80",,,,,,,,,,"$529,700.25",,,,,,"$10,524.25",,"$168,367.07","$24,877.02","$255,898.56",,"$12,630.40",,,,"$99,838.00",,,,,,,,"$1,783,119.93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,115211103,Carlisle Area SD,Cumberland,"$27,666,388.17","$14,522,929.04","$13,358,669.77","$1,164,259.27",,"$29,725.14",,,"$508,386.11",,"$2,205.00",$80.00,,"$3,105,462.67",,,,,,"$1,048,545.52","$40,040.00","$972,074.57","$95,515.81","$1,104,467.99",,,,,,"$589,782.00",,"$54,174.28",,,,,,"$5,593,000.04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,115211603,Cumberland Valley SD,Cumberland,"$32,768,312.00","$14,054,409.00","$11,692,633.00","$2,361,776.00",,"$59,818.00",,,"$85,555.00",,,,,"$3,594,652.00",,,,,,"$2,232,021.00","$133,980.00","$610,875.00","$168,127.00","$940,902.00",,"$20,173.00",,,,"$526,437.00","$35,000.00",,,,,,,"$10,306,363.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,115212503,East Pennsboro Area SD,Cumberland,"$12,797,429.27","$6,953,054.70","$6,367,948.54","$585,106.16",,"$22,819.36",,,,,,,,"$1,442,406.57",,,,,"$77,102.00","$466,691.87","$66,605.00","$117,035.43","$50,485.74","$673,729.59",,"$6,648.40",,,,"$327,237.00","$15,556.28",,,,,,,"$2,578,057.33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,115216503,Mechanicsburg Area SD,Cumberland,"$20,595,539.21","$8,366,466.45","$7,105,735.66","$1,260,730.79",,"$22,251.93",,,,,,,,"$1,844,714.03",,,,"$350,000.00",,"$764,407.17","$81,235.00","$786,471.04","$95,916.31","$887,690.63",,"$40,455.58",,,,"$338,503.00",,,,,"$1,483,252.00",,,"$5,534,176.07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,115218003,Shippensburg Area SD,Cumberland,"$20,242,856.93","$10,828,592.29","$9,937,640.65","$890,951.64",,"$11,989.31",,,,,,,,"$1,920,738.42",,,,,,"$1,049,359.81","$38,115.00","$819,081.72","$70,590.09","$924,934.69",,,,,,"$527,156.00","$34,600.00",,,,,,,"$4,017,699.60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,115218303,South Middleton SD,Cumberland,"$10,929,242.54","$5,125,812.26","$4,565,310.41","$560,501.85",,"$75,901.74",,,"$51,612.88",,,,,"$1,043,659.52",,,,,,"$579,658.92","$22,330.00","$743,386.92","$47,122.38","$540,122.61",,"$30,464.15",,,,"$208,431.00",,,,,,,,"$2,460,740.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,115221402,Central Dauphin SD,Dauphin,"$51,449,029.52","$22,251,736.43","$19,100,863.84","$3,150,872.59",,"$322,900.72",,,,,,$720.00,,"$5,925,257.70",,,,,,"$2,964,077.44","$627,550.00","$1,079,994.21","$259,052.78","$2,626,009.27",,"$249,664.80",,,,"$1,023,711.00",,,,,"$2,500.00",,,"$14,115,855.17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,115221753,Derry Township SD,Dauphin,"$12,299,794.00","$3,782,628.53","$2,983,486.89","$799,141.64",,"$7,567.84",,,,,,,,"$1,488,628.68",,,,,,"$394,458.70","$56,980.00","$177,038.97","$67,057.42","$674,203.89",,,"$64,297.05",,,"$225,559.00","$11,666.64",,,,,,"$381,046.18","$4,968,661.10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,115222504,Halifax Area SD,Dauphin,"$10,227,094.25","$6,012,341.13","$5,671,994.84","$340,346.29",,"$39,534.57",,,$39.38,,,,,"$837,113.12",,,,"$175,000.00",,"$757,901.56","$11,550.00","$205,051.27","$16,373.45","$432,591.72",,"$102,286.00",,,,"$192,577.00","-$13,878.94",,,,,,,"$1,458,613.99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
