,AUN,school_district,county,total_state_rev,bef,formula_funding_1920,bef_soc_sec_1920,Charter Schools 7140,Tuition for Orphans & Children Placed in Private Homes 7160,School Improvement Grants 7170,Staff and Program Development 7180,Vocational Education 7220,Alternative Education 7230,Driver Education - Student 7240,Migratory Children 7250,Workforce Investment Act 7260,Special Education Funding for School Aged Pupils 7271,Early Intervention 7272,Adult Literacy 7280,Education Assistance Program (Tutoring) 7291,Pre-K Counts 7292,Program Revenues not Listed Previously 7299,Pupil Transportation Subsidy 7311,Nonpublic and Charter School Pupil Transportation Subsidy 7312,Rental & Sinking Fund Payments / Building Reimbursement Subsidy 7320,"Health Services (Medical, Dental, Nurse, Act 25) 7330","State Property Tax Reduction Allocation
7340",Sewage Treatment Operations / Environmental Subsidies 7350,School Safety and Security Grants 7361,Other Safe Schools Grants 7369,Vocational Training of the Unemployed 7400,PA Accountability Grants 7501,Ready to Learn Block Grant 7505,PAsmart Grants 7506,Supplemental Equipment Grants 7509,Continuity of Education and Equity Grants 7521,Revenue for the Support of Public Schools 7598,Other State Revenue not Listed Elsewhere 7599,"Revenue for Milk, Lunch & Breakfast Programs 7600",State Share of Social Security & Medicare Taxes 7810,State Share of Retirement Contributions 7820,Educational Technology 7910,Classrooms for the Future 7920,Other Technology Grants 7990
1,112011103,Bermudian Springs SD,Adams,"$13,194,218.31","$6,511,824.07","$6,337,439.43","$174,384.64",,"$65,230.53",,,"$114,166.72",,,"$1,160.00",,"$1,191,844.44",,,,,,"$1,252,885.29","$18,865.00","$220,141.91","$35,253.70","$611,545.84",,,,,,"$330,674.00","$26,764.72","$13,963.63",,,,,"$332,477.68","$2,467,420.78",,,
1,112011603,Conewago Valley SD,Adams,"$21,459,481.27","$10,357,704.24","$9,318,191.96","$1,039,512.28",,"$43,632.38",,,,,,"$1,075.00",,"$2,107,877.13",,,,,,"$1,584,857.71","$129,360.00","$572,771.68","$83,013.19","$914,773.42",,,,,,"$573,730.00","$26,233.24",,,,,,,"$5,064,453.28",,,
1,112013054,Fairfield Area SD,Adams,"$7,142,907.99","$3,569,217.46","$3,569,217.46",,,"$43,108.43",,,"$17,776.70",,,,,"$659,754.95",,,,,"$56,910.77","$612,925.17","$4,235.00","$162,699.88","$11,341.00","$460,188.61",,,,,,"$147,924.00","$26,644.62",,,,,,"$230,058.88","$1,140,122.52",,,
1,112013753,Gettysburg Area SD,Adams,"$19,061,752.17","$9,037,684.74","$8,213,313.31","$824,371.43",,"$142,095.54",,"$2,884.67","$204,738.06",,,$480.00,,"$1,838,944.95",,,,,,"$1,837,697.66","$107,800.00","$332,367.45","$60,942.49","$1,109,242.70",,"$92,945.68",,,,"$298,479.00","$26,764.72","$30,439.91",,,,,,"$3,938,244.60",,,
1,112015203,Littlestown Area SD,Adams,"$13,049,673.59","$7,033,329.21","$6,539,887.81","$493,441.40",,"$14,198.20",,,"$53,769.85",,,,,"$1,349,163.07",,,,,,"$588,431.36","$53,515.00","$202,493.59","$34,844.45","$896,575.77",,"$52,860.75",,,,"$312,057.00","$2,000.00",,,,,,,"$2,456,435.34",,,
1,112018523,Upper Adams SD,Adams,"$13,410,311.16","$7,196,210.36","$6,689,478.89","$506,731.47",,"$3,140.91",,,"$80,142.11",,,"$2,120.00",,"$1,080,355.78",,,,"$148,750.00",,"$1,078,962.44","$34,265.00","$420,120.11","$31,040.06","$826,585.08",,"$77,604.20",,,,"$268,707.00","$26,764.72",,,,,,"-$56,878.38","$2,192,421.77",,,
1,103020603,Allegheny Valley SD,Allegheny,"$6,469,190.00","$2,575,047.71","$2,575,047.71",,,"$105,127.17",,,,,,,,"$722,114.00",,,,,,"$387,365.44",,"$279,881.00",,"$396,402.00",,"$58,319.00",,,,"$104,493.00",,,,,"$13,474.68",,"$326,940.00","$1,500,026.00",,,
1,103020753,Avonworth SD,Allegheny,"$7,631,530.00","$3,193,259.87","$2,649,629.66","$543,630.21",,,,,,,,,,"$724,368.18",,,,,,"$428,282.62","$83,930.00","$338,179.21","$43,658.00","$246,501.12",,"$90,680.00",,,,"$102,226.24","$7,777.76",,,,,,,"$2,372,667.00",,,
1,103021102,Baldwin-Whitehall SD,Allegheny,"$25,299,005.26","$11,405,396.98","$10,212,704.57","$1,192,692.41",,,,,,,,,,"$2,805,298.43",,,,,,"$1,295,113.27","$490,366.42","$1,157,804.14","$92,120.21","$1,661,998.15",,,,,,"$615,849.00","$32,941.12",,,,,,"$33,785.75","$5,708,331.79",,,
1,103021252,Bethel Park SD,Allegheny,"$24,734,968.56","$10,746,651.05","$9,270,478.30","$1,476,172.75",,,,,,,,,,"$2,715,229.17",,,,"$148,750.00",,"$822,443.53","$150,150.00","$488,847.33","$82,944.24","$1,700,137.75",,,"$64,991.04",,,"$505,751.00","$20,358.58",,,,"$400,000.00",,,"$6,888,714.87",,,
1,103021453,Brentwood Borough SD,Allegheny,"$10,084,756.05","$5,469,303.93","$5,024,769.60","$444,534.33",,"$13,726.15",,,,,,,,"$936,388.18",,,,,,"$116,927.11","$1,540.00","$419,772.35","$23,823.32","$624,737.93",,"$216,880.00",,,,"$218,768.00","$9,722.20",,,,,,,"$2,033,166.88",,,
1,103021603,Carlynton SD,Allegheny,"$9,239,235.68","$4,838,670.74","$4,402,537.33","$436,133.41",,"$13,689.94",,,,,,,,"$971,560.70",,,,,,"$489,844.37","$73,150.00",,"$27,900.00","$558,046.64",,,,,,"$189,030.00","$18,529.38",,,,,,,"$2,058,813.91",,,
1,103021752,Chartiers Valley SD,Allegheny,"$15,875,366.40","$6,351,415.94","$5,231,460.94","$1,119,955.00",,"$71,596.98",,,,,,,,"$1,616,953.53",,,,,,"$895,957.66","$109,340.00","$265,096.39","$61,535.75","$908,684.28",,,,,,"$303,975.00","$18,373.87",,,,,,,"$5,272,437.00",,,
1,103021903,Clairton City SD,Allegheny,"$12,213,630.15","$7,882,240.23","$7,803,671.30","$78,568.93",,"$68,317.25",,,,,,,,"$1,215,288.00",,,,,,"$364,505.38","$52,745.00",,"$2,049.95","$466,843.90",,"$115,000.00",,,,"$220,599.00",,,,,"$1,201.56",,"$181,322.52","$1,643,517.36",,,
1,103022103,Cornell SD,Allegheny,"$4,264,292.00","$2,067,478.00","$1,852,704.00","$214,774.00",,"$54,093.00",,,,,,,,"$484,474.00",,,,,,"$181,326.00","$35,420.00",,"$11,071.00","$254,755.00",,"$51,995.00",,,,"$96,726.00",,,"$13,621.00",,,,,"$1,013,333.00",,,
1,103022253,Deer Lakes SD,Allegheny,"$13,985,445.83","$6,805,571.73","$6,215,162.80","$590,408.93",,"$5,021.90",,,,,,,,"$1,316,029.01",,,,,,"$900,629.60","$35,805.00","$771,099.90","$35,280.39","$931,820.17",,$795.00,"$20,000.00",,,"$264,465.00","$17,906.45",,,,"$160,000.00",,,"$2,721,021.68",,,
1,103022503,Duquesne City SD,Allegheny,"$16,854,909.99","$12,402,879.03","$12,126,262.40","$276,616.63",,"$23,641.38","$300,000.00",,,,,,,"$746,853.97",,,,"$376,250.00",,"$448,956.17","$83,160.00","$459,361.79","$6,602.43","$367,456.02",,"$79,279.00",,,,"$202,807.00","$16,264.72",,"$8,900.00",,,,,"$1,332,498.48",,,
1,103022803,East Allegheny SD,Allegheny,"$17,653,002.55","$7,846,700.00","$7,269,780.40","$576,919.60",,"$108,437.38",,,,,,,,"$1,502,860.21",,,,,,"$1,154,628.47","$102,794.53","$462,008.75","$30,561.20","$960,519.08",,"$134,772.00",,,,"$2,376,130.00","$295,694.34",,,,"$4,856.00",,,"$2,673,040.59",,,
1,103023153,Elizabeth Forward SD,Allegheny,"$19,960,842.06","$10,574,055.78","$9,620,637.06","$953,418.72",,"$59,353.07",,,,,,,,"$1,918,700.05",,,,,,"$963,482.97","$19,635.00","$773,096.39","$43,005.13","$1,299,152.77",,"$212,626.00",,,,"$453,629.00","$7,777.76",,,,,,"-$174,043.85","$3,810,371.99",,,
1,103023912,Fox Chapel Area SD,Allegheny,"$19,977,614.14","$5,492,803.61","$3,785,155.01","$1,707,648.60",,,,,,,,,,"$2,567,776.92",,,,,,"$1,191,882.72","$208,285.00","$525,972.11","$79,662.50","$1,471,950.18",,"$214,902.02",,,,"$205,030.00",,,,,,,,"$8,019,349.08",,,
1,103024102,Gateway SD,Allegheny,"$20,362,553.06","$9,034,512.04","$7,945,609.07","$1,088,902.97",,"$67,345.21",,,,,,,,"$2,258,509.47",,,,,,"$937,116.01","$127,050.00","$454,802.70","$66,451.03","$1,458,878.32",,,,,,"$385,880.00","$29,093.86",,,,,,"$35,435.00","$5,507,479.42",,,
1,103024603,Hampton Township SD,Allegheny,"$14,850,197.56","$6,152,565.07","$5,188,125.12","$964,439.95",,"$111,529.35",,,,,,,,"$1,546,169.27",,,,,,"$683,462.35","$76,615.00","$561,308.18","$60,909.54","$858,363.64",,"$21,592.36",,,,"$294,130.00","$237,654.00",,,,,,,"$4,245,898.80",,,
1,103024753,Highlands SD,Allegheny,"$22,400,498.85","$12,701,841.29","$11,881,114.40","$820,726.89",,"$25,964.16",,,,,,,,"$2,138,248.54",,,,"$297,500.00",,"$1,200,978.49","$67,375.00",,"$50,363.26","$1,296,092.19",,"$1,163.92",,,,"$460,757.00","$7,777.76",,,,,,,"$4,152,437.24",,,
1,103025002,Keystone Oaks SD,Allegheny,"$12,678,100.04","$5,670,036.68","$5,045,554.18","$624,482.50",,"$58,364.04",,,,,,,,"$1,510,933.03",,,,,,"$456,787.94","$113,190.00","$733,382.68","$44,632.52","$848,691.87",,"$109,584.71",,,,"$231,127.00","$1,419.40",,,,,,,"$2,899,950.17",,,
1,103026002,McKeesport Area SD,Allegheny,"$44,309,251.00","$27,155,912.00","$25,922,864.00","$1,233,048.00",,"$131,307.00",,,"$307,402.00",,,,,"$3,518,645.00",,,,"$575,727.00",,"$1,322,021.00","$267,960.00","$1,469,833.00","$68,852.00","$2,438,717.00",,"$20,000.00",,,,"$888,223.00",,,,,,,,"$6,144,652.00",,,
1,103026303,Montour SD,Allegheny,"$14,032,301.43","$5,330,111.28","$4,259,545.08","$1,070,566.20",,"$51,976.66",,,,,,,,"$1,674,500.85",,,,,,"$401,097.55","$134,365.00","$491,209.97","$63,640.00","$925,541.57",,,,,,"$196,733.00","$25,277.72",,,,,,,"$4,737,847.83",,,
1,103026343,Moon Area SD,Allegheny,"$18,481,206.37","$7,977,096.86","$6,869,376.41","$1,107,720.45",,"$27,739.80",,,,,,,,"$1,836,330.64",,,,,,"$862,679.56","$111,265.00","$749,350.62","$77,803.14","$955,851.28",,"$98,727.80",,,,"$335,009.00",,,,,,,"-$3,314.62","$5,452,667.29",,,
1,103026402,Mt Lebanon SD,Allegheny,"$23,673,756.69","$6,587,531.60","$6,587,531.60",,"$9,513.61",,,,,,"$15,215.00",,,"$2,715,782.67",,,,,,"$155,042.63","$1,155.00","$1,502,243.86","$118,032.22","$1,708,020.01",,"$476,660.00",,,"$418,618.00",,,,,,,,"$1,662,663.58","$8,303,278.51",,,
1,103026852,North Allegheny SD,Allegheny,"$36,484,711.67","$12,659,779.76","$9,865,939.15","$2,793,840.61",,"$13,736.52",,,,,,,,"$3,951,055.15",,,,,,"$1,768,925.93","$379,610.00","$1,763,835.89","$163,217.73","$2,219,279.77",,,"$36,100.00",,,"$581,758.00",,,,,,,,"$12,947,412.92",,,
1,103026902,North Hills SD,Allegheny,"$20,038,555.22","$7,712,918.67","$6,490,788.38","$1,222,130.29",,"$101,184.65",,,,,,,,"$2,480,792.25",,,,,,"$919,861.73","$114,345.00","$462,063.92","$92,019.97","$1,431,555.12",,"$74,082.00",,,,"$393,030.00","$10,017.70",,,,"$3,000.00",,"$104,671.37","$6,139,012.84",,,
1,103026873,Northgate SD,Allegheny,"$8,986,365.00","$4,537,859.00","$4,137,115.00","$400,744.00",,,,,,,,,,"$953,254.00",,,,"$166,250.00",,"$144,160.00",,"$106,983.00","$19,257.00","$697,574.00",,,"$278,046.00",,,"$201,103.00",,,"$9,538.00",,,,,"$1,872,341.00",,,
1,103027352,Penn Hills SD,Allegheny,"$35,807,087.91","$17,875,325.16","$16,891,871.45","$983,453.71",,"$27,590.32","$2,000,000.00",,,,,,,"$3,508,415.39",,,,,$149.13,"$2,447,102.02","$516,670.00","$431,004.27","$62,948.36","$2,359,561.05",,"$70,033.74",,,,"$850,686.00","$9,722.20",,,,"$401,164.93",,,"$5,246,715.34",,,
1,103021003,Pine-Richland SD,Allegheny,"$18,860,365.00","$6,730,263.00","$5,455,204.00","$1,275,059.00",,"$23,171.00",,,,,,,,"$1,733,955.00",,,,,,"$1,339,865.00","$164,780.00","$1,127,173.00","$92,052.00","$1,246,004.00",,"$13,283.00",,,,"$418,675.00",,,,,$117.00,,,"$5,971,027.00",,,
1,102027451,Pittsburgh SD,Allegheny,"$293,880,336.30","$169,559,879.10","$163,259,830.33","$6,300,048.77",,"$208,747.12",,,"$464,388.43",,,,,"$29,039,497.18","$5,571,696.21",,,"$6,811,718.75","$2,028,861.00","$12,224,305.34","$2,715,020.00","$2,122,334.59","$588,316.47","$15,578,030.21",,"$25,000.00",,,,"$3,955,423.00","$9,722.20","$53,168.29",,,,,"$959,263.97","$41,964,964.44",,,
1,103027503,Plum Borough SD,Allegheny,"$26,950,656.40","$13,141,933.02","$13,141,933.02",,,,,,,,,,,"$2,550,794.42",,,,,,"$1,334,982.84","$97,790.00","$837,011.43","$71,388.16","$1,653,681.14",,,,,,"$618,345.00",,,,,$323.74,,"$1,109,450.11","$5,534,956.54",,,
1,103027753,Quaker Valley SD,Allegheny,"$7,965,284.00","$2,308,497.00","$1,527,719.00","$780,778.00",,,,,,,,,,"$832,418.00",,,,,,"$295,388.00","$95,095.00","$48,795.00","$51,489.00","$670,186.00",,"$78,863.00","$24,366.00",,,"$66,366.00","$30,458.00",,,,,,,"$3,463,363.00",,,
1,103028203,Riverview SD,Allegheny,"$6,681,276.72","$3,437,296.90","$3,095,548.02","$341,748.88",,"$6,705.65",,,,,,,,"$704,838.53",,,,,,"$187,147.96","$24,640.00","$191,803.84","$19,807.70","$357,041.76",,"$30,000.00",,,,"$126,151.00","$17,436.69",,,,,,-$0.45,"$1,578,407.14",,,
1,103028302,Shaler Area SD,Allegheny,"$27,751,235.35","$13,005,312.42","$11,688,267.92","$1,317,044.50",,,,,,,,,,"$3,622,327.43",,,,,,"$1,408,710.86","$125,895.00","$420,614.39",,"$2,040,754.63",,,,,,"$706,471.00","$24,565.40",,,,,,,"$6,396,584.22",,,
1,103028653,South Allegheny SD,Allegheny,"$16,908,070.05","$10,494,948.49","$9,984,451.53","$510,496.96",,"$160,810.69",,,,,,,,"$1,319,389.58",,,,,,"$954,887.79","$27,335.00","$381,596.34","$27,252.00","$759,395.81",,,,,,"$343,234.00","$30,200.00",,"$8,350.00",,,,,"$2,400,670.35",,,
1,103028703,South Fayette Township SD,Allegheny,"$13,555,759.15","$4,582,121.06","$3,589,846.98","$992,274.08",,"$21,258.50",,,,,,,,"$1,057,297.14",,,,,,"$1,023,500.68","$31,570.00","$654,508.40","$60,070.64","$665,723.54",,,,,,"$263,996.00","$453,822.68",,,,,,,"$4,741,890.51",,,
1,103028753,South Park SD,Allegheny,"$13,947,490.37","$6,499,181.44","$6,499,181.44",,,,,,,,,,,"$1,452,123.59",,,,,,"$492,323.84","$36,190.00","$1,172,383.61","$31,314.52","$869,628.14",,"$34,088.50",,,,"$308,092.00",,,,,,,"$542,563.02","$2,509,601.71",,,
1,103028833,Steel Valley SD,Allegheny,"$16,120,713.21","$10,033,586.27","$9,502,152.27","$531,434.00",,,,,,,,,,"$1,535,086.24",,,,,,"$250,297.38","$6,545.00",,,"$968,651.48",,"$164,980.87",,,,"$351,241.00",,,,,,,-$0.39,"$2,810,325.36",,,
1,103028853,Sto-Rox SD,Allegheny,"$19,221,779.80","$10,527,779.52","$10,106,623.14","$421,156.38",,,"$2,000,000.00",,,,,,,"$1,347,962.63",,,,,,"$618,129.41","$294,910.00","$777,670.71",,"$852,412.84",,,,,,"$392,443.00","$9,722.20",,,"$395,108.27",$23.75,,"-$32,926.62","$2,038,544.09",,,
1,103029203,Upper Saint Clair SD,Allegheny,"$17,949,965.91","$5,896,375.15","$4,606,007.23","$1,290,367.92",,"$39,953.65",,,,,,,,"$2,059,785.02",,,,,,"$779,987.80","$73,150.00","$746,366.35","$83,611.93","$1,390,393.90",,,,,,"$332,045.00",,,,,$500.00,,,"$6,547,797.11",,,
1,103029403,West Allegheny SD,Allegheny,"$16,730,458.09","$7,023,102.74","$6,093,934.64","$929,168.10",,,,,,,,,,"$1,735,760.29",,,,,,"$815,808.16","$51,205.00","$894,531.49","$60,165.30","$1,137,711.77",,"$89,243.00",,,,"$353,119.00","$26,190.56",,,,,,,"$4,543,620.78",,,
1,103029553,West Jefferson Hills SD,Allegheny,"$15,072,722.31","$6,686,822.60","$5,833,223.77","$853,598.83",,,,,,,,,,"$1,839,886.48",,,,,,"$798,401.04","$49,665.00","$269,901.86","$59,383.24","$1,116,999.80",,"$60,000.00",,,,"$337,321.00","$9,722.20",,,,,,,"$3,844,619.09",,,
1,103029603,West Mifflin Area SD,Allegheny,"$20,062,573.80","$8,672,633.93","$7,787,093.12","$885,540.81",,"$103,888.02",,,,,,,,"$2,248,881.07",,,,"$175,000.00",,"$1,476,747.51","$103,950.00","$732,179.80","$54,223.57","$1,463,937.66",,,"$40,000.00",,"$489,803.00",,"$9,722.20",,,,,,,"$4,491,607.04",,,
1,103029803,Wilkinsburg Borough SD,Allegheny,"$16,646,243.39","$10,872,308.15","$10,872,308.15",,,"$45,525.76","$18,830.54",,,,,,,"$1,272,790.76","-$64,924.20",,,"$917,458.37",,"$680,261.36","$171,710.00",,"$23,980.34","$805,084.05",,"$3,415.67",,,,"$280,424.00",,,,,,,"$279,927.00","$1,339,451.59",,,
1,103029902,Woodland Hills SD,Allegheny,"$34,822,607.94","$17,184,776.91","$16,152,084.82","$1,032,692.09",,"$350,629.60",,,,,,,,"$4,301,492.29",,,,"$783,081.00",,"$2,796,123.96","$903,595.00",,"$55,223.41","$2,212,437.67",,"$86,545.00",,,,"$736,447.00","$7,628.93",,,,"$1,573.77",,,"$5,403,053.40",,,
1,128030603,Apollo-Ridge SD,Armstrong,"$14,851,685.36","$8,462,280.14","$8,462,280.14",,,"$8,067.12",,,,,,,,"$1,072,531.47",,,,"$175,000.00",,"$1,068,898.13","$7,700.00","$256,277.26","$21,374.73","$879,098.47",,"$53,847.00",,,,"$279,085.00","$26,764.72",,,,"$7,499.00",,"$462,236.68","$2,071,025.64",,,
1,128030852,Armstrong SD,Armstrong,"$57,454,385.47","$32,497,811.26","$30,707,191.75","$1,790,619.51",,"$57,495.89",,,,,,,,"$4,761,949.80",,,,,,"$5,173,177.93","$136,675.00","$1,366,510.40","$94,085.08","$3,587,757.85",,"$96,605.75",,,,"$1,089,020.00","$26,764.72",,"$30,950.00",,,,,"$8,535,581.79",,,
1,128033053,Freeport Area SD,Armstrong,"$13,701,762.37","$7,294,528.90","$6,765,910.93","$528,617.97",,"$22,426.57",,,,,,$40.00,,"$1,077,252.26",,,,,,"$878,952.67","$36,190.00","$394,525.44","$36,125.68","$706,426.14",,"$41,943.00",,,,"$273,836.00","$349,476.35",,,,,,,"$2,590,039.36",,,
1,128034503,Leechburg Area SD,Armstrong,"$7,763,243.18","$4,639,993.36","$4,356,527.84","$283,465.52",,"$1,470.22",,,,,,,,"$589,783.47",,,,,,"$343,825.39","$11,165.00","$159,992.08","$13,114.50","$446,670.33",,,,,,"$141,716.00","$32,941.12",,,,,,,"$1,382,571.71",,,
1,127040503,Aliquippa SD,Beaver,"$15,882,604.04","$9,704,029.90","$9,543,379.03","$160,650.87",,,,,,,,,,"$1,256,365.74",,,,,,"$496,393.32","$62,370.00","$701,519.78","$24,071.63","$749,200.57",,,,,,"$314,428.00","$418,462.48",,"$46,600.00",,"$2,794.70",,"$190,516.39","$1,915,851.53",,,
1,127040703,Ambridge Area SD,Beaver,"$21,193,211.23","$11,671,445.83","$10,975,646.22","$695,799.61",,"$13,172.23",,,,,,,,"$2,241,938.83",,,,"$700,000.00",,"$1,125,617.40","$47,355.00","$634,589.68","$43,620.60","$1,053,273.72",,"$40,000.00","$30,000.00",,,"$422,955.00","$7,777.76",,,,,,,"$3,161,465.18",,,
1,127041203,Beaver Area SD,Beaver,"$11,873,670.66","$6,275,126.96","$5,732,777.15","$542,349.81",,"$5,515.79",,,,,,,,"$1,139,023.83",,,,,,"$748,593.73","$50,050.00","$386,728.80","$40,322.03","$430,124.35",,"$107,167.38",,,,"$239,950.00","$2,364.00",,,,"$7,340.75",,,"$2,441,363.04",,,
1,127041503,Big Beaver Falls Area SD,Beaver,"$19,300,435.63","$11,468,999.43","$11,039,919.08","$429,080.35",,"$17,793.00",,,,,$665.00,,,"$1,485,309.76",,,,"$350,000.00",,"$895,675.71","$59,290.00","$276,206.11","$36,167.91","$995,357.76",,,"$90,000.00",,,"$384,341.00","$24,705.84",,,,,,"$166,499.97","$3,049,424.14",,,
1,127041603,Blackhawk SD,Beaver,"$17,874,641.31","$10,088,440.69","$9,477,417.43","$611,023.26",,"$24,708.11",,,"$38,530.46",,"$2,975.00",,,"$1,682,758.25",,,,,,"$1,514,726.80","$111,650.00","$143,864.91","$44,671.89","$861,627.42",,"$40,140.00",,,,"$359,398.00","$3,217.62",,,,,,,"$2,957,932.16",,,
1,127042003,Central Valley SD,Beaver,"$15,986,654.65","$8,831,642.31","$8,831,642.31",,,,,,"$22,554.63",,,,,"$1,642,738.03",,,,,,"$707,570.49","$63,140.00","$231,129.87","$39,367.87","$841,617.18",,"$30,000.00",,,,"$350,818.80",,,,,,,"$544,931.29","$2,681,144.18",,,
1,127042853,Freedom Area SD,Beaver,"$12,880,098.48","$8,482,226.38","$8,095,738.03","$386,488.35",,"$1,157.12",,,,,,,,"$1,087,370.44",,,,,,"$656,909.85","$22,715.00",,"$24,260.91","$500,118.37",,"$22,017.43",,,,"$268,806.00",,,,,,,-$0.29,"$1,814,517.27",,,
1,127044103,Hopewell Area SD,Beaver,"$20,584,039.70","$10,582,136.13","$9,826,621.96","$755,514.17",,"$92,455.86",,,,,,,,"$1,893,337.85",,,,,,"$818,033.87","$40,425.00","$1,705,681.15","$39,817.62","$1,150,839.02",,"$168,112.17",,,,"$405,523.00","$174,183.46",,,,"$14,582.95",,,"$3,498,911.62",,,
1,127045303,Midland Borough SD,Beaver,"$4,619,402.79","$3,537,916.93","$3,454,692.55","$83,224.38",,,,,,,,,,"$303,601.01",,,,,,"$124,793.69","$4,620.00",,"$5,112.33","$88,669.37",,"$25,000.00",,,,"$75,343.00",,,,,"$10,000.00",,,"$444,346.46",,,
1,127045653,New Brighton Area SD,Beaver,"$17,237,306.06","$11,312,237.01","$10,822,415.53","$489,821.48",,"$46,759.35",,,,,,,,"$1,429,780.07",,,,,,"$744,423.20","$25,025.00",,"$25,151.45","$671,456.74",,"$130,050.00",,,,"$331,589.00","$29,616.00",,"$76,650.00",,,,,"$2,414,568.24",,,
1,127045853,Riverside Beaver County SD,Beaver,"$14,104,208.92","$8,469,938.66","$7,984,221.41","$485,717.25",,,,,,,"$3,010.00",,,"$1,187,593.50",,,,"$175,000.00",,"$565,350.52","$12,705.00","$328,119.65","$26,088.38","$798,303.87",,"$136,757.85",,,,"$289,853.00",$916.09,,,,,,,"$2,110,572.40",,,
1,127046903,Rochester Area SD,Beaver,"$10,586,572.16","$6,720,976.64","$6,423,733.24","$297,243.40",,,,,,,,,,"$809,177.97",,,,,,"$214,462.03","$23,100.00","$612,805.78","$12,291.63","$485,746.41",,,,,,"$183,274.00","$8,669.67",,,,,,,"$1,516,068.03",,,
1,127047404,South Side Area SD,Beaver,"$14,594,999.56","$10,249,844.64","$10,249,844.64",,,,,,,,,,,"$766,223.98",,,,,,"$511,204.67","$54,585.00","$185,199.92","$17,984.78","$362,979.96",,,,,,"$188,678.00","$7,777.76",,,,,,"$394,843.34","$1,855,677.51",,,
1,127049303,Western Beaver County SD,Beaver,"$9,258,526.06","$5,754,894.38","$5,509,855.34","$245,039.04",,"$15,532.38",,,,,,,,"$652,666.42",,,,"$525,000.00",,"$621,383.95","$11,165.00",,"$13,164.02","$293,370.16",,,,,,"$141,256.00",,,,,,,,"$1,230,093.75",,,
1,108051003,Bedford Area SD,Bedford,"$14,651,549.50","$7,978,645.02","$7,700,329.51","$278,315.51",,"$85,446.41",,,,,,,,"$1,364,221.17",,,,"$293,166.64",,"$1,293,293.10","$63,910.00","$408,336.43","$34,263.12","$651,747.31",,"$133,298.00",,,,"$328,163.00","$9,722.20",,,,,,"$117,155.33","$1,890,181.77",,,
1,108051503,Chestnut Ridge SD,Bedford,"$14,410,508.87","$8,725,539.46","$8,382,936.92","$342,602.54",,"$26,675.58",,,"$39,866.50",,,$40.00,,"$1,049,100.88",,,,"$295,181.84",,"$1,239,277.16","$15,400.00","$469,181.91","$24,831.14","$452,387.47",,"$24,007.00",,,,"$285,476.00","$16,461.20",,,,"$4,399.06",,"$19,106.69","$1,723,576.98",,,
1,108053003,Everett Area SD,Bedford,"$12,022,781.26","$6,519,977.74","$6,194,054.12","$325,923.62",,"$4,929.76",,,,,,,,"$979,187.19",,,,,,"$1,194,142.17","$4,620.00","$348,309.44","$22,963.07","$587,767.17",,"$256,780.00",,,,"$245,969.00",,,,,$117.82,,,"$1,858,017.90",,,
1,108056004,Northern Bedford County SD,Bedford,"$9,279,622.60","$6,132,941.95","$5,883,161.79","$249,780.16",,"$57,278.51",,,"$107,015.90",,,,,"$620,149.54",,,,,,"$582,130.92","$4,235.00",,"$16,560.46","$323,997.84",,,,,,"$192,894.00","$9,722.20","$13,546.45",,,$118.02,,,"$1,219,031.81",,,
1,108058003,Tussey Mountain SD,Bedford,"$12,245,588.61","$7,852,815.76","$7,683,271.90","$169,543.86",,"$15,965.84",,,"$14,600.24",,,,,"$785,768.59",,,,"$170,070.91",,"$876,046.83",,"$418,237.60","$15,898.56","$340,238.70",,"$88,978.37",,,,"$233,979.00",,,,,,,"$88,317.76","$1,344,670.45",,,
1,114060503,Antietam SD,Berks,"$8,998,763.37","$4,215,561.21","$3,881,727.19","$333,834.02",,"$131,699.47",,,"$8,235.28",,,,,"$704,065.02",,,,,,"$140,751.00","$7,700.00","$70,704.22","$24,593.58","$456,531.71",,,,,,"$167,132.00","$26,462.69",,,,"$1,300,000.00",,,"$1,745,327.19",,,
1,114060753,Boyertown Area SD,Berks,"$36,665,345.69","$17,000,263.98","$15,326,778.80","$1,673,485.18",,"$244,245.29",,,,,,,,"$3,781,478.06",,,,"$196,704.56",,"$3,149,129.85","$177,485.00","$893,164.92","$127,267.77","$1,763,687.72",,,,,,"$776,832.00","$12,352.92",,,,,,,"$8,542,733.62",,,
1,114060853,Brandywine Heights Area SD,Berks,"$10,456,333.41","$4,706,918.38","$4,236,084.38","$470,834.00",,"$84,960.70",,,,,,,,"$1,107,553.23",,,,,,"$806,387.97","$46,200.00",,"$25,515.73","$788,012.42",,"$407,994.74",,,,"$205,220.00","$11,666.64",,,,,,,"$2,265,903.60",,,
1,114061103,Conrad Weiser Area SD,Berks,"$16,120,836.19","$7,225,602.67","$6,514,440.43","$711,162.24",,"$540,772.14",,,,,,,,"$1,932,939.53",,,,,,"$864,174.60","$26,950.00","$460,021.01","$47,023.32","$1,021,151.69",,"$46,300.00",,,,"$370,988.00",,,,,,,,"$3,584,913.23",,,
1,114061503,Daniel Boone Area SD,Berks,"$19,459,758.07","$9,571,254.46","$8,722,671.29","$848,583.17",,"$95,247.07",,,,,,,,"$1,709,921.44",,,,,,"$1,258,128.17","$141,295.00","$560,548.68","$59,971.01","$1,207,341.19",,"$70,900.00",,,"$489,146.00",,,,,,,,,"$4,296,005.05",,,
