Ctgy,AUN,school_district,county,total_local_rev,real_estate_revenue,Interim Real Estate Taxes 6112,Public Utility Realty Tax 6113,Payment in Lieu State & Local 6114,Payment in Lieu Federal 6115,"Per Capita, Section 679 6120",Current Act 1 Earned Income Tax 6131,Current Act 511 Per Capita Taxes 6141,Current Act 511 Occupation Taxes-Flat Rate 6142,Current Act 511 Local Services Taxes 6143,Current Act 511 Business Privilege Taxes-Flat Rate 6145,Current Act 511 Mechanical Device Taxes-Flat Rate 6146,Current Act 511 Taxes-Other Flat Rate Assessments 6149,Current Act 511 Earned Income Taxes 6151,Current Act 511 Occupation Taxes 6152,Current Act 511 Real Estate Transfer Taxes 6153,Current Act 511 Amusement Taxes 6154,Current Act 511 Business Privilege Taxes 6155,Current Act 511 Mechanical Device Taxes-Percentage 6156,Current Act 511 Mercantile Taxes 6157,Current Act 511 Taxes-Other Proportional Assessments 6159,Earned Income Tax 6161,Liquor Sales Tax 6162,Cigarette Tax 6163,Sales and Use Tax 6164,General Business Taxes 6165,Business Use & Occupancy Tax 6166,Non-Business Income Tax 6167,Real Estate Transfer Tax 6168,Current Mercantile Taxes 6169,Delinquent Taxes 6400,Earnings on Investments 6500,Food Service Revenue 6600,Revenue from District Activities 6700,Revenue from Local Gov't Units 6810,State Revenue from Other Public Schools 6821,State Revenue from Intermediate Sources 6829,Federal Revenue from Other PA Public Schools  6831,Federal IDEA Revenue Received as Pass Through 6832,ARRA - IDEA Revenue received as Pass Through 6833,ARRA - WIA Revenue received as Pass Through 6834,ARRA - Title I Revenue Received as Pass Through 6835,ARRA - Race to the Top Revenue Received as Pass Through 6836,Federal Revenue from Intermediate Sources 6839,Other Revenue from Intermediate Sources 6890,Rentals 6910,Contributions from Private Sources 6920,Regular Day School Tuition 6941,Summer School Tuition 6942,Adult Education Tuition 6943,Receipts from Other LEAs in PA - Education 6944,Receipts from Out-of-State LEAs 6945,Receipts From Member Districts – AVTS / Special Program Jointure Only 6946,Other Tuition from Patrons 6949,Transportation Services Provided Other PA LEAs 6961,All Other Services Provided Other PA LEAs 6962,All Other Services Provided Other Govt's and LEAs Not Specified Elsewhere 6969,Services Provided Other Funds 6970,Revenue from Community Services Activities 6980,Refunds of a Prior Year Expenditure 6991,Energy Efficiency Revenues and Incentives 6992,Other Revenues Not Specified Elsewhere 6999
1,112011103,Bermudian Springs SD,Adams,"$16,363,443.75","$11,188,802.20","$43,508.95","$15,311.31","$1,386.41",,"$40,835.30",,"$40,835.30",,,,,,"$3,873,714.41",,"$261,111.88",$116.59,,,,,,,,,,,,,,"$358,322.63","$129,443.24",,"$49,663.00",,,"$4,077.77",,"$282,074.00",,,,,,,$700.00,,,"$2,975.00","$5,495.00","$49,262.49",,,,,,,,,,,"$15,808.27"
1,112011603,Conewago Valley SD,Adams,"$36,372,904.44","$27,090,201.54",,"$32,085.92",,,"$86,749.20",,"$86,749.20",,"$64,693.11",,,,"$6,312,078.95",,"$453,714.71","$40,241.25",,,,,,,,,,,,,,"$939,792.07","$117,370.29",,"$53,685.10",,,,,"$591,736.00",,,,,,,"$36,088.76",,$697.78,,,,,,"$84,148.08",,"$371,417.27",,,,,,"$11,455.21"
1,112013054,Fairfield Area SD,Adams,"$11,341,759.52","$8,297,712.14","$30,754.50","$11,001.10","$14,377.14",,,,,,,,,,"$2,141,462.85",,"$155,272.26","$19,929.31",,,,,,,,,,,,,,"$252,935.77","$42,818.81",,"$47,031.46",,"$12,243.56",,"$3,146.07","$147,806.56",,,,,,,"$17,985.50","$36,218.06",,,,"$90,923.21",,,,,,,,,,,"$20,141.22"
1,112013753,Gettysburg Area SD,Adams,"$42,037,208.23","$29,360,831.26","$232,687.61","$38,803.65","$60,110.05","$6,782.15",,,,,"$78,696.63",,,,"$6,107,221.94",,"$818,779.42","$295,230.47",,,,,,,,,,,,,,"$1,377,785.73","$451,446.04",,"$221,824.33",,,,"$284,833.23","$357,528.00",,,,,,,"$706,565.45","$117,607.81","$13,076.10",,,"$1,114,168.06",,,"$3,563.56",,,,,,"$102,266.66",$893.00,"$286,507.08"
1,112015203,Littlestown Area SD,Adams,"$19,158,335.50","$13,740,643.56","$73,820.78","$17,102.33",,,"$45,158.80",,"$45,158.80",,"$23,799.55",,,,"$3,813,142.11",,"$348,713.63",,,,,,,,,,,,,,,"$541,294.56","$148,040.19",,"$62,975.80",,,,,"$226,533.00","$4,311.00",,,,,,"$3,950.75",,"$10,154.33","$2,005.00",,"$37,153.04",,,,,,,,,,,"$14,378.27"
1,112018523,Upper Adams SD,Adams,"$15,527,961.00","$11,255,479.19","$49,502.20","$13,684.94",$958.08,,"$33,717.60",,"$33,717.60",,"$41,967.57",,,,"$2,585,141.13",,"$158,881.20",,,,,,,,,,,,,,,"$378,208.52","$59,561.06",,"$8,294.00","$20,847.43",,,,"$285,267.00",,,,,,"$52,048.55","$5,648.61","$62,960.28",,,,"$351,072.60",,,"$3,963.14",,,,,,"$28,066.45",,"$98,973.85"
1,103020603,Allegheny Valley SD,Allegheny,"$16,582,988.38","$14,149,410.05",,"$15,940.27","$13,693.83",,,,,,"$38,052.68",,,,"$1,117,123.52",,"$175,910.63",,,,,,,,,,,,,,,"$584,220.37","$111,981.47",,,,,,$682.40,"$266,734.25",,,,,,,"$4,996.60",$130.00,,,,,,,,,,,,,"$55,946.30",,"$48,166.01"
1,103020753,Avonworth SD,Allegheny,"$23,633,827.98","$19,203,878.49",,"$22,000.00",,,,,,,"$16,285.94",,,,"$2,628,657.81",,"$611,480.81",,,,,,,,,,,,,,,"$643,289.54","$130,380.12",,"$71,983.25",,,,,"$255,086.02",,,,,,,"$26,130.75","$20,980.00",,,,,,,,,,,,,,,"$3,675.25"
1,103021102,Baldwin-Whitehall SD,Allegheny,"$43,018,787.94","$34,627,134.65",,"$39,969.99",,,,,,,"$36,437.13",,,,"$4,717,717.69",,"$531,764.10",,,,,,,,,,,,,,,"$1,381,565.02","$142,477.14",,"$93,207.00","$29,190.66",,,"$3,072.00","$515,203.62",,,,,,,"$343,414.47","$90,839.01",,,,"$9,000.00",,,,,,,,,"$156,302.94",,"$301,492.52"
1,103021252,Bethel Park SD,Allegheny,"$61,915,467.85","$53,106,192.83",,"$59,190.22","$9,552.00",,,,,,,,"$4,750.00",,"$4,987,132.79",,"$558,161.84",,,,,,,,,,,,,,,"$1,099,348.88","$544,342.20",,"$250,231.94",,,,"$2,534.40","$832,617.42",,,,,,,"$154,635.35","$8,929.80","$60,428.96",,,,,,,,,,,,"$75,228.50","$25,334.81","$136,855.91"
1,103021453,Brentwood Borough SD,Allegheny,"$12,697,117.12","$10,048,316.34",,"$12,167.76",,,,,,,"$8,931.37",,,,"$1,123,124.21",,"$127,293.25",,,,,,,,,,,,,,,"$891,489.66","$82,549.38",,"$17,519.75",,,"$1,587.02","$5,792.00","$194,052.35",,,,,"$140,939.00",$500.00,"$3,322.17","$17,007.06",,,,,,,,,,,,,"$9,281.88",,"$13,243.92"
1,103021603,Carlynton SD,Allegheny,"$18,103,595.00","$14,277,163.00",,"$16,105.00",,,,,,,,,,,"$1,954,019.00",,"$252,728.00",,,,,,,,,,,,,,,"$1,045,514.00","$25,679.00",,"$49,783.00",,,,,"$290,179.00",,,,,,,"$12,778.00","$117,208.00","$12,953.00",,,,,,,,$644.00,,,,"$14,503.00",,"$34,339.00"
1,103021752,Chartiers Valley SD,Allegheny,"$45,530,625.05","$36,173,127.50","$166,359.41","$43,713.69","$78,700.00",,,,,,"$65,240.19",,,,"$4,778,111.64",,"$788,487.73",,,,"$510,823.79",,,,,,,,,,,"$1,549,854.87","$189,108.73",,"$48,968.50",,,,"$10,000.00","$426,611.78",,,,,,"$9,212.24","$48,011.94",$100.00,"$3,400.00",,,"$539,987.80",,,"$10,485.00",,,,,,"$32,059.01","$27,627.46","$30,633.77"
1,103021903,Clairton City SD,Allegheny,"$3,582,890.00","$2,233,824.00",,"$3,267.00","$4,461.00",,,,,,"$10,131.00",,,,"$386,768.00",,"$18,848.00",,"$200,110.00",,"$28,368.00",,,,,,,,,,,"$252,512.00","$16,165.00",,"$25,954.00",,,,,"$220,944.00",,,,,,,"$20,400.00","$10,837.00",,,,,,,,,,,,,"$40,582.00",,"$109,719.00"
1,103022103,Cornell SD,Allegheny,"$9,298,650.00","$7,433,789.00",,"$9,076.00",,,,,,,"$18,711.00",,,,"$681,447.00",,"$100,303.00",,,,,,,,,,,,,,,"$613,973.00","$15,672.00",,"$9,870.00",,,,,"$144,522.00",,,,,,,"$149,606.00","$112,306.00",,,,,,,,,,,,,"$2,252.00",,"$7,123.00"
1,103022253,Deer Lakes SD,Allegheny,"$22,883,235.42","$18,426,315.06",,"$21,647.03","$106,531.20",,"$31,113.12",,"$31,113.12",,"$27,706.68",,,,"$1,904,046.74",,"$353,085.78",,,,,,,,,,,,,,,"$1,091,341.16","$121,806.15",,"$46,141.00",,,,,"$426,898.92",,,,,$584.80,,"$14,804.00","$41,529.03",,,,"$106,739.21",,,,,,,,,"$61,143.71",,"$70,688.71"
1,103022503,Duquesne City SD,Allegheny,"$1,988,700.32","$1,200,275.97",,"$1,694.06","$2,899.87",,,,,,"$6,701.80",,,,"$273,078.12",,"$13,776.99",,,,,,,,,,,,,,,"$256,734.10","$66,830.52",,,$500.00,,,,"$101,254.20",,,,,,"$1,000.00","$41,418.96","$2,157.00",,,,,,,,,,,,,"$10,982.56",,"$9,396.17"
1,103022803,East Allegheny SD,Allegheny,"$16,704,919.00","$12,247,079.09",,"$15,324.68","$5,233.64",,,,,,"$22,919.82",,,,"$1,330,208.36",,"$108,505.50","$3,162.00","$103,882.78","$3,161.86","$218,260.00",,,,,,,,,,,"$1,583,405.22","$12,411.38",,$593.00,,,,,"$370,605.00",,,,,,,"$81,543.88",$961.51,"$381,329.00",,,,,,,,,,,,"$33,193.00","$1,892.94","$181,246.34"
1,103023153,Elizabeth Forward SD,Allegheny,"$22,449,597.83","$16,763,704.53",,"$18,968.62",,,,,,,"$21,868.88",,,,"$2,139,739.08",,"$405,665.40",,,,,,,,,,,,,,,"$1,630,306.93","$66,692.46",,"$52,432.41",,,,,"$490,271.89",,,,,,,"$73,348.82","$87,410.67",,"$4,920.00",,"$340,311.00",,,,,,,,,"$142,793.94","$1,992.72","$209,170.48"
1,103023912,Fox Chapel Area SD,Allegheny,"$76,167,782.28","$62,737,457.62",,"$71,981.00","$15,967.39",,,,,,"$108,877.93",,,,"$7,772,438.96",,"$975,825.48",,,,,,,,,,,,,,,"$2,728,483.39","$512,302.82",,"$204,931.29",,,,,"$492,285.51",,,,,,,"$34,701.50","$177,944.97","$79,936.20","$31,087.28",,,,,,,"$118,948.34",,,"$2,000.00","$91,337.25",,"$11,275.35"
1,103024102,Gateway SD,Allegheny,"$52,334,135.73","$42,472,766.60",,"$51,873.58",,,,,,,"$123,634.93",,,,"$3,854,888.84",,"$989,869.82",,,,"$1,570,217.35",,,,,,,,,,,"$1,639,675.96","$240,505.57",,"$68,414.00",,,,,"$720,015.32",,,,,,,"$85,067.21","$103,707.26",,,,"$42,266.21",,,,,,,,,"$128,830.99","$40,398.02","$202,004.07"
1,103024603,Hampton Township SD,Allegheny,"$35,709,499.19","$29,721,415.34","$99,695.68","$34,472.39",,,,,,,,,,,"$3,900,568.88",,"$453,618.80",,,,,,,,,,,,,,,"$891,482.55","$243,620.00",,"$79,453.84",,,,"$1,888.27","$252,584.85",,,,,,,"$18,857.10",,"$4,436.64",,$540.00,,,,,,,,,,$80.89,,"$6,783.96"
1,103024753,Highlands SD,Allegheny,"$20,253,435.47","$15,694,303.69",,"$19,180.90","$380,066.90",,"$48,138.73",,"$48,205.83",,"$31,665.73",,,,"$1,940,405.81",,"$192,986.55",,,,,,,,,,,,,,,"$877,384.93","$85,657.88",,,"$70,000.00",$792.40,,,"$509,819.65",,,,,,,"$4,392.57","$83,996.00",,"$6,510.00",,,,,"$126,735.84",,,,,,"$121,336.45",,"$11,855.61"
1,103025002,Keystone Oaks SD,Allegheny,"$30,266,131.92","$24,627,499.21",,"$29,264.67",,,,,,,"$62,247.59",,,,"$3,061,415.47",,"$627,953.59",,,,,,,,,,,,,,,"$941,109.85","$144,413.78",,"$90,449.94",,,,,"$314,357.06",,,,,,,"$35,584.25","$11,193.75","$144,850.00",,,,,,"$109,575.39",,,,,,"$27,755.37",$252.00,"$38,210.00"
1,103026002,McKeesport Area SD,Allegheny,"$16,722,457.00","$11,223,771.00",,"$14,341.00",,,,,,,"$48,625.00",,,,"$2,185,722.00",,"$203,066.00",,"$328,886.00",,"$188,758.00",,,,,,,,,,,"$1,144,415.00","$80,452.00",,"$49,102.00",,,,,"$888,555.00",,,,,"$79,778.00",,"$23,544.00",,,,,"$149,800.00",,,,,,,,,"$99,254.00",,"$14,388.00"
1,103026303,Montour SD,Allegheny,"$55,142,556.31","$46,069,767.37","$688,540.84","$48,899.34",,"$13,415.89",,,,,,,,,"$4,610,833.51",,"$787,260.58",,,,,,,,,,,,,,,"$1,200,617.00","$193,244.04",,"$34,122.50",,,,,"$458,864.05",,,,,,,"$658,392.52","$67,431.91",,,,,,,,"$3,677.00",,,,,"$173,548.75",,"$133,941.01"
1,103026343,Moon Area SD,Allegheny,"$56,134,594.81","$46,963,252.15","$488,036.94","$51,089.22","$100,000.00",,,,,,"$78,089.05",,,,"$4,749,716.29",,"$1,097,474.03","$4,254.28",,,,,,,,,,,,,,"$960,784.22","$272,562.94",,"$42,417.00",,,,"$3,584.00","$586,696.70",,,,,"$52,572.00",,"$73,773.20","$49,232.06",,,,,,,,,,,,"$152,985.50","$345,842.26",,"$62,232.97"
1,103026402,Mt Lebanon SD,Allegheny,"$74,163,003.47","$62,681,055.44",,"$72,067.54",,,,,,,"$43,771.99",,,,"$7,613,958.08",,"$929,157.06",,,,,,,,,,,,,,,"$852,723.00","$558,457.11",,"$158,901.69",,,"$1,268.78",,"$712,950.08",,,,,,,"$92,185.28",,,"$118,420.69","$147,989.20","$134,325.77",,,,,,,,"$40,355.50","$5,416.26",,
1,103026852,North Allegheny SD,Allegheny,"$121,418,385.02","$99,424,166.84","$2,399,513.52","$113,811.96","$1,494.96",,"$177,904.68",,"$177,904.68",,,,,,"$13,046,901.98",,"$2,389,583.90",,,,,,,,,,,,,,,"$1,378,412.76","$41,603.00",,"$285,254.00",,,,,"$995,296.60",,,,,,$500.00,"$91,304.61","$152,561.01",,,,,,,,,,,,,"$3,625.52",,"$738,545.00"
1,103026902,North Hills SD,Allegheny,"$58,255,784.90","$46,802,018.16",,"$55,903.05","$46,482.68",,,,,,"$75,475.27",,,,"$5,888,680.05",,"$800,604.20",,"$450,596.01",,"$847,614.59",,,,,,,,,,,"$1,945,908.94","$199,636.46",,"$93,449.00",,$500.00,,"$4,000.00","$708,155.23",,,,,,,"$19,690.00","$5,371.11",,"$21,066.13",,"$6,112.50",,,,,"$41,025.80",,,,"$183,546.31",,"$59,949.41"
1,103026873,Northgate SD,Allegheny,"$13,962,226.00","$10,301,151.00",,"$13,228.00",,,"$5,675.00",,"$6,294.00",,"$12,462.00",,,,"$1,533,883.00",,"$197,153.00",,,,,,,,,,,,,,,"$1,255,917.00","$165,638.00",,"$23,990.00",,,,,"$287,030.00",,,,,,,"$22,100.00","$88,147.00",,,,,,,,,,,,,"$15,158.00",,"$34,400.00"
1,103027352,Penn Hills SD,Allegheny,"$47,784,345.76","$37,173,135.54",,"$43,349.93","$16,685.11",,,,,,"$37,957.48",,,,"$4,060,769.07",,"$586,180.52",,"$276,141.06",,"$350,425.81",,,,,,,,,,,"$3,358,245.42","$69,659.35",,"$34,054.94",,,,"$89,189.10","$914,724.86",,,,,,,"$523,854.60","$52,108.29",,,,"$39,731.88",,,,,,,,,"$26,315.12",,"$131,817.68"
1,103021003,Pine-Richland SD,Allegheny,"$67,350,804.00","$54,251,056.00","$1,113,479.00","$61,499.00",,,"$76,212.00",,"$76,212.00",,,,,,"$7,037,795.00",,"$1,280,610.00",,,,,,,,,,,,,,,"$1,478,517.00","$396,032.00",,"$225,656.00",,,,,"$746,995.00",,,,,,,"$138,107.00","$13,191.00",,,,,,,,,,,,,"$58,843.00","$43,136.00","$353,464.00"
1,102027451,Pittsburgh SD,Allegheny,"$337,744,987.75","$167,606,645.12",,"$311,479.08","$707,892.75",,,,,,,,,,,,,,,,,,"$121,587,952.38",,,,,,,"$13,001,253.38",,"$14,665,248.79","$2,696,489.67",,"$803,455.72",,"$1,113,813.28",,,"$18,224.23",,,,,"$1,321,618.35",,"$244,336.24","$7,114,443.61","$32,635.58",,,"$4,998,493.76",,,"$370,210.29",,,,"$532,114.22",,"$244,912.62",,"$373,768.68"
1,103027503,Plum Borough SD,Allegheny,"$34,721,875.78","$28,076,606.00",,"$31,471.56",,,"$90,997.63",,"$90,997.64",,"$39,196.81",,,,"$3,817,211.91",,"$366,366.73",,,,,,,,,,,,,,,"$1,113,482.56","$121,006.64",,"$93,479.99",,,,,"$592,037.90",,,,,,,"$10,848.84","$2,529.82",$925.00,"$40,000.00",,"$165,681.71",,,,,,,,,,,"$69,035.04"
1,103027753,Quaker Valley SD,Allegheny,"$39,987,584.00","$32,031,393.00","$98,223.00","$36,745.00","$438,524.00",,"$35,215.00",,"$35,215.00",,,,,,"$4,237,396.00",,"$781,861.00",,,,,,,,,,,,,,,"$1,552,431.00","$176,003.00",,,,,,,"$281,322.00",,,,,,,"$130,785.00","$17,212.00","$105,298.00","$10,000.00",,,,,,,,,,,"$18,179.00",,"$1,782.00"
1,103028203,Riverview SD,Allegheny,"$15,964,572.74","$12,931,358.40",,"$15,175.14",,,,,,,"$17,505.77",,,,"$1,092,679.86",,"$266,751.88",,,,,,,,,,,,,,,"$1,302,730.38","$74,868.19",,"$22,601.35",,-$18.33,,"$39,129.54","$147,186.67",,,,,,,"$8,140.00","$23,003.15",$150.00,,,,,,,,,,,,"$16,970.88",,"$6,339.86"
1,103028302,Shaler Area SD,Allegheny,"$54,557,537.03","$44,634,072.13",,"$49,843.08",,,,,,,"$26,495.76",,,,"$5,346,090.69",,"$531,919.57",,,,,,,,,,,,,,,"$2,276,083.09","$316,876.47",,"$54,649.66",,,,"$6,144.00","$948,700.00",,,,,,"$126,004.68","$59,266.61","$9,019.00",,"$20,455.00",,,,,,,,,,"$49,349.68","$74,586.00",,"$27,981.61"
1,103028653,South Allegheny SD,Allegheny,"$7,049,255.89","$4,705,389.89",,"$6,440.53",,,,,,,,,,,"$1,066,115.47",,"$95,085.75",,,,,,,,,,,,,,,"$522,923.06","$137,173.23",,"$25,865.23","$12,250.00",,,,"$384,367.84",,,,,,,"$10,761.57",$205.36,,,,,,,,,,,,,"$14,833.86",,"$67,844.10"
1,103028703,South Fayette Township SD,Allegheny,"$40,749,691.22","$34,065,387.60","$446,095.65","$37,122.28",,,"$41,880.02",,"$41,880.01",,"$17,345.97",,,,"$3,288,338.33",,"$682,998.80",,,,,,,,,,,,,,,"$1,004,726.62","$550,397.67",,"$126,426.50",,,,,"$301,780.23",,,,,,,"$49,905.25",,"$2,014.63",,,,,,,,,,,,"$7,184.67","$32,837.07","$53,369.92"
1,103028753,South Park SD,Allegheny,"$20,599,272.91","$16,915,828.77","$41,290.00","$18,757.70",,,"$39,667.95",,"$39,667.87",,"$13,288.09",,,,"$2,026,179.15",,"$208,910.70","$23,908.35",,,,,,,,,,,,,,"$762,285.49","$4,536.76",,"$74,391.35",,,,,"$198,480.78",,,,,,,"$25,935.00","$12,686.20","$2,277.14",,,,,,,,,"$7,072.49",,,"$98,815.18",,"$85,293.94"
1,103028833,Steel Valley SD,Allegheny,"$16,619,213.51","$12,869,819.65",,"$15,141.18","$30,288.57",,,,,,"$36,868.64",,,,"$1,580,126.93",,"$190,557.76","$27,555.26",,,,,,,,,,,,,,"$1,196,654.65","$73,236.02",,"$30,008.00",,,,,"$414,641.00",,,,,,,"$37,802.50",$450.00,$298.44,,,,,,,,,,,,"$112,050.57",,"$3,714.34"
1,103028853,Sto-Rox SD,Allegheny,"$8,724,442.55","$5,977,163.11",,"$7,789.96","$22,856.77",,,,,,"$21,423.51",,,,"$888,384.22",,"$103,139.70",,,,"$60,222.98",,,,,,,,,,,"$938,076.21","$5,766.94",,"$7,430.35",,,,"$44,688.86","$315,622.11",,,,,,,"$57,958.29","$84,355.97",,,,,,,,,,,,,"$137,042.67",,"$52,520.90"
1,103029203,Upper Saint Clair SD,Allegheny,"$62,799,884.10","$53,003,152.83","$176,355.46","$56,103.74",,,,,,,,,,,"$5,578,247.32",,"$976,335.84",,,,"$350,846.97",,,,,,,,,,,"$636,208.52","$314,884.18",,"$164,181.00",,,,,"$612,116.26",,,,,,,"$344,216.90","$148,201.25",,"$83,968.81",,"$69,514.23",,,,,,,,,,,"$285,550.79"
1,103029403,West Allegheny SD,Allegheny,"$46,760,051.43","$37,649,753.34","$203,603.02","$42,694.27","$353,970.00",,,,,,"$109,359.77",,,"$1,149,423.33","$3,834,852.37",,"$919,615.07",,,,,,,,,,,,,,,"$1,236,093.17","$303,442.45",,"$150,875.28",,,,"$33,629.59","$566,193.97",,,,,,,"$9,589.46","$30,541.71",,,,"$28,571.68",,,,,,,,,,,"$137,842.95"
1,103029553,West Jefferson Hills SD,Allegheny,"$35,670,943.89","$26,988,957.97","$26,763.64","$32,500.93",,,,,,,"$39,865.73",,,,"$3,283,672.90",,"$536,814.80",,"$1,529,868.70",,"$283,367.52",,,,,,,,,,,"$1,649,932.21","$461,394.62",,,,,,,"$290,274.68",,,,,,,"$28,107.33","$9,129.88",,,,,,,,,,,,,"$137,107.67",,"$373,185.31"
1,103029603,West Mifflin Area SD,Allegheny,"$33,855,094.49","$23,023,078.86",,"$29,025.36","$408,853.48",,,,,,"$66,657.64",,,,"$2,173,106.13",,"$382,770.88","$371,670.88","$581,588.48",,"$541,812.43",,,,,,,,,,,"$1,734,762.05","$38,744.59",,"$26,123.37",,,,,"$652,071.97",$500.00,,,,,,"$29,533.24","$2,175.00","$3,731,740.35",,,,,,,,,,,"$7,120.00","$6,750.42",,"$47,009.36"
1,103029803,Wilkinsburg Borough SD,Allegheny,"$13,914,142.19","$10,015,812.20",,"$12,772.41","$11,038.84",,,,,,"$16,161.41",,,,"$1,519,717.15",,"$115,816.61",,,,,,,,,,,,,,,"$1,878,400.04","$31,902.34",,,,,,"$14,974.98","$161,064.08",,,,,$470.00,,"$3,445.00","$5,706.29",,,,"$22,240.73",,,,,,,,,"$83,103.81",,"$21,516.30"
1,103029902,Woodland Hills SD,Allegheny,"$55,862,148.89","$44,248,071.80",,"$55,848.32","$26,079.22",,,,,,,,,,"$5,267,555.58",,"$605,121.23",,,,,,,,,,,,,,,"$3,617,646.84","$286,883.86",,"$36,820.00",,"$42,563.00",,"$4,536.63","$996,362.35",,,,,"$177,875.18",,"$46,564.00","$190,966.97",,,,"$2,819.20",,,,,,,,,"$99,645.09",,"$156,789.62"
1,128030603,Apollo-Ridge SD,Armstrong,"$8,594,185.95","$6,063,892.07",,"$8,249.52","$13,189.27",,"$17,662.52",,"$17,662.53",,"$9,549.63",,,,"$879,902.45",,"$91,032.26",,,,,,,,,,,,,,,"$875,368.76","$125,804.56",,"$32,920.00",,,,,"$240,697.00",,,,,,,"$4,361.43","$7,579.00","$7,667.00",,,"$125,793.21",,,,,,,,,"$4,136.57",,"$68,718.17"
1,128030852,Armstrong SD,Armstrong,"$38,096,893.26","$29,135,945.86","$5,937.39","$36,711.95","$44,804.10",,,,,,,,,,"$3,971,964.13",,"$371,638.97",,,,,,,,,,,,,,,"$2,993,355.36","$245,790.84",,"$129,407.08",,,,,"$870,947.66",,,,,,,"$21,124.18","$5,000.00",,$285.00,,"$152,385.60",,,,,,"$6,460.00",,,"$51,054.88","$42,342.94","$11,737.32"
1,128033053,Freeport Area SD,Armstrong,"$17,018,743.30","$13,805,625.82","$56,169.91","$15,504.78","$13,138.95",,,,,,"$17,978.03",,,,"$1,709,402.43",,"$210,344.13",,,,,,,,,,,,,,,"$648,644.54","$119,286.55",,"$61,875.00",,,,,"$218,323.20",,,,,,,"$46,935.40","$31,626.05","$10,500.00",,,,,,,,,,,,"$13,688.69",,"$39,699.82"
1,128034503,Leechburg Area SD,Armstrong,"$6,896,426.19","$5,374,253.47",,"$6,270.05","$16,496.73",,,,,,"$4,606.05",,,,"$567,151.17",,"$56,329.49",,,,,,,,,,,,,,,"$498,148.20","$22,133.03",,"$15,280.00",,"$164,542.49",,$292.40,"$137,211.00",,,,,,,,"$7,422.61",,$215.00,,,,,,,,,,,"$12,893.70",,"$13,180.80"
1,127040503,Aliquippa SD,Beaver,"$6,772,396.22","$4,794,777.22",,,"$129,218.04",,"$11,386.75",,,,"$11,192.22",,,,"$654,259.26",,"$64,923.56",,,,"$67,294.80",,,,,,,,,,,"$534,439.04","$7,427.74",,"$37,486.74",,,,,"$218,532.00",,,,,,,"$119,190.75","$12,682.96",,,,,,,,,,,,,"$51,974.11",,"$57,611.03"
1,127040703,Ambridge Area SD,Beaver,"$25,664,359.58","$19,745,234.66",,"$24,220.49","$12,936.69",,"$49,229.60",,"$36,499.67",,"$28,173.86",,,,"$2,818,158.73",,"$409,235.91",,,,"$207,489.88",,,,,,,,,,,"$1,373,980.48","$53,056.24",,"$96,060.60",,,"$1,687.52",,"$426,924.84",,,,,,,"$12,856.36","$19,442.91","$37,332.71",,,,,,,,,,,,"$283,537.52",,"$28,300.91"
1,127041203,Beaver Area SD,Beaver,"$20,290,108.38","$15,839,241.73",,"$18,008.65","$19,305.53",,"$32,435.80",,"$32,435.80",,"$36,261.76",,,,"$2,049,555.19",,"$358,509.71",,,,,,,,,,,,,,,"$590,440.93","$34,111.10",,"$174,845.33","$5,587.81",,,,"$232,009.31",,,,,,,"$59,540.78","$104,973.04","$26,676.49","$2,385.00",,"$594,660.70",,,,"$42,559.65",,,,$73.38,"$27,002.66","$8,439.28","$1,048.75"
1,127041503,Big Beaver Falls Area SD,Beaver,"$8,433,034.00","$5,924,990.00",,,"$97,529.00",,"$20,327.00",,"$20,327.00",,"$22,795.00",,"$4,763.00",,"$952,206.00",,"$106,456.00",,,,"$119,689.00",,,,,,,,,,,"$740,216.00","$77,282.00",,"$25,290.00",,,,,"$250,401.00",,,,,,,"$26,869.00",,"$2,143.00",,,,,,,,,,,,"$4,197.00",,"$37,554.00"
1,127041603,Blackhawk SD,Beaver,"$19,216,996.00","$15,032,223.00","$44,767.00","$17,815.00","$3,406.00",,"$59,357.00",,"$59,648.00",,"$26,170.00",,,,"$2,259,049.00",,"$316,066.00","$55,258.00",,,,,,,,,,,,,,"$806,230.00","$44,854.00",,"$71,584.00",,,,,"$302,775.00",,,,,,,"$55,266.00","$49,242.00",,,,,,,,"$4,316.00",,,,,,,"$8,970.00"
1,127042003,Central Valley SD,Beaver,"$18,906,242.32","$14,536,900.69",,"$17,462.93","$339,806.91",,,,,,"$41,611.85",,,,"$2,333,970.99",,"$360,195.80",,,,"$272,510.16",,,,,,,,,,,"$435,042.73","$54,439.27",,"$50,262.59",,,,,"$274,750.60",,,,,,,"$18,548.02",,,,,"$7,950.00",,,,,,,,,,,"$162,789.78"
1,127042853,Freedom Area SD,Beaver,"$9,306,309.29","$7,016,222.40","$12,683.49","$8,358.50","$1,953.71",,,,,,"$14,959.75",,,,"$1,179,238.99",,"$120,390.05",,,,,,,,,,,,,,,"$541,988.22","$80,961.66",,"$48,947.92",,,,,"$208,426.60",,,,,,,"$35,281.14","$7,199.08",,,,,,,,,,,,,"$13,339.97",,"$16,357.81"
