Cat,AUN,school_district,county,total_local_rev,real_estate_revenue,Interim Real Estate Taxes 6112,Public Utility Realty Tax 6113,Payment in Lieu State & Local 6114,Payment in Lieu Federal 6115,"Per Capita, Section 679 6120",Current Act 1 Earned Income Tax 6131,Current Act 511 Per Capita Taxes 6141,Current Act 511 Occupation Taxes-Flat Rate 6142,Current Act 511 Local Services Taxes 6143,Current Act 511 Business Privilege Taxes-Flat Rate 6145,Current Act 511 Mechanical Device Taxes-Flat Rate 6146,Current Act 511 Taxes-Other Flat Rate Assessments 6149,Current Act 511 Earned Income Taxes 6151,Current Act 511 Occupation Taxes 6152,Current Act 511 Real Estate Transfer Taxes 6153,Current Act 511 Amusement Taxes 6154,Current Act 511 Business Privilege Taxes 6155,Current Act 511 Mechanical Device Taxes-Percentage 6156,Current Act 511 Mercantile Taxes 6157,Current Act 511 Taxes-Other Proportional Assessments 6159,Earned Income Tax 6161,Liquor Sales Tax 6162,Cigarette Tax 6163,Sales and Use Tax 6164,General Business Taxes 6165,Business Use & Occupancy Tax 6166,Non-Business Income Tax 6167,Real Estate Transfer Tax 6168,Current Mercantile Taxes 6169,Delinquent Taxes 6400,Earnings on Investments 6500,Food Service Revenue 6600,Revenue from District Activities 6700,Revenue from Local Gov't Units 6810,State Revenue from Other Public Schools 6821,State Revenue from Intermediate Sources 6829,Federal Revenue from Other PA Public Schools  6831,Federal IDEA Revenue Received as Pass Through 6832,ARRA - IDEA Revenue received as Pass Through 6833,ARRA - WIA Revenue received as Pass Through 6834,ARRA - Title I Revenue Received as Pass Through 6835,ARRA - Race to the Top received as Pass Through 6836,Federal Revenue from Intermediate Sources 6839,Other Revenue from Intermediate Sources 6890,Rentals 6910,Contributions from Private Sources 6920,Regular Day School Tuition 6941,Summer School Tuition 6942,Adult Education Tuition 6943,Receipts from Other LEAs in PA - Education 6944,Receipts from Out-of-State LEAs 6945,Receipts From Member Districts – AVTS / Special Program Jointure Only 6946,Other Tuition from Patrons 6949,Transportation Services Provided Other PA LEAs 6961,All Other Services Provided Other PA LEAs 6962,All Other Services Provided Other Govt's and LEAs Not Specified Elsewhere 6969,Services Provided Other Funds 6970,Revenue from Community Services Activities 6980,Refunds of a Prior Year Expenditure 6991,Energy Efficiency Revenues and Incentives 6992,Other Revenues Not Specified Elsewhere 6999
1,112011103,Bermudian Springs SD,Adams,"$17,346,228.61","$12,075,062.66","$52,552.93","$14,539.87","$1,386.41",,"$40,329.40",,"$40,329.40",,,,,,"$4,032,101.55",,"$268,976.43",$148.59,,,,,,,,,,,,,,"$319,042.42","$142,524.58",,"$54,746.00",,,,,"$272,649.88",,,,,,,"$2,950.00",,,"$3,640.00","$3,489.56","$7,059.96",,,,,,,,,,,"$14,698.97"
1,112011603,Conewago Valley SD,Adams,"$39,115,290.43","$29,432,662.38",,"$32,262.08",,,"$90,535.50",,"$90,535.50",,"$66,727.69",,,,"$6,701,615.89",,"$553,145.88","$172,787.61",,,,,,,,,,,,,,"$545,864.93","$256,028.55",,"$61,618.13",,,,,"$573,047.00",,,,,,,"$28,262.50",$30.00,"$8,948.80",,,,,,"$441,414.99",,,,,,,,"$59,803.00"
1,112013054,Fairfield Area SD,Adams,"$11,838,930.89","$8,788,064.02","$18,214.22","$10,024.29","$15,337.13",,,,,,,,,,"$2,217,772.00",,"$194,710.41","$13,453.78",,,,,,,,,,,,,,"$255,110.15","$35,942.62",,"$33,122.48",,"$11,093.00",,"$24,730.34","$119,857.00",,,,,,,"$12,579.00","$24,068.67",,,,"$48,218.00",,,,,,,,,$745.78,,"$15,888.00"
1,112013753,Gettysburg Area SD,Adams,"$43,285,759.05","$30,170,018.74","$115,745.69","$38,710.30","$60,368.05","$6,512.20",,,,,"$100,982.44",,,,"$6,652,325.62",,"$678,592.29","$209,562.27",,,,,,,,,,,,,,"$1,691,161.93","$609,241.15",,"$146,879.41",,,,,"$354,207.00",,,,,,,"$697,034.20","$75,424.00",,,,"$1,460,332.11",,,"$2,829.83",,,,,,"$4,747.52",$280.00,"$210,804.30"
1,112015203,Littlestown Area SD,Adams,"$20,684,423.92","$14,873,642.67","$70,063.32","$16,550.21",,,"$47,995.40",,"$47,995.40",,"$23,614.89",,,,"$4,156,188.28",,"$345,645.00",,,,,,,,,,,,,,,"$496,716.16","$206,968.16",,"$75,064.23",,,,,"$251,392.00",,,,,,,"$7,304.86","$2,500.00","$1,750.00","$1,320.00",,"$42,605.54",,,,,,,,,,,"$17,107.80"
1,112018523,Upper Adams SD,Adams,"$16,247,157.56","$12,068,968.41","$35,352.82","$13,371.12","$12,886.16",,"$34,248.60",,"$35,376.80",,"$47,048.14",,,,"$2,392,650.85",,"$123,887.82",,,,,,,,,,,,,,,"$495,551.60","$80,595.74",,,"$39,634.13",,,,"$255,832.00",,,,,,"$78,235.20","$2,000.00","$131,876.50",,,,"$251,596.39",,,,,,,,,"$63,993.23","$19,148.84","$64,903.21"
1,103020603,Allegheny Valley SD,Allegheny,"$17,079,952.00","$14,753,116.00",,"$14,741.00","$13,031.00",,,,,,"$24,780.00",,,,"$1,159,146.00",,"$173,232.00",,,,,,,,,,,,,,,"$421,945.00","$193,192.00",,,,,,$428.00,"$148,245.00",,,,,,,"$5,729.00","$9,475.00",,,,,,,,,,,,,,,"$162,892.00"
1,103020753,Avonworth SD,Allegheny,"$26,646,603.27","$22,482,632.00",,"$21,160.00",,,,,,,"$18,777.81",,,,"$2,790,911.14",,"$389,190.00",,,,,,,,,,,,,,,"$455,482.10","$181,105.00",,"$48,077.00",,,,,"$249,935.11",,,,,,,"$1,141.00",,,,,,,,,,,,,,,,"$8,192.11"
1,103021102,Baldwin-Whitehall SD,Allegheny,"$46,278,939.30","$37,715,122.56",,"$39,044.89",,,,,,,"$42,944.11",,,,"$5,055,958.86",,"$615,465.51",,,,,,,,,,,,,,,"$1,266,206.34","$116,455.92",,"$83,472.64",,,,"$3,224.00","$539,195.56",,,,,,,"$319,176.53","$5,712.00","$8,300.00",,,,,,,,,,,,"$76,902.83",,"$391,757.55"
1,103021252,Bethel Park SD,Allegheny,"$60,284,776.07","$51,110,190.77",,"$53,953.37","$7,847.18",,,,,,,,"$4,250.00",,"$5,370,366.84",,"$693,444.31",,,,,,,,,,,,,,,"$992,157.48","$643,211.02",,"$186,221.00",,,,"$3,359.78","$800,779.20",,,,,,,"$95,878.21","$14,626.71","$103,757.00",,,,,,,,,,,,"$91,578.74","$46,538.04","$66,616.42"
1,103021453,Brentwood Borough SD,Allegheny,"$13,449,212.19","$10,841,430.55",,"$11,193.47",,,,,,,"$11,041.36",,,,"$1,235,357.07",,"$117,722.50",,,,,,,,,,,,,,,"$761,154.29","$85,513.98",,"$31,147.45",,,,"$106,935.61","$221,575.74",,,,,,,,"$8,723.92",,,,,,,,,,,,,"$11,499.60",,"$5,916.65"
1,103021603,Carlynton SD,Allegheny,"$19,144,401.78","$15,552,789.74",,"$4,304.75",,,,,,,,,,,"$2,017,548.99",,"$215,457.49",,,,,,,,,,,,,,,"$731,831.91","$172,448.03",,$820.00,,,,,"$275,930.13",,,,,,,"$9,801.52","$18,278.63",,"$3,950.00",,,,,,,,"$4,180.00",,,,,"$137,060.59"
1,103021752,Chartiers Valley SD,Allegheny,"$48,790,228.18","$38,857,415.73","$206,148.33","$40,574.05","$90,100.00",,,,,,"$76,160.80",,,,"$5,346,128.99",,"$639,401.17",,,,"$549,248.26",,,,,,,,,,,"$1,272,417.36","$128,604.50",,"$56,918.00",,,,,"$427,436.25",,,,,,"$3,973.21","$80,878.39","$39,954.23",,,,"$667,817.86",,,"$9,475.00",,,,,,"$202,100.87","$28,084.27","$67,390.91"
1,103021903,Clairton City SD,Allegheny,"$3,575,710.65","$2,442,203.34",,"$2,886.67","$2,991.19",,,,,,"$11,209.68",,,,"$412,016.96",,"$23,769.88",,"$295,324.15",,"$15,479.88",,,,,,,,,,,"$141,499.90","$11,013.53",,"$26,899.13",,,,$692.40,"$3,465.00",,,,,,,"$22,100.00","$66,929.00",,$600.00,,,,,,,,,,,"$39,159.38",,"$57,470.56"
1,103022103,Cornell SD,Allegheny,"$9,605,990.00","$7,701,359.00",,"$8,139.00",,,,,,,"$18,596.00",,,,"$747,066.00",,"$188,246.00",,,,,,,,,,,,,,,"$618,083.00","$29,659.00",,"$14,811.00",,,,,"$153,526.00",,,,,,,"$72,560.00","$41,500.00",,,,,,,,,,,,,"$1,810.00",,"$10,635.00"
1,103022253,Deer Lakes SD,Allegheny,"$22,231,886.41","$18,253,358.67",,"$20,905.84","$111,924.34",,"$48,429.31",,"$47,464.25",,"$22,557.18",,,,"$1,928,144.26",,"$248,115.08",,,,,,,,,,,,,,,"$567,352.98","$226,900.49",,"$28,974.86","$19,406.25",,"$8,191.83",,"$393,335.62",,,,,,,"$23,100.00","$33,089.45",,,,"$228,986.54",,,,,,,,,"$18,133.41",,"$3,516.05"
1,103022503,Duquesne City SD,Allegheny,"$2,009,885.46","$1,206,194.00",,"$1,610.21","$2,396.89",,,,,,"$7,745.24",,,,"$291,925.43",,"$16,085.83",,,,,,,,,,,,,,,"$201,584.26","$78,437.62",,,,,,$538.40,"$112,962.05",,,,,,,"$45,181.12","$23,090.66",,,,,,,,,,,,,"$13,143.43",,"$8,990.32"
1,103022803,East Allegheny SD,Allegheny,"$16,274,910.00","$12,307,784.25",,"$14,368.18","$3,679.64",,,,,,"$21,760.89",,,,"$1,353,839.52",,"$273,391.48",,"$124,208.54","$2,853.70","$199,413.32",,,,,,,,,,,"$1,073,420.30","$16,839.58",,,,,,,"$326,214.00",,,,,,,"$240,886.68","$13,307.70","$242,177.22",,,,,,,,,,,,"$27,476.00",,"$33,289.00"
1,103023153,Elizabeth Forward SD,Allegheny,"$23,383,650.15","$18,547,256.30",,"$19,280.68",,,,,,,"$22,363.77",,,,"$2,164,275.59",,"$192,676.68",,,,,,,,,,,,,,,"$1,264,160.91","$57,614.01",,"$43,238.26",,,,,"$534,714.86",,,,,,,"$87,812.05","$71,777.30",,"$4,680.00",,"$210,590.00",,,,,,,,,"$12,287.42",,"$150,922.32"
1,103023912,Fox Chapel Area SD,Allegheny,"$78,028,465.49","$64,762,645.84",,"$68,364.09","$17,444.34",,,,,,"$94,765.85",,,,"$8,018,632.05",,"$824,067.24",,,,,,,,,,,,,,,"$2,372,779.75","$702,531.04",,"$210,038.37",,"$3,217.19",,,"$518,503.63",,,,,,,"$41,918.32","$92,354.29",,-$225.00,,,,,,,"$178,729.02",$300.00,,,"$72,340.71",,"$50,058.76"
1,103024102,Gateway SD,Allegheny,"$53,735,379.75","$44,431,153.37",,"$46,392.93",,,,,,,"$122,447.80",,,,"$4,013,039.17",,"$583,852.86",,,,"$1,272,605.07",,,,,,,,,,,"$1,583,203.21","$324,870.50",,"$59,843.55",,,,,"$728,986.68",,,,,,,"$64,852.21","$16,426.58",,,,"$34,133.00",,,,,,,,,"$34,484.53","$20,706.78","$398,381.51"
1,103024603,Hampton Township SD,Allegheny,"$38,237,457.72","$31,673,697.44","$106,633.85","$32,255.24",,,,,,,,,,,"$4,233,878.95",,"$490,356.27",,,,,,,,,,,,,,,"$1,017,211.90","$281,487.24",,"$76,019.82",,,,,"$313,498.51",,,,,,,"$12,418.50",,,,,,,,,,,,,,,,
1,103024753,Highlands SD,Allegheny,"$20,605,680.39","$15,435,829.79",,"$17,323.18","$40,778.39",,"$40,163.81",,"$40,798.80",,"$30,324.65",,,,"$2,024,215.07",,"$162,053.30",,,,,,,,,,,,,,,"$1,616,011.92","$253,192.67",,"$10,978.67",,,,,"$612,177.22",,,,,,,$794.00,"$3,430.44",,"$6,212.28",,,,,,,,,,,"$248,687.64",,"$62,708.56"
1,103025002,Keystone Oaks SD,Allegheny,"$30,535,013.57","$24,780,120.57",,"$26,969.42",,,,,,,"$65,416.51",,,,"$3,294,943.56",,"$375,918.48",,,,,,,,,,,,,,,"$960,659.36","$247,223.66",,"$82,749.00",,,,,"$338,791.05",,,,,,,"$47,569.98","$8,100.00","$145,125.00",,,,,,"$67,891.44",,,,,,"$69,164.16","$1,469.29","$22,902.09"
1,103026002,McKeesport Area SD,Allegheny,"$18,291,455.00","$13,174,902.00",,"$15,219.00",,,,,,,"$47,139.00",,,,"$2,241,266.00",,"$187,440.00",,"$221,725.00",,"$142,247.00",,,,,,,,,,,"$1,084,597.00","$132,878.00",,"$43,299.00","$53,434.00",,,,"$848,540.00",,,,,,,"$15,170.00",,,,,"$53,796.00",,,,,,,,,"$15,393.00",,"$14,410.00"
1,103026303,Montour SD,Allegheny,"$58,409,430.89","$48,086,976.40","$542,000.29","$49,079.02",,"$14,381.81",,,,,,,,,"$5,118,695.50",,"$880,340.14",,,,,,,,,,,,,,,"$1,777,786.11","$658,975.64",,"$38,970.30",,,,,"$454,117.45",,,,,,,"$611,682.27","$16,572.48",,,,"$7,733.57",,,,"$9,832.00",,,,,"$71,688.61",,"$70,599.30"
1,103026343,Moon Area SD,Allegheny,"$62,088,775.33","$51,522,638.54","$900,597.63","$52,675.61","$100,000.00",,,,,,"$99,054.31",,,,"$5,132,134.82",,"$862,008.54","$46,539.36",,,,,,,,,,,,,,"$1,950,688.20","$365,643.80",,"$40,666.00",,,,"$13,351.48","$646,875.08",,,,,"$58,144.51",,"$107,718.84","$32,652.00",,,,,,,,,,,,$847.85,"$36,564.56",,"$119,974.20"
1,103026402,Mt Lebanon SD,Allegheny,"$77,417,156.03","$65,220,177.15",-$806.53,"$66,338.26",,,,,,,"$42,083.58",,,,"$8,050,962.67",,"$956,614.51",,,,,,,,,,,,,,,"$1,185,237.00","$816,397.88",,"$98,204.00",,,,,"$558,134.79",,,,,,,"$74,474.86",,,"$66,421.60","$123,599.50","$94,426.00",,,,,,,,"$32,899.01",,,"$31,991.75"
1,103026852,North Allegheny SD,Allegheny,"$137,184,394.55","$112,375,400.28","$2,867,440.31","$109,558.48","$1,494.96",,"$177,149.00",,"$177,148.95",,,,,,"$14,764,543.45",,"$2,182,788.39",,,,,,,,,,,,,,,"$1,502,377.60","$776,364.00",,"$447,483.18",,$870.98,,"$4,133.27","$1,108,011.05",,,,,,$250.00,"$127,163.14","$277,924.38","$10,302.75",,,,,,,,,,,,,,"$273,990.38"
1,103026902,North Hills SD,Allegheny,"$62,245,417.91","$50,502,851.29","$20,641.31","$52,255.98","$35,705.51",,,,,,"$70,633.35",,,,"$6,390,207.36",,"$948,021.47",,"$440,984.99",,"$780,222.64",,,,,,,,,,,"$1,485,494.92","$521,082.24",,"$91,746.34",,,,"$11,455.00","$658,452.70",,,,,,,"$10,195.00","$29,509.98",,"$17,826.61",,,,,,,"$41,060.69",,,,"$98,190.25",,"$38,880.28"
1,103026873,Northgate SD,Allegheny,"$14,863,100.00","$10,974,810.00",,"$12,241.00",,,"$19,148.00",,"$19,148.00",,"$11,269.00",,,,"$1,698,125.00",,"$183,775.00",,,,,,,,,,,,,,,"$1,401,125.00","$120,943.00",,"$12,781.00",,,,,"$251,184.00",,,,,"$2,384.00",,"$14,400.00","$78,613.00",,,,,,,,,,,,,"$27,281.00",,"$35,873.00"
1,103027352,Penn Hills SD,Allegheny,"$49,816,033.54","$39,209,464.49",,"$42,167.32","$14,985.96",,,,,,"$34,359.65",,,,"$4,338,669.98",,"$460,821.04",,"$249,293.94",,"$337,788.52",,,,,,,,,,,"$3,730,216.38","$120,543.52",,"$36,975.00",,,"$63,375.00","$6,696.00","$893,586.19",,,,,,,"$76,115.31",,,,,,,,,,,,,,"$23,873.90",,"$177,101.34"
1,103021003,Pine-Richland SD,Allegheny,"$71,081,781.00","$57,849,437.00","$890,086.00","$60,077.00",,,"$78,199.00",,"$78,199.00",,,,,,"$7,524,168.00",,"$1,189,141.00",,,,,,,,,,,,,,,"$1,149,125.00","$772,479.00",,"$186,451.00","$118,269.00",,,,"$718,375.00",,,,,,,"$130,249.00","$4,075.00",,,,,,,,,,,,,"$59,243.00","$40,400.00","$233,808.00"
1,102027451,Pittsburgh SD,Allegheny,"$351,792,864.86","$172,811,048.04",,"$297,570.31","$347,123.34",,,,,,,,,,,,,,,,,,"$136,814,052.17",,,,,,,"$14,909,638.85",,"$12,810,022.26","$3,356,516.86",,"$929,028.66",,"$1,273,266.93",,"$13,622.12",,,,,,"$658,318.11",,"$193,762.02","$928,194.79","$37,137.18",,,"$4,766,945.59",,,"$321,990.05",,,"$374,395.62","$495,214.42",,"$7,957.91",,"$447,059.63"
1,103027503,Plum Borough SD,Allegheny,"$37,398,593.83","$30,369,725.77",,"$30,592.29",,,"$56,296.95",,"$56,296.95",,"$30,661.15",,,,"$4,003,205.26",,"$408,632.04",,,,,,,,,,,,,,,"$1,118,205.27","$258,563.24",,"$76,199.00",,"$3,455.04",,,"$635,565.74",,,,,,,"$20,458.86",,,,,"$133,585.34",,,,,,,,,"$24,620.04",,"$172,530.89"
1,103027753,Quaker Valley SD,Allegheny,"$43,069,620.00","$34,899,491.00","$298,110.00","$35,663.00","$451,724.00",,"$36,555.00",,"$36,555.00",,,,,,"$4,684,114.00",,"$682,541.00",,,,,,,,,,,,,,,"$1,069,746.00","$325,082.00",,,,,,,"$288,822.00",,,,,,,"$113,608.00","$15,297.00","$117,590.00",,,"$12,994.00",,,,,,,,,"$1,387.00",,$341.00
1,103028203,Riverview SD,Allegheny,"$17,692,971.44","$14,120,149.57",,"$14,359.38",,,,,,,"$22,181.28",,,,"$1,390,765.68",,"$265,646.81",,,,,,,,,,,,,,,"$1,434,474.83","$135,484.08",,"$22,937.86",,,,"$1,240.00","$182,630.76",,,,,,,"$9,220.00","$54,259.65",,,,,,,,,,,,,"$24,717.49",,"$14,904.05"
1,103028302,Shaler Area SD,Allegheny,"$55,101,767.56","$45,667,410.42",,"$48,580.15",,,,,,,"$27,159.80",,,,"$5,713,265.03",,"$639,195.72",,,,,,,,,,,,,,,"$1,340,007.41","$476,370.73",,"$53,806.00",,,,,"$822,925.59",,,,,"$3,472.00",$0.20,"$47,993.75","$94,175.66",,"$22,065.00",,,,,,,,,,"$50,534.50","$89,805.64",,"$4,999.96"
1,103028653,South Allegheny SD,Allegheny,"$8,030,937.06","$5,381,425.50",,"$5,877.22",,,,,,,,,,,"$1,121,763.80",,"$68,933.40",,,,,,,,,,,,,,,"$802,043.43","$79,253.68",,"$32,489.00",,,,,"$369,762.77",,,,,,,"$30,684.35","$20,000.00",,,,,,,,,,,,,"$59,506.03",,"$59,197.88"
1,103028703,South Fayette Township SD,Allegheny,"$43,719,927.98","$36,670,989.54","$695,726.03","$36,414.56",,,"$41,311.40",,"$41,311.40",,"$30,640.42",,,,"$3,682,869.21",,"$627,395.23",,,,,,,,,,,,,,,"$584,999.44","$693,409.01",,"$135,713.35",,,,"$2,534.07","$335,471.51",,,,,,,"$37,679.45",,,,,,,,,,,,,,$98.11,"$27,307.61","$76,057.64"
1,103028753,South Park SD,Allegheny,"$22,735,775.00","$18,114,816.92","$302,473.36","$18,281.23",,,"$36,392.85",,"$36,392.76",,"$13,745.47",,,,"$2,102,507.45",,"$202,737.92","$28,391.92",,,,,,,,,,,,,,"$632,196.67","$100,004.68",,"$57,650.06",,,,,"$241,982.41",,,,,,,"$18,147.83","$5,951.29",,,,,,,,,,"$2,270.76",,,"$775,892.81","$14,608.75","$31,329.86"
1,103028833,Steel Valley SD,Allegheny,"$18,918,289.08","$14,790,347.22",,"$14,601.30","$17,991.77",,,,,,"$31,824.22",,,,"$1,686,360.87",,"$287,268.03","$38,001.17",,,,,,,,,,,,,,"$1,215,446.93","$108,596.16",,,,,,,"$402,355.18",,,,,,,"$7,536.57","$150,000.00",,,,,,,,,,,,,,,"$167,959.66"
1,103028853,Sto-Rox SD,Allegheny,"$8,201,456.97","$5,959,617.47",,"$7,347.92",,,,,,,"$15,321.62",,,,"$950,559.62",,"$38,960.17",,,,"$107,016.09",,,,,,,,,,,"$560,836.67","$11,258.11",,"$17,800.00",,,,"$37,127.02","$281,250.94",,,,,,,"$9,055.22","$46,545.00",,,,,,,,,,,,,"$75,841.47",,"$82,919.65"
1,103029203,Upper Saint Clair SD,Allegheny,"$67,153,328.57","$57,501,960.96","$521,052.21","$58,326.64",,,,,,,,,,,"$5,547,713.62",,"$780,314.59",,,,"$369,373.45",,,,,,,,,,,"$560,398.82","$481,358.66",,"$129,236.47",,,,,"$554,042.44",,,,,,,"$243,564.97","$44,804.00",,"$109,192.10",,"$57,394.95",,,,,,,,,"$40,755.01",,"$153,839.68"
1,103029403,West Allegheny SD,Allegheny,"$49,508,949.60","$39,297,991.03","$496,287.76","$41,486.51","$353,970.00",,,,,,"$113,236.64",,,"$948,495.09","$4,032,544.00",,"$1,372,508.75",,,,,,,,,,,,,,,"$1,453,688.54","$532,924.41",,"$143,842.51",,,,,"$512,229.10",,,,,,,"$9,089.20","$5,250.00","$2,500.00",,,"$71,263.03",,,,,,,,,"$8,532.57",,"$113,110.46"
1,103029553,West Jefferson Hills SD,Allegheny,"$38,846,437.23","$30,359,664.55","$418,717.32","$31,586.03",,,,,,,"$44,883.19",,,,"$3,462,353.26",,"$339,470.68",,"$1,588,017.06",,"$363,093.75",,,,,,,,,,,"$1,116,735.42","$561,912.08",,"$27,472.54",,,,,"$286,057.01",,,,,,,"$21,217.18","$14,862.00",,,,,,,,,,,,,"$79,470.35",,"$130,924.81"
1,103029603,West Mifflin Area SD,Allegheny,"$34,261,447.42","$22,466,677.37",,"$26,560.30","$388,892.98",,,,,,"$64,737.57",,,,"$2,313,364.42",,"$480,212.60","$303,714.25","$407,584.23",,"$502,279.34",,,,,,,,,,,"$1,972,812.36","$131,035.94",,"$6,537.35",,,,,"$703,345.62",,,,,,,"$3,604.89","$8,697.00","$4,304,058.00",,,,,,,,,,,"$3,637.00","$107,374.00",,"$66,322.20"
1,103029803,Wilkinsburg Borough SD,Allegheny,"$13,504,568.92","$9,016,216.74",,"$12,459.84","$5,595.29",,,,,,"$13,884.94",,,,"$1,597,416.49",,"$243,569.82",,,,,,,,,,,,,,,"$1,632,885.92","$69,377.35",,,,,,"$51,980.50","$160,889.00",,,,,,,"$56,898.84",,,,,"$106,706.74",,,,,,,,,"$535,305.47",,"$1,381.98"
1,103029902,Woodland Hills SD,Allegheny,"$56,644,691.68","$45,339,355.04",,"$48,611.75","$33,685.24",,,,,,,,,,"$6,295,614.98",,"$637,603.38",,,,,,,,,,,,,,,"$2,875,033.27","$329,165.33",,"$30,840.65",,"$5,984.00","$4,741.00","$6,174.96","$765,797.00",,,,,,,"$41,749.35","$156,027.80",,,,,,,,,,,,,"$22,885.35",,"$51,422.58"
1,128030603,Apollo-Ridge SD,Armstrong,"$8,355,673.96","$6,024,049.74",,"$7,317.26","$12,825.16",,"$16,952.77",,"$16,952.77",,"$9,675.57",,,,"$927,955.41",,"$70,186.08",,,,,,,,,,,,,,,"$741,515.69","$140,456.14",,"$23,425.50",,"$6,715.10",,,"$231,887.00",,,,,,,"$1,368.45",,"$11,993.06",,,,,,,,,,,,"$4,812.99",,"$107,585.27"
1,128030852,Armstrong SD,Armstrong,"$38,949,102.79","$29,398,365.65","$49,019.17","$33,554.08","$36,158.50",,,,,,,,,,"$4,117,170.99",,"$397,204.06",,,,,,,,,,,,,,,"$3,073,635.58","$356,700.66",,"$137,701.10",,,,,"$888,522.50",,,,,,,"$14,842.95","$46,000.00",,"$9,525.00",,"$193,680.98",,,,,,,,,"$116,208.85","$28,207.83","$52,604.89"
1,128033053,Freeport Area SD,Armstrong,"$18,281,561.82","$14,820,046.93","$82,044.70","$15,129.40","$14,312.76",,,,,,"$18,144.75",,,,"$1,822,188.56",,"$266,208.82",,,,,,,,,,,,,,,"$662,683.15","$168,825.10",,"$53,053.50",,,,,"$237,794.20",,,,,,,"$50,181.06","$23,897.85","$11,577.29",,,,,,,,,"$1,250.00",,,"$15,859.28",,"$18,364.47"
1,128034503,Leechburg Area SD,Armstrong,"$6,898,239.27","$5,314,308.55",,"$5,979.30","$19,890.64",,,,,,"$4,099.47",,,,"$592,881.55",,"$52,470.93",,,,,,,,,,,,,,,"$542,348.65","$101,749.30",,"$18,396.00",,"$99,665.18",,,"$58,860.50",,,,,,,,"$32,213.37",,,,,,,,,,,,,"$3,295.81",,"$52,080.02"
1,127040503,Aliquippa SD,Beaver,"$7,110,257.65","$5,113,515.09",,"$5,634.81","$32,494.94",,"$9,785.05",,,,"$10,647.04",,,,"$716,532.88",,"$70,792.40",,,,"$45,584.66",,,,,,,,,,,"$603,864.38","$16,280.54",,"$36,066.00",,,,,"$197,334.00",,,,,,,"$119,422.74","$3,345.90",,,,,,,,,,,,,"$71,348.62",,"$57,608.60"
1,127040703,Ambridge Area SD,Beaver,"$28,531,675.07","$20,849,658.77",,"$22,690.20","$11,112.73",,"$69,069.12",,"$14,530.41",,"$42,675.22",,,,"$2,975,121.85",,"$309,429.29",,,,"$250,818.46",,,,,,,,,,,"$3,250,868.12","$42,937.40",,"$82,857.10",,,"$19,153.72",,"$381,969.00",,,,,,,"$8,924.87","$15,150.21","$46,825.80",,,,,,,,,,,,"$88,775.88","$10,970.09","$38,136.83"
1,127041203,Beaver Area SD,Beaver,"$21,822,199.01","$17,142,213.94",,"$17,420.42","$21,216.46",,"$37,853.64",,"$37,902.94",,"$36,575.61",,,,"$2,207,227.91",,"$303,495.76",,,,,,,,,,,,,,,"$643,759.78","$85,936.08",,"$70,844.81","$5,382.40",,,,"$227,672.00",,,,,,,"$44,189.56","$60,752.74","$32,693.99","$1,865.00",,"$578,969.10",,,,"$165,612.88","$1,868.77",,,,"$60,207.22","$34,565.32","$3,972.68"
1,127041503,Big Beaver Falls Area SD,Beaver,"$8,711,687.99","$6,069,335.98",,"$7,277.42","$91,945.98",,"$19,196.93",,"$19,196.93",,"$22,800.38",,"$5,279.25",,"$988,155.22",,"$248,152.59",,,,"$74,751.54",,,,,,,,,,,"$670,516.59","$119,196.07",,"$30,470.00",,,,,"$296,817.30",,,,,,,"$20,751.00",,"$1,799.33",,,,,,,,,,,,$79.42,,"$25,966.06"
1,127041603,Blackhawk SD,Beaver,"$20,877,630.63","$16,154,254.55","$89,983.39","$17,162.77","$3,406.41",,"$34,858.67",,"$35,422.40",,"$35,893.19",,,,"$2,397,225.33",,"$312,441.65","$47,118.53",,,,,,,,,,,,,,"$855,384.07","$140,508.94",,"$61,178.37",,,,,"$301,498.00",,,,,,,"$30,334.00","$38,527.53",,,,"$26,339.07",,,"$9,685.90",,,,,,"$209,766.78",,"$76,641.08"
1,127042003,Central Valley SD,Beaver,"$20,558,937.18","$15,691,903.84",,"$16,538.63","$322,278.16",,,,,,"$70,881.16",,,,"$2,467,248.81",,"$480,197.50",,,,"$294,922.01",,,,,,,,,,,"$739,889.69","$63,244.18",,"$62,492.75",,,,,"$261,801.00",,,,,,,"$12,200.00",,,,,"$4,150.00",,,,,,,,,,,"$71,189.45"
1,127042853,Freedom Area SD,Beaver,"$10,079,838.13","$7,677,818.94","$5,325.73","$8,173.07","$2,205.24",,,,,,"$13,705.68",,,,"$1,202,398.91",,"$131,370.36",,,,,,,,,,,,,,,"$548,005.14","$147,598.75",,"$53,837.01",,"$6,414.76",,,"$211,378.44",,,,,,,"$31,703.32","$21,540.48",,,,,,,,,,,,,"$9,906.96",,"$8,455.34"
1,127044103,Hopewell Area SD,Beaver,"$21,217,922.98","$16,207,082.07","$29,645.42","$17,544.33","$22,972.12",,,,,,"$19,655.98",,,,"$2,587,555.95",,"$334,742.90",,,,"$98,729.16",,,,,,,,,,,"$1,123,891.65","$139,538.40",,"$40,773.86",,,,,"$309,402.45",,,,,,,"$65,794.47",,,,,"$140,527.00","$8,565.85",,,,,,,"$4,502.75","$49,697.67",,"$17,300.95"
