Cat,AUN,school_district,county,total_local_rev,real_estate_revenue,Interim Real Estate Taxes 6112,Public Utility Realty Tax 6113,Payment in Lieu State & Local 6114,Payment in Lieu Federal 6115,"Per Capita, Section 679 6120",Current Act 1 Earned Income Tax 6131,Current Act 511 Per Capita Taxes 6141,Current Act 511 Occupation Taxes-Flat Rate 6142,Current Act 511 Local Services Taxes 6143,Current Act 511 Business Privilege Taxes-Flat Rate 6145,Current Act 511 Mechanical Device Taxes-Flat Rate 6146,Current Act 511 Taxes-Other Flat Rate Assessments 6149,Current Act 511 Earned Income Taxes 6151,Current Act 511 Occupation Taxes 6152,Current Act 511 Real Estate Transfer Taxes 6153,Current Act 511 Amusement Taxes 6154,Current Act 511 Business Privilege Taxes 6155,Current Act 511 Mechanical Device Taxes-Percentage 6156,Current Act 511 Mercantile Taxes 6157,Current Act 511 Taxes-Other Proportional Assessments 6159,Earned Income Tax 6161,Liquor Sales Tax 6162,Cigarette Tax 6163,Sales and Use Tax 6164,General Business Taxes 6165,Business Use & Occupancy Tax 6166,Non-Business Income Tax 6167,Real Estate Transfer Tax 6168,Current Mercantile Taxes 6169,Delinquent Taxes 6400,Earnings on Investments 6500,Food Service Revenue 6600,Revenue from District Activities 6700,Revenue from Local Gov't Units 6810,State Revenue from Other Public Schools 6821,State Revenue from Intermediate Sources 6829,Federal Revenue from Other PA Public Schools  6831,Federal IDEA Revenue Received as Pass Through 6832,ARRA - IDEA Revenue received as Pass Through 6833,ARRA - WIA Revenue received as Pass Through 6834,ARRA - Title I Revenue Received as Pass Through 6835,ARRA - Race to the Top Revenue Received as Pass Through 6836,Federal Revenue from Intermediate Sources 6839,Other Revenue from Intermediate Sources 6890,Rentals 6910,Contributions from Private Sources 6920,Regular Day School Tuition 6941,Summer School Tuition 6942,Adult Education Tuition 6943,Receipts from Other LEAs in PA - Education 6944,Receipts from Out-of-State LEAs 6945,Receipts From Member Districts – AVTS / Special Program Jointure Only 6946,Other Tuition from Patrons 6949,Transportation Services Provided Other PA LEAs 6961,All Other Services Provided Other PA LEAs 6962,All Other Services Provided Other Govt's and LEAs Not Specified Elsewhere 6969,Services Provided Other Funds 6970,Revenue from Community Services Activities 6980,Refunds of a Prior Year Expenditure 6991,Energy Efficiency Revenues and Incentives 6992,Other Revenues Not Specified Elsewhere 6999
1,121139004,Weatherly Area SD,Carbon,"$6,624,872.75","$5,454,064.86",,"$6,582.87","$14,377.43",,"$10,692.70",,"$10,692.70",,,,"$5,365.77",,"$470,401.65",,"$58,511.01","$8,740.96",,,,,,,,,,,,,,"$329,063.10","$6,576.18",,"$10,207.00",,,,"$3,570.00","$108,333.93",,,,,,,,"$5,970.00",,,,"$63,109.13",,,,"$49,280.00",,,,,,,"$9,333.46"
1,110141003,Bald Eagle Area SD,Centre,"$15,652,996.22","$9,021,018.96","$19,968.05","$15,835.95","$98,327.37",,"$37,041.50","$2,518,319.44","$37,041.50",,"$25,341.80",,,,"$2,644,287.03",,"$128,210.15",,,,,,,,,,,,,,,"$602,737.37","$55,354.96",,"$50,936.99",,"$1,500.00",,,"$325,858.10",,,,,,,"$5,160.00","$28,465.00",,,,,,,$265.00,,,,,,"$30,327.54",,"$6,999.51"
1,110141103,Bellefonte Area SD,Centre,"$30,848,934.55","$22,564,774.98","$179,533.10","$31,637.51","$150,698.28",,,,,,"$58,915.03",,,,"$5,852,005.34",,"$563,904.82",,,,,,,,,,,,,,,"$628,356.34","$108,858.08",,"$51,036.59",,,,,"$436,034.02",,,,,,,"$22,310.00",,"$14,506.60","$14,250.00",,"$67,981.00",,,"$12,850.00",,,,,,"$38,325.03",,"$52,957.83"
1,110147003,Penns Valley Area SD,Centre,"$16,551,286.51","$12,073,118.76","$1,685.77","$16,505.10","$51,627.63",,,,,,,,,,"$3,203,742.45",,"$176,104.51",,,,,,,,,,,,,,,"$428,782.47","$186,977.27",,"$44,091.99",,,,,"$216,931.40",,,,,,,"$1,765.94",,,,,"$84,432.47",,,,,,,,,"$40,443.76",,"$25,076.99"
1,110148002,State College Area SD,Centre,"$119,639,689.07","$94,347,013.14","$631,352.92","$117,189.54","$620,355.94",,,,,,"$393,702.99",,,,"$17,139,904.78",,"$2,612,934.93",,,,,,,,,,,,,,,"$1,011,409.31","$277,154.26",,"$79,827.88",,,,,"$749,006.32",,,,,,,"$200,026.59","$45,275.11","$31,494.32",,"$1,854.00","$57,335.72",,,"$1,126,166.63",,,,,,"$1,511.98",,"$196,172.71"
1,124150503,Avon Grove SD,Chester,"$54,639,124.54","$50,696,117.70","$294,487.91","$56,263.69",,,,,,,,,,,,,"$840,094.12",,,,,,,,,,,,,,,"$1,225,104.34","$257,246.22",,"$498,677.98",,,,,"$553,338.16",,,,,,,"$77,524.50",,"$16,934.58","$9,400.00",,,,,,,,,,,,,"$113,935.34"
1,124151902,Coatesville Area SD,Chester,"$105,651,299.24","$89,025,803.60","$157,178.06","$108,237.64",,,,,,,"$79,388.21",,,,"$8,312,997.25",,"$1,509,422.96",,,,,,,,,,,,,,,"$3,946,767.34","$183,411.79",,"$73,011.75",,,,,"$1,223,061.80",,,,,,,"$236,268.83","$16,685.27",,,,"$248,983.64",,,,,,,,,"$430,487.57",,"$99,593.53"
1,124152003,Downingtown Area SD,Chester,"$168,102,791.29","$136,816,786.26","$3,448,417.22","$176,714.49",,,,,,,"$232,778.77",,,,"$16,440,767.86",,"$2,937,027.48",,,,,,,,,,,,,,,"$2,964,013.68","$732,213.64",,"$1,707,286.92",,,,"$3,528.00","$1,924,299.88",,,,,,,"$374,630.00",,,"$38,955.72",,,,,,,,,"$115,873.06",,"$83,573.64",,"$105,924.67"
1,124153503,Great Valley SD,Chester,"$79,829,787.44","$71,421,097.68","$2,216,571.77","$77,707.51",,,,,,,,,,,,,"$3,204,549.40",,,,,,,,,,,,,,,"$1,321,434.59","$267,167.70",,"$338,801.80","$4,500.00",,"$5,680.00","$19,005.35","$529,222.03",,,,,,,"$267,938.22",,,"$26,870.00",,,,,,,,,,,"$87,692.23","$3,394.58","$38,154.58"
1,124154003,Kennett Consolidated SD,Chester,"$64,446,850.90","$55,409,612.76","$219,503.00","$66,787.54",,,,,,,,,,,"$4,619,000.32",,"$1,103,477.45",,,,,,,,,,,,,,,"$1,727,732.09","$153,563.55",,"$25,579.26",,,,"$10,626.53","$611,249.09",,,,,,,"$86,835.75","$177,411.93",,"$16,905.00",,,,,"$12,500.00","$119,662.13",,,,,"$35,915.62",,"$50,488.88"
1,124156503,Octorara Area SD,Chester,"$35,718,053.35","$31,198,036.54","$184,139.21","$36,217.04",,,,,,,,,,,"$2,206,082.70",,"$474,306.68",,,,,,,,,,,,,,,"$520,972.51","$146,020.62",,"$29,313.00","$4,500.00",,,,"$366,824.00",,,,,"$49,569.76",,"$146,320.94","$104,689.00",,"$14,600.00",,,,,"$83,200.00",,,,,"$46,513.77",,,"$106,747.58"
1,124156603,Owen J Roberts SD,Chester,"$77,989,676.31","$65,326,176.22","$394,582.88","$79,346.17","$2,550.84",,,,,,,,,,"$6,807,255.79",,"$1,356,354.26",,,,"$226,411.64",,,,,,,,,,,"$1,825,373.03","$236,206.71",,"$85,241.50",,,,"$8,364.88","$854,731.44",,,,,,,"$71,560.00","$118,402.04","$1,376.40","$71,055.00",,,,,"$69,210.00",,,,,"$19,272.25","$24,095.46","$3,934.94","$408,174.86"
1,124156703,Oxford Area SD,Chester,"$37,930,813.42","$32,386,035.19","$225,443.17","$39,704.95",,,,,,,,,,,"$2,634,865.06",,"$434,273.39",,,,,,,,,,,,,,,"$860,954.90","$85,797.61",,"$202,823.73",,,,,"$581,490.61",,,,,,,"$210,030.38","$107,492.58","$4,265.05",,,,,,,,,,,,"$97,691.91",,"$59,944.89"
1,124157203,Phoenixville Area SD,Chester,"$68,948,583.44","$56,039,402.30","$162,531.86","$66,692.24",,,"$62,177.45",,"$62,553.37",,,,,,"$6,470,111.08","$1,317,000.06","$1,095,853.34",,,,,,,,,,,,,,,"$2,164,747.89","$149,161.49",,"$89,216.29",,,,"$49,437.00","$526,735.33",,,,,,,"$150,718.00","$204,584.37",,"$49,386.21",,,,,,,,,,,,"$9,231.06","$279,044.10"
1,124157802,Tredyffrin-Easttown SD,Chester,"$109,515,667.00","$101,737,051.00","$663,071.00","$109,011.00",,,,,,,,,,,,,"$3,458,333.00","$23,974.00",,,,,,,,,,,,,,"$972,332.00","$506,879.00",,"$245,014.00",,,,,"$859,434.00",,,,,,,"$563,879.00","$69,570.00",,,,,,,,,,,,,,,"$307,119.00"
1,124158503,Unionville-Chadds Ford SD,Chester,"$67,291,276.35","$63,257,324.92","$298,288.68","$70,092.93",,,,,,,,,,,,,"$1,147,390.47",,,,,,,,,,,,,,,"$1,181,716.66","$309,203.28",,"$246,619.46",,,,,"$489,036.00",,,,,,,"$60,731.44",$100.00,,"$2,274.00",,"$62,889.31",,,"$27,790.00",,,,,,"$7,783.13","$54,164.98","$75,871.09"
1,124159002,West Chester Area SD,Chester,"$192,287,557.41","$156,989,627.64","$695,464.08","$196,737.57",,,,,,,,,,,"$21,336,520.26",,"$6,115,023.94",,,,,,,,,,,,,,,"$3,479,842.80","$731,944.32",,"$227,192.75",,,,"$5,197.00","$1,328,361.06",,,,,,,"$509,869.25","$17,601.53",,"$47,978.28",,"$118,232.50",,,"$113,795.00",,,,,,"$34,677.10","$276,995.00","$62,497.33"
1,106160303,Allegheny-Clarion Valley SD,Clarion,"$4,329,708.53","$2,758,789.66",,"$4,418.61",$98.40,,"$13,831.30",,"$13,831.30",,,,,,"$500,389.49",,"$52,389.78",,,,,,,,,,,,,,,"$338,904.44","$26,882.37",,"$11,488.80",,"$50,897.04",,,"$142,147.00",,,,,,"$2,400.00",,,,,,"$374,265.06",,,,,"$24,987.46","$8,220.00",,,"$1,471.59","$1,775.12","$2,521.11"
1,106161203,Clarion Area SD,Clarion,"$8,066,991.54","$6,189,001.21",,"$7,770.41","$22,382.70",,"$11,303.70",,"$11,303.70",,"$39,355.18",,,,"$650,244.72","$102,821.32","$86,487.82",,,,,,,,,,,,,,,"$490,178.39","$6,087.43",,"$61,242.59",,,,,"$117,934.00",,,,,,,"$7,255.00","$2,684.94","$22,046.00",,,"$195,267.81",,,,,,,,,,,"$43,624.62"
1,106161703,Clarion-Limestone Area SD,Clarion,"$5,466,897.19","$3,941,937.64",,"$5,294.95","$71,159.85",,"$16,264.85",,"$16,264.85",,"$18,955.11",,,,"$623,356.23",,"$83,536.10",,,,,,,,,,,,,,,"$429,329.39","$13,514.00",,"$35,783.00",,"$37,502.70",,,"$137,348.00",,,,,,,"$3,330.00",,"$3,999.99","$1,130.00",,"$9,550.65",,,$140.00,"$2,975.83",,,,,"$8,266.83",,"$7,257.22"
1,106166503,Keystone  SD,Clarion,"$4,907,516.35","$3,107,436.10",,"$4,812.16","$5,077.57",,"$17,659.25",,"$17,659.25",,,,,,"$634,332.56","$175,759.27","$55,460.10",,,,,,,,,,,,,,,"$493,453.68","$82,819.26",,,,"$66,712.09",,,"$164,929.00",,,,,,,,,,,,"$38,994.66",,,,,,,,,,"$5,766.76","$36,644.64"
1,106167504,North Clarion County SD,Clarion,"$2,976,732.55","$2,031,480.35",,"$2,945.70","$10,210.53",,"$11,058.55",,"$11,058.55",,,,,,"$413,596.95","$65,505.06","$57,552.77",,,,,,,,,,,,,,,"$168,492.34","$10,270.13",,,,,,,"$102,498.00",,,,,,"$75,088.94",$400.00,"$11,120.77","$3,300.00",$50.00,,,,,"$1,000.00",,,,,,,,"$1,103.91"
1,106168003,Redbank Valley SD,Clarion,"$3,625,579.89","$2,053,577.89",,"$3,598.97","$2,492.97",,"$20,225.00",,"$29,040.00","$22,220.00",,,,,"$693,892.74",,"$50,815.04",,,,,,,,,,,,,,,"$179,303.75","$72,882.46",,"$32,391.34",,,,"$95,019.47","$174,745.00",,,,,,,,,,,,,,,,,,,,,,,"$195,375.26"
1,106169003,Union SD,Clarion,"$2,462,860.17","$1,255,338.30",,"$2,437.91","$5,099.89",,"$9,216.35",,"$9,216.35",,"$5,730.18",,,,"$312,360.60","$86,118.71","$35,450.12",,,,,,,,,,,,,,,"$398,145.06","$119,170.06",,"$13,649.00",,"$52,108.22",,,"$88,229.00",,,,,,,"$8,979.20","$3,719.59","$28,555.20",,,,,,,,,,,,"$12,291.56","$3,234.87","$13,810.00"
1,110171003,Clearfield Area SD,Clearfield,"$15,445,320.60","$11,532,011.84",,"$15,747.26","$110,335.07",,,,,,"$48,459.99",,,,"$1,547,483.16",,"$136,994.80",,,,,,,,,,,,,,,"$981,138.99","$30,891.39",,"$58,495.45",,,,,"$475,574.66",,,,,,,"$2,726.45",$26.41,"$4,315.50",,,"$74,002.00",,,,,,,,,"$412,196.40",,"$14,921.23"
1,110171803,Curwensville Area SD,Clearfield,"$4,426,021.96","$3,163,444.78",,"$4,408.96","$10,543.41",,,,,,,,,,"$595,367.52",,"$41,194.16",,,,,,,,,,,,,,,"$269,417.30","$32,092.61",,"$31,262.99",,,,,"$203,525.80",,,,,,,"$3,375.00",,,,,,,,,,,,,,"$70,643.82",,$745.61
1,106172003,Dubois Area SD,Clearfield,"$26,351,118.04","$19,448,954.38",,"$26,248.92","$211,412.54",,"$66,610.60",,"$66,620.40",,"$79,478.29",,,,"$2,981,791.88",,"$306,120.48",,,,,,,,,,,,,,,"$1,244,438.77","$47,166.41",,"$108,476.92",,,,,"$697,468.00",,,,,,,"$185,361.65","$40,475.34","$40,716.81","$9,650.00",,"$755,340.86",,,,,,,,$598.00,,,"$34,187.79"
1,110173003,Glendale SD,Clearfield,"$3,178,745.76","$2,283,330.36",,"$3,369.19","$20,211.90",,"$9,392.00",,"$9,392.00","$5,196.36",,,,,"$416,019.66",,"$31,209.51",,,,,,,,,,,,,,,"$96,698.24","$7,087.23",,"$21,354.00",,,,,"$181,709.98",,,,,,,"$1,509.50","$3,666.95",,,,,,,,,,,,,"$81,188.96",,"$7,409.92"
1,110173504,Harmony Area SD,Clearfield,"$1,280,758.04","$874,300.10",,"$1,320.27","$3,247.68",,"$4,857.20",,"$4,857.20",,"$5,495.65",,,,"$162,908.37",,"$15,416.71",,,,,,,,,,,,,,,"$112,094.82","$4,535.51",,"$3,770.00",,,,,"$75,677.67",,,,,,,"$1,850.00","$10,000.00",,,,,,,,,,,,,$426.86,,
1,110175003,Moshannon Valley SD,Clearfield,"$3,745,254.98","$2,488,798.47",,"$3,548.41","$3,285.24",,"$13,953.60",,"$13,953.60",,,,,,"$530,477.32",,"$43,629.22",,,,,,,,,,,,,,,"$325,249.60","$26,832.44",,"$39,882.00",,,,,"$160,525.74",,,,,,,"$8,300.00","$42,505.00",,,,,,,,,,,,,"$44,314.34",,
1,110177003,Philipsburg-Osceola Area SD,Clearfield,"$11,328,579.32","$8,517,397.74",,"$11,723.90","$69,534.57",,"$22,921.25",,"$22,921.25",,,,,,"$1,156,507.06",,"$99,210.51",,,,,,,,,,,,,,,"$756,899.08","$20,680.33",,"$42,155.30",,,,,"$331,388.00",,,,,"$5,430.00",,"$4,066.60",,,"$5,000.00",,,,,$100.00,,,,,,"$180,169.62",,"$82,474.11"
1,110179003,West Branch Area SD,Clearfield,"$5,279,032.45","$3,558,020.34",,"$5,003.92","$32,494.43",,"$16,044.35",,"$16,044.35","$14,036.73","$7,020.25",,,,"$597,345.16",,"$43,658.96",,,,,,,,,,,,,,,"$455,239.58","$27,066.06",,"$39,352.05",,"$9,772.25","$112,535.17",,"$241,366.63",,,,,,,"$4,305.00","$4,355.98",,"$1,490.00",,,,,,,,,,,"$63,726.24","$6,759.52","$23,395.48"
1,110183602,Keystone Central SD,Clinton,"$31,371,054.54","$20,909,132.36",,"$32,448.20","$464,272.34",,,,,,"$62,885.16",,,,"$6,065,413.81",,"$423,949.25",,,,"$497,166.62",,,,,,,,,,,"$1,517,416.13","$22,019.40",,"$138,844.18",,,,"$11,539.00","$785,283.16",,,,,,,"$1,951.00","$23,888.80",,,"$1,858.41","$73,898.00",,,,,,,,"$26,017.58",,,"$313,071.14"
1,116191004,Benton Area SD,Columbia,"$6,016,191.19","$4,098,329.70","$27,992.10","$5,591.50","$2,077.32",,"$14,215.00",,"$14,215.00",,,,,,"$1,080,627.85",,"$68,212.54",,,,,,,,,,,,,,,"$388,926.23","$12,126.20",,"$26,071.79",,,,"$1,250.00","$157,479.36",,,,,,"$3,500.00",,"$5,726.44","$109,850.16",,,,,,,,,,,,,,
1,116191103,Berwick Area SD,Columbia,"$19,322,897.62","$15,021,848.70","$56,137.44","$20,721.86","$11,408.14",,,,,,"$48,347.68",,,,"$1,690,528.24",,"$197,479.85",,,,,,,,,,,,,,,"$1,228,936.73","$90,109.33",,"$67,158.95",,,,,"$673,248.47",,,,,,,"$75,484.05","$47,245.02","$9,290.48","$4,570.00",,"$21,983.88",,,,,,,,,"$4,806.36",,"$53,592.44"
1,116191203,Bloomsburg Area SD,Columbia,"$14,100,398.46","$9,534,134.27","$15,379.93","$14,363.87","$112,658.02",,"$28,563.90",,"$28,563.90",,"$51,301.48",,,,"$3,064,630.55",,"$220,497.90",,,,,,,,,,,,,,,"$483,615.03","$96,479.77",,"$52,133.97",,,,,"$232,496.38",,,,,,,"$15,377.50","$111,083.62","$7,348.59",,,"$24,879.04",,,,,,,,,$540.63,,"$6,350.11"
1,116191503,Central Columbia SD,Columbia,"$17,574,707.41","$12,132,618.17","$46,238.85","$17,819.77","$1,203.36",,"$40,297.97",,"$43,958.07",,,,,,"$3,796,262.50",,"$202,422.16",,,,,,,,,,,,,,,"$611,012.97","$72,978.81",,"$43,058.00",,,,,"$327,000.19",,,,,,,"$5,970.00",,,,,"$112,798.23",,,,,,,,,,,"$121,068.36"
1,116195004,Millville Area SD,Columbia,"$5,654,855.00","$3,666,025.00","$16,989.00",,"$5,202.00",,,,,,,,,,"$1,320,537.00",,"$66,768.00",,,,,,,,,,,,,,,"$204,678.00","$37,724.00",,"$19,832.00",,"$1,043.00",,,"$170,324.00",,,,,,,$306.00,$924.00,,,,"$132,018.00",,,,,,,,,,,"$12,485.00"
1,116197503,Southern Columbia Area SD,Columbia,"$11,851,588.07","$7,562,197.40","$14,210.07","$11,431.62","$4,261.23",,,,,,,,,,"$3,596,524.71",,"$108,859.12",,,,,,,,,,,,,,,"$151,471.49","$23,405.57",,"$62,443.00",,,,,"$257,059.52",,,,,,,,,"$9,305.12","$8,275.00",,,,,,,,,,$549.00,,,"$41,595.22"
1,105201033,Conneaut SD,Crawford,"$16,295,316.00","$12,205,930.00",,"$16,854.00","$108,930.00",,"$43,069.00",,"$43,069.00",,,,,,"$1,379,712.00",,"$200,841.00",,,,,,,,,,,,,,,"$1,612,804.00","$45,065.00",,"$34,950.00",,,,,"$462,034.00",,,,,,,"$6,878.00","$49,998.00",,$275.00,,"$3,505.00",,,,,,,,,"$52,652.00",$145.00,"$28,605.00"
1,105201352,Crawford Central SD,Crawford,"$26,921,346.77","$20,164,681.10",,"$27,644.43","$39,683.00",,"$64,244.00",,,,,,,,"$2,554,587.92",,"$387,636.78",,,,,,,,,,,,,,,"$1,626,598.36","$86,052.31",,"$125,567.45",,,"$7,000.00",,"$967,814.67",,,,,,"$65,601.66","$117,964.49","$11,839.81",,,,,,,,,,,,,"$595,682.15","$6,542.46","$72,206.18"
1,105204703,Penncrest SD,Crawford,"$17,964,212.05","$11,664,762.59",,"$16,673.55","$17,779.77",,"$69,256.97",,"$69,256.96",,,,,,"$1,963,650.06",,"$167,061.55",,,,,,,,,,,,,,,"$1,136,375.72","$129,468.40",,"$66,072.40",,,,,"$611,864.15",,,,,"$286,227.03",,$300.00,"$2,500.00","$24,162.40",-$320.00,,"$1,637,699.24",,,,,,,,,"$97,989.94",,"$3,431.32"
1,115210503,Big Spring SD,Cumberland,"$29,322,670.41","$21,520,964.85","$26,974.00","$30,188.47","$24,191.73",,"$56,412.10",,"$56,412.10",,"$44,040.98",,,,"$5,286,396.02",,"$253,604.28",,,,,,,,,,,,,,,"$868,804.12","$102,013.50",,"$73,087.00",,,,"$565,494.32","$2,626.00",,,,,,,"$24,394.93",,,,,"$371,085.90",,,,,,,,,,,"$15,980.11"
1,115211003,Camp Hill SD,Cumberland,"$17,615,516.91","$11,836,619.60",,"$16,693.56",,,"$19,072.60",,"$38,145.20",,"$52,074.68",,,,"$4,095,373.18",,"$257,061.99",,,,,,,,,,,,,,,"$324,237.75","$59,770.03",,"$320,366.13",,,,,"$195,771.52",,,,,,,"$55,144.74","$235,524.66","$86,351.10",,,,,,,,,,,,"$17,182.49",$370.30,"$5,757.38"
1,115211103,Carlisle Area SD,Cumberland,"$52,950,510.83","$40,088,510.17","$357,451.03","$52,705.88","$46,713.21",,,,,,,,,,"$8,837,271.62",,"$858,130.28",,,,,,,,,,,,,,,"$979,937.13","$31,173.73",,"$254,655.76",,,,,"$933,788.57",,,,$22.00,,,"$21,618.76","$50,773.40","$13,567.40","$55,702.70",,"$185,790.96",,,"$28,735.00",,,,,,"$37,315.95",,"$116,647.28"
1,115211603,Cumberland Valley SD,Cumberland,"$95,258,463.00","$65,930,524.00",,"$96,999.00",$944.00,,,,,,"$204,466.00",,,,"$22,566,835.00",,"$2,473,806.00",,,,,,,,,,,,,,,"$1,544,963.00","$115,815.00",,"$286,146.00",,"$46,859.00",,"$7,296.00","$1,190,331.00",,,,,,,"$112,053.00","$138,180.00",,"$26,218.00",,"$91,836.00",,,,,,,,"$134,035.00","$24,118.00","$153,768.00","$113,271.00"
1,115212503,East Pennsboro Area SD,Cumberland,"$27,915,269.46","$19,688,724.96",,"$29,124.07",,,,,,,"$67,402.73",,,,"$6,160,925.99",,"$466,761.47",,,,,,,,,,,,,,,"$466,284.64","$61,878.42",,"$79,641.93",,,,"$3,502.00","$461,936.72",,,,,,,"$9,209.00","$56,274.50",,,,"$44,451.91",,,"$99,538.19",,,,,,"$157,570.07",,"$62,042.86"
1,115216503,Mechanicsburg Area SD,Cumberland,"$47,688,552.06","$32,996,642.06",,"$48,171.52",,,,,,,"$62,827.29",,,,"$10,148,743.05",,"$959,079.98",,,,,,,,,,,,,,,"$915,735.18","$178,746.66",,"$117,292.27",,,,,"$577,436.73",,,,,,,"$47,305.00",,"$1,041,948.02","$21,484.50",,,,,,,,,,"$530,027.05",,,"$43,112.75"
1,115218003,Shippensburg Area SD,Cumberland,"$27,820,198.26","$20,425,272.84","$90,139.13","$28,716.66","$18,527.94",,"$51,463.90",,"$51,463.90",,"$103,482.99",,,,"$4,507,188.75",,"$507,654.57",,,,,,,,,,,,,,,"$1,004,650.78","$45,262.92",,"$97,662.25",,,,,"$657,726.39",,,,,,,"$18,106.23",,"$32,896.94","$2,300.00",,,,,,,,,,,,,"$177,682.07"
1,115218303,South Middleton SD,Cumberland,"$23,579,374.05","$17,173,545.07","$85,785.68","$24,044.54","$1,331.01",,,,,,"$46,699.76",,,,"$4,393,386.24",,"$528,818.36",,,,,,,,,,,,,,,"$469,460.52","$39,615.27",,"$61,255.00",,,,"$4,000.00","$401,509.72",,,,"$75,000.00",,,"$7,494.88","$37,000.00","$11,635.00","$8,480.00",,"$189,398.43",,,,,,,,,,,"$20,914.57"
1,115221402,Central Dauphin SD,Dauphin,"$135,064,278.29","$81,717,245.36","$252,626.42","$130,123.44","$467,562.02",,,"$39,813,958.39",,,,,,,,,"$2,245,409.18",,,,,,,,,,,,,,,"$4,072,963.91","$154,263.79",,"$148,139.35","$82,900.00",,,,"$1,961,718.45",,,,,,,"$10,551.00","$33,275.00",,,,"$1,193,920.82",,,,,,,,,"$52,403.56","$12,279.45","$2,714,938.15"
1,115221753,Derry Township SD,Dauphin,"$47,484,961.55","$35,047,006.55","$135,738.83","$49,291.08","$934,734.64",,,,,"$1,790,466.98","$152,745.65",,,,"$4,804,184.08",,"$885,661.84","$1,434,138.58",,,,,,,,,,,,,,"$1,063,766.41","$106,268.16",,"$183,185.55",,,,$646.75,"$414,529.27",,,,,,"$20,000.00","$104,169.60","$17,510.00",,"$26,546.00",,"$132,976.46",,,"$19,385.00",,,,,,"$83,361.88",,"$78,648.24"
1,115222504,Halifax Area SD,Dauphin,"$9,888,205.17","$6,861,946.31","$44,699.21","$9,479.40","$9,626.64",,"$23,532.50",,"$23,048.00","$744,589.10",,,,,"$887,079.13",,"$99,644.78",,,,,,,,,,,,,,,"$687,853.39","$12,953.35",,"$68,189.14",,,,,"$225,735.73",,,,,"$2,685.69","$6,579.52","$1,738.90","$1,372.50",,,,"$101,104.24",,,,,,,,,,,"$76,347.64"
1,115222752,Harrisburg City SD,Dauphin,"$57,090,320.42","$36,812,637.76",,"$47,847.58","$1,934,323.33",,,,,"$592,328.87","$251,046.28",,,,"$3,719,985.82",,"$734,550.60","$344,337.56",,,"$1,812,549.56",,,,,,,,,,,"$5,381,714.00","$191,947.59",,"$45,281.00",,,,,"$1,801,935.34",,,,,,,"$91,477.50","$363,777.25","$33,328.27",,,"$183,208.88",,,,,"$21,531.10",,,,"$2,283,904.80",,"$442,607.33"
1,115224003,Lower Dauphin SD,Dauphin,"$38,605,520.90","$28,583,327.95","$165,524.99","$40,776.19","$5,925.84",,"$74,473.70",,"$74,473.70",,"$44,630.65",,,,"$4,125,137.96","$2,352,025.00","$463,658.95",,,,,,,,,,,,,,,"$1,330,877.62","$159,823.15",,"$97,488.90",,,"$72,642.90",,"$692,925.45",,,,,,,"$70,252.99","$60,475.06",,,,"$183,648.17",,,,,,,,,,,"$7,431.73"
1,115226003,Middletown Area SD,Dauphin,"$29,601,319.17","$20,116,058.97","$159,601.70","$29,747.64","$3,737.28",,,,,,"$79,547.81",,,,"$4,984,534.13",,"$895,965.96",,,,,"$585,754.61",,,,,,,,,,"$1,121,947.34","$131,978.30",,"$78,550.70",,,"$2,000.00","$7,031.27","$446,810.32",,,,,"$53,898.58",,"$12,348.21","$53,561.69",$130.00,"$4,340.00",,"$555,548.19",,,,,,,,,"$180,126.64","$31,627.75","$66,472.08"
1,115226103,Millersburg Area SD,Dauphin,"$7,684,330.96","$4,727,527.66","$9,665.01","$7,091.21","$20,312.21",,"$17,329.00",,"$17,329.00",,,,,,"$778,202.66","$527,675.00","$66,302.03",,,,,,,,,,,,,,,"$637,786.46","$24,599.88",,"$69,689.58",,,,,"$141,955.36",,,,,,,"$1,555.53",,,,,"$107,829.56",,,,,,,,,"$529,480.81",,
1,115228003,Steelton-Highspire SD,Dauphin,"$7,579,946.00","$4,487,995.00","$1,331.00",,,,,,"$13,763.00","$172,806.00",,,,,"$789,935.00",,"$118,205.00",,,,,$134.00,,,,,,,,,,"$793,359.00","$111,283.00",,"$18,334.00",,,,,"$964,604.00",,,,,,,"$35,345.00","$35,938.00",,,,"$8,800.00",,,,,,,,,"$27,194.00",,$920.00
1,115228303,Susquehanna Township SD,Dauphin,"$37,389,362.23","$27,652,011.62",,"$38,998.00",,,"$57,221.05",,"$57,221.05",,"$100,025.03",,,,"$3,796,117.74","$1,960,212.00","$776,466.72",,,,,,,,,,,,,,,"$2,183,730.69","$76,880.24",,"$41,972.95",,,,"$10,052.08","$511,981.46",,,,,,,"$64,985.00","$2,232.25","$25,271.59",,,"$4,000.00",,,,,,"$12,500.00",,,,,"$17,482.76"
1,115229003,Upper Dauphin Area SD,Dauphin,"$9,256,015.58","$6,044,156.30","$26,296.19","$7,961.73","$16,462.85",,"$25,755.10",,"$25,755.10",,,,,,"$1,037,659.57","$778,660.56","$125,147.10",,,,,,,,,,,,,,,"$789,875.52","$78,122.32",,"$55,768.42",,,,,"$189,957.11",,,,,,,,,,,,"$40,840.35",,,,,,,,,,,"$13,597.36"
