Cat,AUN,school_district,county,total_local_rev,real_estate_revenue,Interim Real Estate Taxes 6112,Public Utility Realty Tax 6113,Payment in Lieu State & Local 6114,Payment in Lieu Federal 6115,"Per Capita, Section 679 6120",Current Act 1 Earned Income Tax 6131,Current Act 511 Per Capita Taxes 6141,Current Act 511 Occupation Taxes-Flat Rate 6142,Current Act 511 Local Services Taxes 6143,Current Act 511 Business Privilege Taxes-Flat Rate 6145,Current Act 511 Mechanical Device Taxes-Flat Rate 6146,Current Act 511 Taxes-Other Flat Rate Assessments 6149,Current Act 511 Earned Income Taxes 6151,Current Act 511 Occupation Taxes 6152,Current Act 511 Real Estate Transfer Taxes 6153,Current Act 511 Amusement Taxes 6154,Current Act 511 Business Privilege Taxes 6155,Current Act 511 Mechanical Device Taxes-Percentage 6156,Current Act 511 Mercantile Taxes 6157,Current Act 511 Taxes-Other Proportional Assessments 6159,Earned Income Tax 6161,Liquor Sales Tax 6162,Cigarette Tax 6163,Sales and Use Tax 6164,General Business Taxes 6165,Business Use & Occupancy Tax 6166,Non-Business Income Tax 6167,Real Estate Transfer Tax 6168,Current Mercantile Taxes 6169,Delinquent Taxes 6400,Earnings on Investments 6500,Food Service Revenue 6600,Revenue from District Activities 6700,Revenue from Local Gov't Units 6810,State Revenue from Other Public Schools 6821,State Revenue from Intermediate Sources 6829,Federal Revenue from Other PA Public Schools  6831,Federal IDEA Revenue Received as Pass Through 6832,ARRA - Race to the Top received as Pass Through 6836,Federal Cares Act Revenue Received as Pass Through 6837,Federal Revenue from Intermediate Sources 6839,Other Revenue from Intermediate Sources 6890,Rentals 6910,Contributions from Private Sources 6920,Regular Day School Tuition 6941,Summer School Tuition 6942,Adult Education Tuition 6943,Receipts from Other LEAs in PA - Education 6944,Receipts from Out-of-State LEAs 6945,Receipts From Member Districts – AVTS / Special Program Jointure Only 6946,Other Tuition from Patrons 6949,Transportation Services Provided Other PA LEAs 6961,All Other Services Provided Other PA LEAs 6962,All Other Services Provided Other Govt's and LEAs Not Specified Elsewhere 6969,Services Provided Other Funds 6970,Revenue from Community Services Activities 6980,Refunds of a Prior Year Expenditure 6991,Energy Efficiency Revenues and Incentives 6992,Other Revenues Not Specified Elsewhere 6999
1,112011103,Bermudian Springs SD,Adams,"$18,200,366.54","$12,611,083.24","$74,295.07","$16,066.45","$1,386.41",,"$41,535.90",,"$41,535.90",,,,,,"$4,274,313.05",,"$341,211.87",$42.00,,,,,,,,,,,,,,"$427,861.95","$6,924.80",,"$6,288.00",,,,,"$264,133.28",,,,,,,,,$14.00,"$85,264.54",,,,,,,,,,,"$8,410.08"
1,112011603,Conewago Valley SD,Adams,"$41,289,787.91","$30,992,387.77",,"$35,989.81",,,"$91,210.60",,"$91,210.60",,"$59,670.37",,,,"$7,265,072.08",,"$889,998.69","$32,039.88",,,,,,,,,,,,,,"$770,425.60","$6,426.89",,,,,,"$625,458.00","$9,900.00",,,,,"$18,000.00",,"$10,998.00",,,"$2,237.06",,,"$378,762.56",,,,,,,,"$10,000.00"
1,112013054,Fairfield Area SD,Adams,"$12,348,110.43","$8,957,023.24","$53,458.00","$11,245.95","$15,519.78",,,,,,,,,,"$2,361,321.22",,"$310,760.00","$15,470.15",,,,,,,,,,,,,,"$283,489.00","$41,224.00",,"$26,898.38",,,,"$14,449.14","$176,062.00",,,,,"$8,235.00","$6,768.00",,,,"$54,949.00",,,,,,,,,,,"$11,237.57"
1,112013753,Gettysburg Area SD,Adams,"$43,914,928.46","$30,570,065.86","$177,263.76","$39,962.59","$60,372.05","$6,637.71",,,,,"$84,660.22",,,,"$7,242,052.41",,"$1,072,086.04","$263,418.17",,,,,,,,,,,,,,"$1,381,413.61","$212,831.55",,"$95,020.17",,,,"$141,229.29","$393,042.00",,,,,"$506,793.53","$49,731.08",,,,"$384,504.30",,,$788.48,,,,,,"$109,045.72",$10.00,"$1,123,999.92"
1,112015203,Littlestown Area SD,Adams,"$21,107,331.00","$15,309,077.06","$61,057.60","$19,028.57",,,"$49,019.20",,"$49,019.20",,"$19,689.75",,,,"$4,420,315.89",,"$426,127.55",,,,,,,,,,,,,,,"$443,912.38","$9,362.43",,"$4,941.09",,,,,"$235,193.00",,,,,"$6,122.43",,"$2,195.00",,,"$49,446.76",,,,,,,,,,$750.31,"$2,072.78"
1,112018523,Upper Adams SD,Adams,"$16,868,486.97","$12,239,245.81","$26,164.57","$15,077.92","$12,886.16",,"$34,694.40",,"$35,091.60",,"$40,226.90",,,,"$2,934,720.03",,"$313,528.53",,,,,,,,,,,,,,,"$395,273.39","$5,886.37",,"$13,396.70","$47,956.71",,,,"$293,635.40",,,,"$3,408.69","$2,000.00","$105,639.66",,,,"$291,785.68",,,,,,,,,"$19,261.87",,"$38,606.58"
1,103020603,Allegheny Valley SD,Allegheny,"$17,131,092.00","$14,902,578.63",,"$16,365.27","$12,971.57",,,,,,"$34,374.02",,,,"$1,131,902.09",,"$209,483.05",,,,,,,,,,,,,,,"$465,188.96","$5,208.54",,,,,,"$60,919.39","$177,766.58",,,,,"$6,206.20",,,,,,,,,,,,,,"$2,631.90",,"$105,495.80"
1,103020753,Avonworth SD,Allegheny,"$26,625,131.65","$22,169,109.90",,"$24,276.22",,,,,,,"$12,008.57",,,,"$2,914,366.01",,"$620,666.28",,,,,,,,,,,,,,,"$549,878.01","$1,801.93",,,,,,,"$271,828.56",,,,,"$2,728.00",,,,,,,,,,,,,,"$18,708.70",,"$39,759.47"
1,103021102,Baldwin-Whitehall SD,Allegheny,"$47,175,658.78","$38,575,056.42",,"$57,253.41",,,,,,,"$34,593.24",,,,"$5,247,268.99",,"$834,347.86",,,,,,,,,,,,,,,"$1,169,282.96","$22,841.49",,"$36,671.00",,,$500.00,"$2,856.00","$503,688.14",,,,,"$118,074.71","$291,612.00",,"$2,185.00",,,,,,,,,,,"$25,354.22",,"$254,073.34"
1,103021252,Bethel Park SD,Allegheny,"$63,994,717.32","$53,673,466.14",,"$58,305.02","$15,687.69",,,,,,,,"$3,000.00",,"$5,559,600.66",,"$1,164,715.08",,,,,,,,,,,,,,,"$1,934,860.96","$20,469.58",,"$82,195.74",,,,"$180,232.52","$814,366.70",,,,,"$117,669.04","$2,500.00","$120,825.59",,,,,,,,,,,,"$156,404.74","$24,868.60","$65,549.26"
1,103021453,Brentwood Borough SD,Allegheny,"$14,515,037.36","$11,599,870.87",,"$12,318.18",,,,,,,"$11,520.06",,,,"$1,194,192.74",,"$196,281.72",,,,,,,,,,,,,,,"$1,142,671.70","$12,687.30",,"$8,630.00",,,,"$80,716.44","$221,417.63",,,"$3,143.92",$500.00,,"$15,908.77",,,,,,,,,,,,,"$11,636.46",,"$3,541.57"
1,103021603,Carlynton SD,Allegheny,"$20,531,893.00","$16,843,294.01",,"$30,357.97","$2,197.93",,,,,,,,,,"$2,115,599.22",,"$331,236.26",,,,,,,,,,,,,,,"$766,808.93","$10,314.40",,,,,,,"$277,035.35",,,,,"$15,124.07","$18,803.67",,"$1,107.00",,,,,,,"$6,309.00","$2,515.39",,,"$51,667.55",,"$59,522.25"
1,103021752,Chartiers Valley SD,Allegheny,"$50,334,406.79","$40,580,414.99","$74,288.46","$45,033.23","$90,100.00",,,,,,"$73,458.89",,,,"$5,365,952.22",,"$888,935.72",,,,"$525,350.41",,,,,,,,,,,"$1,146,286.85",,,"$29,183.58",,,,,"$431,344.58",,,,"$16,734.00","$24,082.18","$16,045.21",,"$13,700.00",,"$818,874.06",,,,,,,,,"$24,821.60","$7,497.86","$162,302.95"
1,103021903,Clairton City SD,Allegheny,"$4,001,813.01","$2,608,991.50",,,"$9,513.74",,,,,,"$9,531.98",,,,"$377,967.97",,"$50,771.62",,"$151,426.96",,"$12,340.66",,,,,,,,,,,"$429,943.75",$394.20,,"$6,136.00",,,,,"$223,591.74",,,,,"$11,900.00","$54,974.27",,$150.00,,,,,,,,,,,"$22,253.78",,"$31,924.84"
1,103022103,Cornell SD,Allegheny,"$9,834,920.00","$7,848,170.00",,"$8,934.00",,,,,,,"$18,735.00",,,,"$779,064.00",,"$136,294.00",,,,,,,,,,,,,,,"$699,441.00","$11,726.00",,,,,,,"$166,771.00",,,,,"$137,312.00","$8,850.00",,,,,,,,,,,,,"$1,944.00",,"$17,679.00"
1,103022253,Deer Lakes SD,Allegheny,"$22,489,413.76","$18,338,861.06",,"$21,854.13","$114,722.27",,"$31,653.77",,"$40,571.15",,"$19,458.80",,,,"$1,942,964.39",,"$305,669.73",,,,,,,,,,,,,,,"$914,211.41","$20,723.36",,"$9,638.70",,,,,"$425,429.19",,,$281.59,"$4,570.00","$14,212.60","$20,272.83",,,,"$231,010.55",,,,,,,,,"$24,880.58",,"$8,427.65"
1,103022503,Duquesne City SD,Allegheny,"$2,293,339.61","$1,219,414.95",,"$3,464.61","$3,004.78",,,,,,"$6,581.11",,,,"$276,023.20",,"$34,071.78",,,,,,,,,,,,,,,"$267,620.77","$9,514.70",,,,,,"$173,313.59","$103,158.22",,,,,"$45,094.48","$139,139.59",,,,,,,,,,,,,$8.88,,"$12,928.95"
1,103022803,East Allegheny SD,Allegheny,"$16,274,358.00","$12,153,726.00",,"$16,270.00","$126,700.00",,,,,,"$19,994.00",,,,"$1,317,480.00",,"$183,799.00",,"$134,965.00",$692.00,"$238,157.00",,,,,,,,,,,"$1,099,140.00",$338.00,,"$329,933.00",,,,,"$423,559.00",,,,,"$92,277.00","$11,032.00",,,,,,,,,,,,,"$17,792.00",,"$108,504.00"
1,103023153,Elizabeth Forward SD,Allegheny,"$24,218,527.43","$19,376,484.51",,"$21,170.86",,,,,,,"$19,292.71",,,,"$2,215,268.44",,"$240,433.98",,,,,,,,,,,,,,,"$1,384,623.87","$2,740.97",,"$6,707.79",,,,,"$509,093.78",,,,,"$81,972.55","$7,586.00",,,,"$83,257.00",,,,,,,,,"$112,341.82","$5,637.66","$151,915.49"
1,103023912,Fox Chapel Area SD,Allegheny,"$79,627,470.62","$66,628,784.86",,"$73,995.76","$17,327.50",,,,,,"$93,097.26",,,,"$8,043,447.78",,"$1,495,918.67",,,,,,,,,,,,,,,"$2,490,043.96","$56,729.25",,"$37,546.52",,,,,"$542,373.31",,,,,"$14,966.67","$40,530.56",,"$4,125.00",,,,,,,"$13,025.74",,,,"$16,399.28",,"$59,158.50"
1,103024102,Gateway SD,Allegheny,"$54,045,503.55","$44,894,371.64",,"$50,006.19",,,,,,,"$112,858.07",,,,"$3,959,312.36",,"$799,470.84",,,,"$1,957,147.35",,,,,,,,,,,"$1,299,330.54","$17,350.08",,"$1,407.62",,,,,"$649,332.06",,,,,"$66,924.54","$3,250.00",,,,"$69,254.13",,,,,,,,,"$55,925.21","$9,926.14","$99,636.78"
1,103024603,Hampton Township SD,Allegheny,"$38,879,959.50","$32,882,691.02","$37,271.52","$35,759.57",,,,,,,,,,,"$4,147,128.33",,"$652,784.76",,,,,,,,,,,,,,,"$703,709.23","$5,388.72",,"$33,708.74",,,,"$37,976.50","$309,958.50",,,,,"$12,750.00",,,,,,,,,,,,,,"$20,832.61",,
1,103024753,Highlands SD,Allegheny,"$20,933,606.00","$16,361,078.00",,"$20,264.00","$125,900.00",,"$44,900.00",,"$44,901.00",,"$31,812.00",,,,"$2,132,820.00",,"$234,503.00",,,,,,,,,,,,,,,"$1,180,655.00","$8,979.00",,"$7,432.00",,"$18,793.00",,,"$576,868.00",,,,,$876.00,"$20,977.00",,"$5,920.00",,,,,,,,,,,,,"$116,928.00"
1,103025002,Keystone Oaks SD,Allegheny,"$30,758,349.19","$24,949,336.75",,"$28,735.35",,,,,,,"$59,526.95",,,,"$3,290,503.85",,"$506,630.49",,,,,,,,,,,,,,,"$1,149,641.89","$38,956.61",,"$67,796.56",,,,,"$361,516.06",,,,,"$30,601.23","$16,511.16","$134,000.00",,,,,,"$53,049.05",,,,,,"$62,088.52",,"$9,454.72"
1,103026002,McKeesport Area SD,Allegheny,"$19,586,340.00","$13,548,349.00",,"$17,020.00",,,,,,,"$55,881.00",,,,"$2,149,185.00",,"$225,900.00",,"$273,045.00","$267,187.00",,,,,,,,,,,,"$1,816,211.00","$2,284.00",,"$14,563.00",,,,,"$964,207.00",,,,,"$1,555.00","$212,383.00",,,,"$5,569.00",,,,,,,,,"$20,330.00",,"$12,671.00"
1,103026303,Montour SD,Allegheny,"$58,296,375.50","$49,079,705.84","$139,956.69","$54,745.16",,"$6,240.02",,,,,,,,,"$5,321,833.47",,"$1,091,195.90",,,,,,,,,,,,,,,"$1,213,262.90","$219,334.64",,$355.00,,,,"$49,605.08","$493,625.47",,,,,"$501,200.04","$26,360.00",,,,,,,,,"$3,130.42",,,,"$29,430.95",,"$66,393.92"
1,103026343,Moon Area SD,Allegheny,"$63,053,764.00","$54,547,491.41","$354,369.08","$56,353.14","$50,000.00",,,,,,"$97,802.93",,,,"$5,331,603.87",,"$851,839.45","$2,541.98",,,,,,,,,,,,,,"$697,952.77","$27,071.85",,$12.00,,,,"$10,189.00","$707,870.18",,,"$69,186.23",,"$26,678.87","$25,558.00",,,,,,,,,,,,,"$107,859.04",,"$89,384.20"
1,103026402,Mt Lebanon SD,Allegheny,"$77,687,039.44","$65,513,245.10",,"$72,575.91",,,,,,,"$41,336.11",,,,"$8,288,761.21",,"$1,380,554.67",,,,,,,,,,,,,,,"$929,208.31","$18,524.60",,"$170,797.92",,,,,"$940,847.13",,,,,"$31,799.58",$175.00,,"$53,906.08","$153,659.00","$36,713.01",,,,,,,,,,,"$54,935.81"
1,103026852,North Allegheny SD,Allegheny,"$138,047,116.86","$114,375,421.51","$1,212,876.78","$121,780.63","$1,494.96",,"$182,842.65",,"$182,842.59",,,,,,"$14,654,935.64",,"$2,380,610.97",,,,,,,,,,,,,,,"$1,858,853.93","$1,191,037.25",,"$267,150.23",,$967.76,,"$26,771.75","$1,142,069.93",,,,"$3,200.00","$4,878.00","$162,211.03","$13,737.00",,,"$64,279.25",,,,,,,,,"$2,150.00",,"$197,005.00"
1,103026902,North Hills SD,Allegheny,"$62,616,666.50","$50,587,474.19","$32,467.97","$57,649.02","$46,583.54",,,,,,"$69,185.55",,,,"$6,461,165.09",,"$1,064,759.60",,"$379,881.15",,"$749,184.41",,,,,,,,,,,"$2,267,145.60","$61,333.54",,$47.52,,"$1,000.00","$20,793.59","$8,960.00","$718,272.97",,,,,"$2,217.59","$1,100.00",,,,,,,,,"$42,177.26",,,,"$18,757.83",,"$26,510.08"
1,103026873,Northgate SD,Allegheny,"$15,108,464.00","$11,100,796.00",,,,,"$20,845.00",,"$20,846.00",,"$11,003.00",,,,"$1,675,925.00",,"$256,156.00",,,,,,,,,,,,,,,"$1,554,386.00","$7,084.00",,"$1,448.00","$3,887.00",,,"$14,330.00","$278,161.00",,,"$2,138.00",,"$31,309.00","$67,249.00",,,,,,,,,,,,,"$58,844.00",,"$4,057.00"
1,103027352,Penn Hills SD,Allegheny,"$51,347,554.34","$41,068,194.83",,"$47,056.80","$15,329.45",,,,,,"$36,227.03",,,,"$4,289,173.70",,"$665,511.08",,"$312,566.50",,"$395,304.31",,,,,,,,,,,"$3,443,261.72","$3,781.65",,,,,"$71,732.00","$6,514.40","$898,588.34",,,,,"$20,201.87",,,,,,,,,,,,,,"$8,215.65",,"$65,895.01"
1,103021003,Pine-Richland SD,Allegheny,"$73,665,809.00","$59,203,151.00","$940,555.00","$64,864.00",,,"$79,446.00",,"$79,446.00",,,,,,"$8,275,432.00",,"$1,846,776.00",,,,,,,,,,,,,,,"$1,350,496.00","$168,911.00",,"$109,341.00","$381,731.00",,,,"$741,475.00",,,,,"$68,972.00","$17,572.00",,,,,,,,,,,,,"$158,048.00","$19,765.00","$159,828.00"
1,102027451,Pittsburgh SD,Allegheny,"$342,913,181.28","$162,419,605.70",,"$330,412.67","$152,033.05",,,,,,,,,,,,,,,,,,"$132,076,279.76",,,,,,,"$18,327,076.21",,"$20,838,202.30","$693,046.94",,"$986,229.45",,"$1,269,072.65",$750.00,,"$1,487.68",,,"$1,231,545.75",,"$107,350.13","$762,740.66","$25,986.07",,,"$1,680,483.48",,,"$253,946.74",,,"$431,206.82","$420,172.69",,"$10,491.84",,"$895,060.69"
1,103027503,Plum Borough SD,Allegheny,"$36,914,371.09","$30,581,885.95",,"$34,495.05",,,"$85,457.95",,"$85,457.96",,"$29,376.83",,,,"$4,056,090.27",,"$526,300.38",,,,,,,,,,,,,,,"$694,386.21","$29,196.40",,"$10,925.00",,,,,"$658,192.75",,,,,"$25,770.85","$8,072.55",,,,"$11,330.71",,,,,,,,,,,"$77,432.23"
1,103027753,Quaker Valley SD,Allegheny,"$43,904,594.00","$35,420,902.00","$66,299.00","$39,513.00","$458,471.00",,"$36,813.00",,"$36,813.00",,,,,,"$4,577,194.00",,"$1,087,472.00",,,,,,,,,,,,,,,"$1,685,103.00","$32,237.00",,,,,,,"$299,983.00",,,,,"$11,990.00","$10,880.00","$131,296.00","$7,280.00",,,,,,,,,,,$7.00,,"$2,341.00"
1,103028203,Riverview SD,Allegheny,"$17,739,730.85","$14,528,062.39",,"$15,862.77",,,,,,,"$21,949.43",,,,"$1,168,165.19",,"$355,702.29",,,,,,,,,,,,,,,"$1,394,149.73","$8,405.43",,"-$2,492.66",,,,,"$201,733.68",,,,,"$8,580.00",$13.15,,,,,,,,,,,,,"$30,939.42",,"$8,660.03"
1,103028302,Shaler Area SD,Allegheny,"$57,040,173.33","$46,482,723.59",,"$51,899.27",,,,,,,"$27,807.04",,,,"$5,655,392.78",,"$699,156.34",,,,,,,,,,,,,,,"$2,379,172.21","$649,320.85",,"$1,730.00",,,,"$4,760.00","$826,788.31",,,,"-$94,793.96","$34,958.00","$95,930.95",,,,,,,,,,,,,"$180,988.36",,"$44,339.59"
1,103028653,South Allegheny SD,Allegheny,"$8,462,679.32","$5,678,915.37",,"$6,812.37",,,,,,,,,,,"$1,109,570.27",,"$102,059.62",,,,,,,,,,,,,,,"$861,400.71","$10,972.07",,"$9,727.00",,,,,"$416,012.15",,,,,"$35,465.01","$39,887.47",,,,,,,,,,,,,"$44,085.89",,"$147,771.39"
1,103028703,South Fayette Township SD,Allegheny,"$46,165,103.43","$37,969,667.28","$979,845.21","$40,432.96",,,"$45,554.30",,"$45,554.30",,"$29,244.80",,,,"$3,948,212.56",,"$885,644.97",,,,,,,,,,,,,,,"$1,470,213.37","$239,403.05",,"$42,293.00",,,,,"$358,966.43",,,,,"$2,190.00",,"$8,165.08",,,,,,,,,,,,$5.19,"$25,789.21","$73,921.72"
1,103028753,South Park SD,Allegheny,"$22,762,959.38","$18,632,343.17","$189,208.68","$20,424.87",,,"$37,151.08",,"$37,151.05",,"$13,024.44",,,,"$2,153,990.66",,"$466,054.58","$39,258.60",,,,,,,,,,,,,,"$717,136.36","$7,161.55",,"$18,133.06",,,,"$282,916.99","$3,308.40",,,,,"$3,883.86","$8,942.47",,,,,,,,,,,,,"$115,795.23","$5,365.33","$11,709.00"
1,103028833,Steel Valley SD,Allegheny,"$19,873,507.11","$15,573,824.07",,,"$14,190.62",$713.83,,,,,"$29,735.81",,,,"$1,655,391.54",,"$447,638.75","$36,308.07",,,,,,,,,,,,,,"$1,523,783.35","$28,599.79",,,,,,,"$426,697.24",,,,,"$2,365.00",,,,,,,,,,,,,,"$1,931.20",,"$132,327.84"
1,103028853,Sto-Rox SD,Allegheny,"$8,759,082.99","$6,159,300.96",,"$7,930.07","$5,004.87",,,,,,"$9,955.86",,,,"$842,846.10",,"$120,437.14",,,,"$61,921.27",,,,,,,,,,,"$724,548.61",$382.71,,"$23,586.57",,,,,"$324,879.34",,,,,"$48,652.21","$40,244.00",,,,,,,,,,,,,"$344,022.76",,"$45,370.52"
1,103029203,Upper Saint Clair SD,Allegheny,"$68,978,947.37","$59,079,195.66","$771,380.57","$64,122.70",,,,,,,,,,,"$5,648,532.60",,"$1,034,101.91",,,,"$362,267.23",,,,,,,,,,,"$715,595.31","$11,632.47",,"$80,926.53",,,,,"$593,294.03",,,,,"$119,267.90","$52,741.72",,"$41,281.67",,"$312,793.52",,,,,,,,,,,"$91,813.55"
1,103029403,West Allegheny SD,Allegheny,"$48,847,286.96","$39,910,107.77","$227,723.52","$44,451.34","$720,355.82",,,,,,"$100,078.28",,,"$507,040.65","$4,283,967.71",,"$1,222,222.83",,,,,,,,,,,,,,,"$931,336.95","$30,822.60",,"$113,730.77",,"$30,000.00",,,"$521,060.45",,,,,,"$5,250.00",,,,"$69,654.14",,,,,,,,,"$66,525.82",,"$62,958.31"
1,103029553,West Jefferson Hills SD,Allegheny,"$38,722,981.55","$30,886,002.42","$105,884.12","$35,325.26",,,,,,,"$43,075.37",,,,"$3,548,902.35",,"$656,268.29",,"$1,452,833.19",,"$315,555.22",,,,,,,,,,,"$1,027,738.70","$46,065.17",,"$19,199.41",,,,"$287,961.01","$1,143.14",,,,,"$99,390.93","$37,462.88",,,,,,,"$21,350.00",,,,,,"$67,863.03",,"$70,961.06"
1,103029603,West Mifflin Area SD,Allegheny,"$35,445,837.10","$22,779,629.42",,"$28,007.12","$414,580.69",,,,,,"$59,087.17",,,,"$2,263,137.36",,"$391,444.04","$108,919.23","$421,316.27",,"$579,115.86",,,,,,,,,,,"$3,178,990.36","$16,303.58",,"$37,945.45",,,,,"$751,419.11",,,,,,"$10,100.00","$4,232,314.89",,,,,,,,,,,,"$73,841.68",,"$99,684.87"
1,103029803,Wilkinsburg Borough SD,Allegheny,"$14,847,100.31","$9,930,906.90",,,"$12,101.85",,,,,,"$16,694.81",,,,"$1,473,172.64",,"$184,025.55",,,,,,,,,,,,,,,"$2,371,461.11","$2,042.88",,,$900.00,,,"-$6,519.14","$190,854.89",,,,,"$33,567.00",,,,,"$61,637.07",,,,,,,,,"$574,688.35",,"$1,566.40"
1,103029902,Woodland Hills SD,Allegheny,"$59,358,502.33","$47,710,429.46",,"$54,732.39","$27,378.94",,,,,,,,,,"$5,577,921.77",,"$797,427.55",,,,,,,,,,,,,,,"$3,824,267.93","$11,885.21",,,,"$47,129.00","$8,999.00","$14,596.20","$962,998.75",,,"$88,831.29",,"$34,902.40","$180,088.15",,,,,,,,,,,,,"$2,176.46",,"$14,737.83"
1,128030603,Apollo-Ridge SD,Armstrong,"$8,415,839.84","$6,216,225.92",,"$7,792.22","$10,621.38",,"$19,264.86",,"$17,130.61",,"$6,517.43",,,,"$886,851.54",,"$97,774.21",,,,,,,,,,,,,,,"$759,742.94","$4,518.09",,,,,,,"$225,897.67",,,,,,"$7,500.00","$13,085.50",,,,,,,,,,,,$434.97,,"$142,482.50"
1,128030852,Armstrong SD,Armstrong,"$39,245,750.00","$29,797,749.00","$39,213.00",,"$39,701.00",,,,,,,,,,"$4,097,676.00",,"$454,973.00",,,,,,,,,,,,,,,"$3,214,805.00","$114,933.00",,"$66,039.00",,,,,"$1,025,124.00",,,,,"$13,933.00","$30,000.00","$31,461.00","$3,975.00",,"$173,744.00",,,,,,,,,"$61,917.00","$8,791.00","$71,716.00"
1,128033053,Freeport Area SD,Armstrong,"$18,679,660.20","$15,198,142.25","$56,148.96","$16,699.72","$15,294.93",,,,,,"$16,996.69",,,,"$1,869,752.52",,"$342,124.83",,,,,,,,,,,,,,,"$747,461.18","$21,530.79",,"$6,936.13",,,,,"$257,744.67",,,,,"$30,077.55","$78,585.36","$12,119.18",,,,,,,,,,,,$271.24,,"$9,774.20"
1,128034503,Leechburg Area SD,Armstrong,"$6,613,726.49","$5,217,545.42",,"$6,434.49","$20,586.48",,,,,,"$2,362.30",,,,"$571,040.15",,"$91,562.43",,,,,,,,,,,,,,,"$501,549.40","$17,158.06",,"$2,203.95",,,,"$5,720.00","$132,493.35",,,,,,"$30,593.21",,,,"$8,049.03",,,,,,,,,$205.24,,"$6,222.98"
1,127040503,Aliquippa SD,Beaver,"$7,015,994.81","$4,929,541.16",,,"$36,045.22",,"$13,550.73",,,,"$10,925.15",,,,"$675,405.31",,"$117,982.27",,,,"$44,406.73",,,,,,,,,,,"$716,244.14","$5,255.42",,"$10,420.00",,,,,"$198,000.00",,,,,"$119,819.53","$49,112.57",,,,$146.51,,,,,,,,,"$9,974.79",,"$79,165.28"
1,127040703,Ambridge Area SD,Beaver,"$26,451,988.00","$21,116,038.00",,"$24,808.00","$15,242.00",,"$71,704.00",,"$15,169.00",,"$23,380.00",,,,"$2,837,744.00",,"$441,537.00",,,,"$244,286.00",,,,,,,,,,,"$934,199.00","$82,311.00",,"$27,780.00",,,"$1,132.00",,"$397,769.00",,,,,,"$62,973.00","$13,580.00",,,"$2,097.00",,,,,,,,,"$132,266.00",,"$7,973.00"
1,127041203,Beaver Area SD,Beaver,"$22,519,578.83","$17,903,902.34",,"$19,421.39","$97,513.02",,"$38,576.98",,"$38,555.28",,"$34,799.97",,,,"$2,183,324.82",,"$494,452.91",,,,,,,,,,,,,,,"$635,305.56","$7,771.61",,"$48,476.60","$4,553.21",,,,"$244,241.00",,,,,"$13,280.00","$41,972.22","$23,521.74",$85.00,,"$511,955.85",,,,"$58,899.39",$243.56,,,,"$105,334.22","$13,002.16",$390.00
1,127041503,Big Beaver Falls Area SD,Beaver,"$8,588,789.42","$6,043,328.85",,"$8,030.66","$83,960.55",,"$19,021.90",,"$19,021.90",,"$20,071.68",,"$4,826.25",,"$930,337.48",,"$122,464.57",,,,"$87,901.50",,,,,,,,,,,"$920,981.73","$21,683.67",,"$12,641.00",,,,,"$298,257.64",,,,,$901.00,,"$1,125.78",,,$89.91,,,,,,,,,,,"-$5,856.65"
1,127041603,Blackhawk SD,Beaver,"$21,044,069.67","$16,133,811.67","$46,825.97","$19,246.60","$3,406.41",,"$36,563.96",,"$35,963.35",,"$35,050.72",,,,"$2,414,487.95",,"$496,907.53","$48,812.18",,,,,,,,,,,,,,"$915,362.84","$27,169.27",,"$26,630.85",,,,,"$322,949.00",-$0.95,,,,,"$270,211.05","$9,958.61",,,"$46,597.83",,,,,,,,,"$77,761.15",,"$76,353.68"
1,127042003,Central Valley SD,Beaver,"$22,034,447.37","$16,928,392.18",,"$18,676.20","$413,613.17",,,,,,"$54,772.49",,,,"$2,403,184.04",,"$597,286.81",,,,"$234,827.43",,,,,,,,,,,"$759,657.99","$6,490.66",,"$3,191.20",,,,,"$300,003.83",,,,,"$36,660.40",,,,,"$17,901.60",,,,,,,,,,,"$259,789.37"
1,127042853,Freedom Area SD,Beaver,"$10,885,179.16","$8,549,579.64","$2,284.88","$9,120.13","$2,718.04",,,,,,"$11,159.25",,,,"$1,153,546.48",,"$138,060.90",,,,,,,,,,,,,,,"$590,892.13","$17,270.58",,"$58,984.47",,,,"$6,691.81","$214,152.66",,,,,"$24,922.73","$14,013.37","$12,189.50",,,,,,,,,,,,"$48,639.59",,"$30,953.00"
1,127044103,Hopewell Area SD,Beaver,"$21,628,142.32","$17,056,015.39","$24,747.70","$19,177.03","$21,846.14",,,,,,"$18,562.90",,,,"$2,449,849.04",,"$377,905.32",,,,"$94,395.22",,,,,,,,,,,"$1,072,170.90","$10,376.82",,"$7,578.18",,,,,"$313,957.41",,,,,"$31,442.55",,,,,"$55,000.00",,,,,,,,"$1,364.00","$66,013.22",,"$7,740.50"
1,127045303,Midland Borough SD,Beaver,"$974,568.28","$616,585.45",,,$876.00,,,,,,"$5,627.03",,,,"$176,244.40",,"$19,458.10",,,,,,,,,,,,,,,,"$10,538.14",,$652.00,,,$802.98,"$1,347.00","$32,542.92",,,,,"$96,497.32","$10,262.00",,,,,,,,,,,,,"$3,134.94",,
